time,close,Volume
1992-01-01,0,
1992-02-01,0,
1992-03-01,0,
1992-04-01,0,
1992-05-01,0,
1992-06-01,0,
1992-07-01,0.1,
1992-08-01,0.1,
1992-09-01,0.1,
1992-10-01,0.1,
1992-11-01,0.1,
1992-12-01,0.1,
1993-01-01,0.2,
1993-02-01,0.2,
1993-03-01,0.2,
1993-04-01,0.3,
1993-05-01,0.3,
1993-06-01,0.4,
1993-07-01,0.5,
1993-08-01,0.6,
1993-09-01,0.7,
1993-10-01,0.9,
1993-11-01,1,
1993-12-01,1.1,
1994-01-01,1.3,
1994-02-01,1.5,
1994-03-01,1.6,
1994-04-01,1.7,
1994-05-01,1.8,
1994-06-01,1.9,
1994-07-01,2,
1994-08-01,2.1,
1994-09-01,2.3,
1994-10-01,2.6,
1994-11-01,3,
1994-12-01,3.5,
1995-01-01,4.2,
1995-02-01,4.6,
1995-03-01,5,
1995-04-01,5.4,
1995-05-01,5.9,
1995-06-01,6.3,
1995-07-01,6.6,
1995-08-01,6.9,
1995-09-01,7.2,
1995-10-01,7.6,
1995-11-01,7.9,
1995-12-01,8.2,
1996-01-01,8.5,
1996-02-01,8.8,
1996-03-01,9,
1996-04-01,9.2,
1996-05-01,9.4,
1996-06-01,9.5,
1996-07-01,9.5,
1996-08-01,9.5,
1996-09-01,9.5,
1996-10-01,9.7,
1996-11-01,9.8,
1996-12-01,10,
1997-01-01,10.2,
1997-02-01,10.4,
1997-03-01,10.5,
1997-04-01,10.6,
1997-05-01,10.7,
1997-06-01,10.8,
1997-07-01,10.9,
1997-08-01,10.9,
1997-09-01,10.9,
1997-10-01,10.9,
1997-11-01,11,
1997-12-01,11.1,
1998-01-01,11.2,
1998-02-01,11.3,
1998-03-01,11.4,
1998-04-01,11.4,
1998-05-01,11.5,
1998-06-01,11.5,
1998-07-01,11.5,
1998-08-01,12,
1998-09-01,16.6,
1998-10-01,17.3,
1998-11-01,18.3,
1998-12-01,20.4,
1999-01-01,22.1,
1999-02-01,23,
1999-03-01,23.7,
1999-04-01,24.4,
1999-05-01,24.9,
1999-06-01,25.4,
1999-07-01,26.1,
1999-08-01,26.4,
1999-09-01,26.8,
1999-10-01,27.2,
1999-11-01,27.5,
1999-12-01,27.9,
2000-01-01,28.5,
2000-02-01,28.8,
