time,open,high,low,close,Volume
2013-07-08T11:00:00+04:00,33295,33295,33295,33295,25
2013-07-08T15:00:00+04:00,33279,33385,33279,33360,266
2013-07-08T19:00:00+04:00,33370,33377,33370,33376,190
2013-07-09T07:00:00+04:00,33180,33180,33177,33177,16
2013-07-09T11:00:00+04:00,33092,33092,33092,33092,9
2013-07-09T15:00:00+04:00,33092,33092,33092,33092,1
2013-07-09T19:00:00+04:00,33065,33065,33053,33053,72
2013-07-10T07:00:00+04:00,32948,32948,32948,32948,6
2013-07-10T15:00:00+04:00,32979,32979,32979,32979,2
2013-07-11T07:00:00+04:00,32659,32699,32659,32699,2
2013-07-11T11:00:00+04:00,32699,32699,32689,32689,4
2013-07-11T15:00:00+04:00,32601,32695,32595,32695,83
2013-07-12T07:00:00+04:00,32828,32828,32828,32828,270
2013-07-12T11:00:00+04:00,32890,32936,32800,32936,237
2013-07-12T15:00:00+04:00,32900,32900,32900,32900,35
2013-07-12T19:00:00+04:00,32917,32917,32794,32794,191
2013-07-15T07:00:00+04:00,32790,32820,32790,32820,2
2013-07-15T11:00:00+04:00,32865,32865,32865,32865,3
2013-07-15T15:00:00+04:00,32865,32865,32865,32865,1
2013-07-15T19:00:00+04:00,32884,32884,32742,32742,604
2013-07-16T07:00:00+04:00,32741,32780,32741,32780,154
2013-07-16T11:00:00+04:00,32628,32714,32603,32700,589
2013-07-16T15:00:00+04:00,32703,32703,32638,32638,97
2013-07-16T19:00:00+04:00,32560,32587,32560,32587,295
2013-07-17T07:00:00+04:00,32610,32675,32610,32669,130
2013-07-17T11:00:00+04:00,32665,32665,32600,32600,78
2013-07-17T15:00:00+04:00,32610,32610,32610,32610,34
2013-07-17T19:00:00+04:00,32477,32477,32477,32477,539
2013-07-18T11:00:00+04:00,32662,32662,32498,32650,502
2013-07-18T15:00:00+04:00,32650,32650,32650,32650,1
2013-07-18T19:00:00+04:00,32650,32689,32631,32631,34
2013-07-19T07:00:00+04:00,32590,32590,32590,32590,30
2013-07-19T11:00:00+04:00,32586,32586,32551,32580,460
2013-07-19T15:00:00+04:00,32550,32550,32550,32550,3
2013-07-19T19:00:00+04:00,32495,32586,32480,32586,407
2013-07-22T11:00:00+04:00,32450,32450,32350,32365,101
2013-07-22T15:00:00+04:00,32490,32490,32490,32490,61
2013-07-23T11:00:00+04:00,32514,32514,32514,32514,2
2013-07-23T15:00:00+04:00,32549,32549,32535,32535,12
2013-07-23T19:00:00+04:00,32475,32475,32475,32475,10
2013-07-24T11:00:00+04:00,32481,32481,32470,32470,2
2013-07-24T15:00:00+04:00,32552,32552,32550,32552,14
2013-07-24T19:00:00+04:00,32573,32610,32557,32602,127
2013-07-24T23:00:00+04:00,32629,32629,32591,32595,40
2013-07-25T07:00:00+04:00,32652,32652,32650,32650,38
2013-07-25T11:00:00+04:00,32720,32775,32720,32773,7
2013-07-25T15:00:00+04:00,32691,32749,32691,32749,7
2013-07-25T23:00:00+04:00,32761,32761,32736,32736,24
2013-07-26T07:00:00+04:00,32683,32683,32683,32683,1
