ticker,first_10m,last_10m,years_10m
AFLT,2011-12-08 10:00:00,2026-02-04 16:56:13,14.160164271047227
TRMK,2011-12-08 10:00:00,2026-02-04 16:57:48,14.160164271047227
TGKA,2011-12-08 10:00:00,2026-02-04 16:57:43,14.160164271047227
TATN,2011-12-08 10:00:00,2026-02-04 16:57:43,14.160164271047227
SBER,2011-12-08 10:00:00,2026-02-04 16:57:38,14.160164271047227
RTKM,2011-12-08 10:00:00,2026-02-04 16:57:33,14.160164271047227
OGKB,2011-12-08 10:00:00,2026-02-04 16:57:03,14.160164271047227
MTSS,2011-12-08 10:00:00,2026-02-04 16:57:08,14.160164271047227
NVTK,2011-12-08 10:00:00,2026-02-04 16:57:18,14.160164271047227
MTLR,2011-12-08 10:00:00,2026-02-04 16:57:03,14.160164271047227
LSRG,2011-12-08 10:00:00,2026-02-04 16:56:53,14.160164271047227
HYDR,2011-12-08 10:00:00,2026-02-04 16:56:33,14.160164271047227
IRAO,2011-12-08 10:00:00,2026-02-04 16:56:33,14.160164271047227
LKOH,2011-12-08 10:00:00,2026-02-04 16:56:48,14.160164271047227
MGNT,2011-12-08 10:00:00,2026-02-04 16:56:58,14.160164271047227
MSNG,2011-12-08 10:00:00,2026-02-04 16:57:03,14.160164271047227
ALRS,2012-10-02 10:00:00,2026-02-04 16:56:13,13.34154688569473
PHOR,2013-02-28 10:10:00,2026-02-04 16:57:03,12.933607118412048
VTBR,2013-02-28 10:00:00,2026-02-04 16:57:58,12.933607118412048
MOEX,2013-04-04 10:00:00,2026-02-04 16:57:03,12.837782340862423
