ticker,interval,first_date,last_date
ABIO,24,2011-01-01 00:00:00,2026-02-04 17:09:43
ABRD,24,2014-06-09 00:00:00,2026-02-04 17:09:43
AFKS,24,2014-06-09 00:00:00,2026-02-04 17:09:43
AFLT,24,2007-08-21 00:00:00,2026-02-04 17:09:43
AKRN,24,2014-06-09 00:00:00,2026-02-04 17:09:43
ALRS,24,2012-10-02 00:00:00,2026-02-04 17:09:43
AMEZ,24,2014-06-09 00:00:00,2025-03-12 00:00:00
APRI,24,2024-07-30 00:00:00,2026-02-04 17:09:43
APTK,24,2014-06-09 00:00:00,2026-02-04 17:09:43
AQUA,24,2015-06-10 00:00:00,2026-02-04 17:09:43
ARSA,24,2014-06-09 00:00:00,2026-02-04 17:09:43
ASSB,24,2014-06-09 00:00:00,2026-02-04 17:09:43
ASTR,24,2023-10-13 00:00:00,2026-02-04 17:09:43
AVAN,24,2014-11-20 00:00:00,2026-02-04 17:09:49
BANE,24,2014-06-09 00:00:00,2026-02-04 17:09:49
BANEP,24,2014-06-09 00:00:00,2026-02-04 17:09:49
BAZA,24,2025-12-10 00:00:00,2026-02-04 17:09:49
BELU,24,2017-08-01 00:00:00,2026-02-04 17:09:49
BISVP,24,2014-06-09 00:00:00,2026-02-04 17:09:49
BLNG,24,2014-06-09 00:00:00,2026-02-04 17:09:49
BRZL,24,2014-06-09 00:00:00,2026-02-04 17:09:49
BSPB,24,2014-06-09 00:00:00,2026-02-04 17:09:49
BSPBP,24,2021-04-19 00:00:00,2026-02-04 17:09:49
CARM,24,2023-07-03 00:00:00,2026-02-04 17:09:49
CBOM,24,2015-07-01 00:00:00,2026-02-04 17:09:49
CHGZ,24,2014-06-18 00:00:00,2026-02-04 17:09:49
CHKZ,24,2014-06-09 00:00:00,2026-02-04 17:09:49
CHMF,24,2014-06-09 00:00:00,2026-02-04 17:09:49
CHMK,24,2014-06-09 00:00:00,2026-02-04 17:09:49
CNRU,24,2025-04-03 00:00:00,2026-02-04 17:09:49
CNTL,24,2014-06-09 00:00:00,2026-02-04 17:09:53
CNTLP,24,2014-06-09 00:00:00,2026-02-04 17:09:53
DATA,24,2024-10-01 00:00:00,2026-02-04 17:09:53
DELI,24,2024-02-07 00:00:00,2026-02-04 17:09:53
DIAS,24,2024-02-13 00:00:00,2026-02-04 17:09:53
DIOD,24,2014-06-09 00:00:00,2026-02-04 17:09:53
DOMRF,24,2025-11-20 00:00:00,2026-02-04 17:09:53
DVEC,24,2014-06-09 00:00:00,2026-02-04 17:09:53
DZRD,24,2014-06-11 00:00:00,2026-02-04 17:09:53
DZRDP,24,2014-06-09 00:00:00,2026-02-04 17:09:53
EELT,24,2017-09-07 00:00:00,2026-02-04 17:09:53
ELFV,24,2023-03-29 00:00:00,2026-02-04 17:09:53
ELMT,24,2024-06-06 00:00:00,2026-02-04 17:09:53
ENPG,24,2020-02-20 00:00:00,2026-02-04 17:09:53
ETLN,24,2020-02-03 00:00:00,2026-02-04 17:09:53
EUTR,24,2023-11-21 00:00:00,2026-02-04 17:09:53
FEES,24,2014-06-09 00:00:00,2026-02-04 17:09:53
FESH,24,2014-06-09 00:00:00,2026-02-04 17:09:58
FIXR,24,2025-08-20 00:00:00,2026-02-04 17:09:58
FLOT,24,2020-10-07 00:00:00,2026-02-04 17:10:08
GAZA,24,2014-06-10 00:00:00,2026-02-04 17:10:08
GAZAP,24,2014-06-17 00:00:00,2026-02-04 17:10:08
GAZC,24,2014-12-17 00:00:00,2023-11-30 00:00:00
GAZP,24,2014-06-09 00:00:00,2026-02-04 17:10:08
GAZS,24,2015-02-16 00:00:00,2023-11-30 00:00:00
GAZT,24,2019-12-02 00:00:00,2023-11-30 00:00:00
GCHE,24,2012-03-02 00:00:00,2026-02-04 17:10:08
GECO,24,2023-04-26 00:00:00,2026-02-04 17:10:08
GEMA,24,2019-07-26 00:00:00,2026-02-04 17:10:13
GEMC,24,2021-07-15 00:00:00,2026-02-04 17:10:13
GLRX,24,2025-10-31 00:00:00,2026-02-04 17:10:13
GMKN,24,2010-04-28 00:00:00,2026-02-04 17:10:13
GTRK,24,2017-11-03 00:00:00,2026-02-04 17:10:13
HEAD,24,2024-09-26 00:00:00,2026-02-04 17:10:13
HIMCP,24,2014-06-23 00:00:00,2026-02-04 17:10:13
HNFG,24,2023-11-02 00:00:00,2026-02-04 17:10:13
HYDR,24,2008-08-22 00:00:00,2026-02-04 17:10:13
IGST,24,2014-06-11 00:00:00,2026-02-04 17:10:13
IGSTP,24,2014-07-01 00:00:00,2026-02-04 17:10:13
IRAO,24,2011-09-27 00:00:00,2026-02-04 17:10:13
IRKT,24,2014-06-09 00:00:00,2026-02-04 17:10:13
IVAT,24,2024-06-04 00:00:00,2026-02-04 17:10:13
JNOS,24,2014-06-10 00:00:00,2026-02-04 17:10:18
JNOSP,24,2014-06-10 00:00:00,2026-02-04 17:10:18
KAZT,24,2014-06-18 00:00:00,2026-02-04 17:10:18
KAZTP,24,2014-06-09 00:00:00,2026-02-04 17:10:18
KBSB,24,2014-06-09 00:00:00,2026-02-04 17:10:18
KCHE,24,2014-06-09 00:00:00,2026-02-04 17:10:18
KCHEP,24,2014-07-01 00:00:00,2026-02-04 17:10:18
KFBA,24,2025-06-19 00:00:00,2026-02-04 17:10:18
KGKC,24,2014-06-30 00:00:00,2025-09-15 00:00:00
KGKCP,24,2014-06-30 00:00:00,2025-09-15 00:00:00
KLSB,24,2014-06-24 00:00:00,2026-02-04 17:10:18
KLVZ,24,2024-02-22 00:00:00,2026-02-04 17:10:18
KMAZ,24,2014-06-09 00:00:00,2026-02-04 17:10:18
KMEZ,24,2014-06-09 00:00:00,2026-02-04 17:10:18
KOGK,24,2014-06-09 00:00:00,2026-02-04 17:10:18
KRKN,24,2014-06-11 00:00:00,2026-02-04 17:10:18
KRKNP,24,2014-06-11 00:00:00,2026-02-04 17:10:18
KRKOP,24,2014-06-09 00:00:00,2026-02-04 17:10:23
KROT,24,2014-06-09 00:00:00,2026-02-04 17:10:23
KROTP,24,2014-06-10 00:00:00,2026-02-04 17:10:23
KRSB,24,2014-06-10 00:00:00,2026-02-04 17:10:23
KRSBP,24,2014-06-10 00:00:00,2026-02-04 17:10:23
KUZB,24,2014-07-07 00:00:00,2026-02-04 17:10:23
KZOS,24,2014-06-09 00:00:00,2026-02-04 17:10:23
KZOSP,24,2014-06-09 00:00:00,2026-02-04 17:10:23
LEAS,24,2024-03-29 00:00:00,2026-02-04 17:10:23
LENT,24,2021-12-14 00:00:00,2026-02-04 17:10:23
LIFE,24,2014-06-09 00:00:00,2026-02-04 17:10:28
