ticker,interval,first_date,last_date
ABIO,31,2011-01-01 00:00:00,2026-02-28 00:00:00
ABRD,31,2014-06-01 00:00:00,2026-02-28 00:00:00
AFKS,31,2014-06-01 00:00:00,2026-02-28 00:00:00
AFLT,31,2007-08-01 00:00:00,2026-02-28 00:00:00
AKRN,31,2014-06-01 00:00:00,2026-02-28 00:00:00
ALRS,31,2012-10-01 00:00:00,2026-02-28 00:00:00
AMEZ,31,2014-06-01 00:00:00,2025-03-01 00:00:00
APRI,31,2024-07-01 00:00:00,2026-02-28 00:00:00
APTK,31,2014-06-01 00:00:00,2026-02-28 00:00:00
AQUA,31,2015-06-01 00:00:00,2026-02-28 00:00:00
ARSA,31,2014-06-01 00:00:00,2026-02-28 00:00:00
ASSB,31,2014-06-01 00:00:00,2026-02-28 00:00:00
ASTR,31,2023-10-01 00:00:00,2026-02-28 00:00:00
AVAN,31,2014-11-01 00:00:00,2026-02-28 00:00:00
BANE,31,2014-06-01 00:00:00,2026-02-28 00:00:00
BANEP,31,2014-06-01 00:00:00,2026-02-28 00:00:00
BAZA,31,2025-12-01 00:00:00,2026-02-28 00:00:00
BELU,31,2017-08-01 00:00:00,2026-02-28 00:00:00
BISVP,31,2014-06-01 00:00:00,2026-02-28 00:00:00
BLNG,31,2014-06-01 00:00:00,2026-02-28 00:00:00
BRZL,31,2014-06-01 00:00:00,2026-02-28 00:00:00
BSPB,31,2014-06-01 00:00:00,2026-02-28 00:00:00
BSPBP,31,2021-04-01 00:00:00,2026-02-28 00:00:00
CARM,31,2023-07-01 00:00:00,2026-02-28 00:00:00
CBOM,31,2015-07-01 00:00:00,2026-02-28 00:00:00
CHGZ,31,2014-06-01 00:00:00,2026-02-28 00:00:00
CHKZ,31,2014-06-01 00:00:00,2026-02-28 00:00:00
CHMF,31,2014-06-01 00:00:00,2026-02-28 00:00:00
CHMK,31,2014-06-01 00:00:00,2026-02-28 00:00:00
CNRU,31,2025-04-01 00:00:00,2026-02-28 00:00:00
CNTL,31,2014-06-01 00:00:00,2026-02-28 00:00:00
CNTLP,31,2014-06-01 00:00:00,2026-02-28 00:00:00
DATA,31,2024-10-01 00:00:00,2026-02-28 00:00:00
DELI,31,2024-02-01 00:00:00,2026-02-28 00:00:00
DIAS,31,2024-02-01 00:00:00,2026-02-28 00:00:00
DIOD,31,2014-06-01 00:00:00,2026-02-28 00:00:00
DOMRF,31,2025-11-01 00:00:00,2026-02-28 00:00:00
DVEC,31,2014-06-01 00:00:00,2026-02-28 00:00:00
DZRD,31,2014-06-01 00:00:00,2026-02-28 00:00:00
DZRDP,31,2014-06-01 00:00:00,2026-02-28 00:00:00
EELT,31,2017-09-01 00:00:00,2026-02-28 00:00:00
ELFV,31,2023-03-01 00:00:00,2026-02-28 00:00:00
ELMT,31,2024-06-01 00:00:00,2026-02-28 00:00:00
ENPG,31,2020-02-01 00:00:00,2026-02-28 00:00:00
ETLN,31,2020-02-01 00:00:00,2026-02-28 00:00:00
EUTR,31,2023-11-01 00:00:00,2026-02-28 00:00:00
FEES,31,2014-06-01 00:00:00,2026-02-28 00:00:00
FESH,31,2014-06-01 00:00:00,2026-02-28 00:00:00
FIXR,31,2025-08-01 00:00:00,2026-02-28 00:00:00
FLOT,31,2020-10-01 00:00:00,2026-02-28 00:00:00
GAZA,31,2014-06-01 00:00:00,2026-02-28 00:00:00
GAZAP,31,2014-06-01 00:00:00,2026-02-28 00:00:00
GAZC,31,2014-12-01 00:00:00,2023-11-01 00:00:00
GAZP,31,2014-06-01 00:00:00,2026-02-28 00:00:00
GAZS,31,2015-02-01 00:00:00,2023-11-01 00:00:00
GAZT,31,2019-12-01 00:00:00,2023-11-01 00:00:00
GCHE,31,2012-03-01 00:00:00,2026-02-28 00:00:00
GECO,31,2023-04-01 00:00:00,2026-02-28 00:00:00
GEMA,31,2019-07-01 00:00:00,2026-02-28 00:00:00
GEMC,31,2021-07-01 00:00:00,2026-02-28 00:00:00
GLRX,31,2025-10-01 00:00:00,2026-02-28 00:00:00
