ticker,name,lot_size,prev_price
ABIO,iАРТГЕН ао,10,69.3
ABRD,АбрауДюрсо,10,167.8
AFKS,Система ао,100,13.722
AFLT,Аэрофлот,10,57.9
AKRN,Акрон,1,18650.0
ALRS,АЛРОСА ао,10,41.54
AMEZ,АшинскийМЗ,100,68.05
APRI,АПРИ,10,16.66
APTK,Аптеки36и6,10,8.59
AQUA,ИНАРКТИКА,1,494.6
ARSA,Арсагера,100,8.36
ASSB,АстрЭнСб,1000,3.37
ASTR,iАстра ао,1,262.05
AVAN,Авангрд-ао,1,680.0
BANE,Башнефт ао,1,1557.5
BANEP,Башнефт ап,1,936.0
BAZA,iБАЗИС,10,122.64
BELU,НоваБев ао,1,446.2
BISVP,БашИнСв ап,100,10.82
BLNG,Белон ао,100,12.57
BRZL,БурЗолото,1,1918.0
BSPB,БСП ао,10,330.5
BSPBP,БСП ап,100,51.2
CARM,СТГ,100,1.574
CBOM,МКБ ао,100,6.189
CHGZ,РН-ЗапСиб,10,77.8
CHKZ,ЧКПЗ ао,1,18050.0
CHMF,СевСт-ао,1,994.0
CHMK,ЧМК ао,1,4450.0
CNRU,Циан,1,572.8
CNTL,Телеграф,100,9.46
CNTLP,Телеграф-п,100,6.18
DATA,iАренадата,1,99.54
DELI,iКаршеринг,1,105.6
DIAS,iДиасофт,1,1708.0
DIOD,ЗаводДИОД,100,11.83
DOMRF,ДОМ.РФ,1,2108.5
DVEC,ДЭК ао,1000,1.946
DZRD,ДонскЗР,1,4210.0
DZRDP,ДонскЗР п,1,2530.0
EELT,ЕвроЭлтех,10,9.06
ELFV,ЭЛ5Энер ао,1000,0.522
ELMT,iЭлемент,1000,0.129
ENPG,ЭН+ГРУП ао,1,495.45
ETLN,ЭталонГруп,1,42.1
EUTR,ЕвроТранс,1,143.8
FEES,Россети,10000,0.0762
FESH,ДВМП ао,10,55.06
FIXR,Фикс Прайс,1000,0.5725
FLOT,Совкомфлот,10,78.46
GAZA,ГАЗ ао,10,545.0
GAZAP,ГАЗ ап,10,385.5
GAZC,ГАЗКОН-ао,10,659.0
GAZP,ГАЗПРОМ ао,10,127.27
GAZS,ГАЗ-сервис,10,839.0
GAZT,ГАЗ-Тек ао,10,1739.0
GCHE,ЧеркизГ-ао,1,3607.0
GECO,iГЕНЕТИКО,10,25.69
GEMA,iММЦБ ао,10,119.2
GEMC,МКПАО ЮМГ,1,900.1
GLRX,ГЛОРАКС,1,61.08
GMKN,ГМКНорНик,10,162.08
