ticker,status,action,rows,size_mb,reason
AFLT,ok,skip,204176,3.85,
TRMK,ok,skip,172537,3.13,
TGKA,ok,skip,164541,2.94,
TATN,ok,skip,204117,3.91,
SELG,ok,skip,130973,2.42,
SBER,ok,skip,204339,4.65,
RTKM,ok,skip,203299,3.48,
PIKK,ok,skip,183422,3.44,
OGKB,ok,skip,182826,3.18,
MTSS,ok,skip,203728,3.48,
NVTK,ok,skip,203996,3.86,
MTLR,ok,skip,187092,4.09,
LSRG,ok,skip,169232,2.87,
HYDR,ok,skip,204229,3.6,
IRAO,ok,skip,202804,3.95,
LKOH,ok,skip,204334,3.97,
MGNT,ok,skip,204297,3.87,
MSNG,ok,skip,173170,2.93,
MSRS,ok,skip,128736,2.12,
MRKP,ok,skip,140881,2.45,
UTAR,ok,redownload,67824,1.1,rows=67824<100k
GCHE,ok,skip,126482,2.29,
ALRS,ok,skip,204256,3.89,
MRKC,ok,skip,144417,2.54,
PHOR,ok,skip,197275,3.31,
VTBR,ok,skip,203969,4.37,
MOEX,ok,skip,204295,3.99,
RGSS,ok,redownload,91112,1.5,rows=91112<100k
