ticker,n_days,mean_rv,median_rv,std_rv,min_rv,max_rv
AFLT,2991,0.3049,0.2599,0.2228,0.0,6.2151
TRMK,2527,0.3684,0.3014,0.3062,0.0054,5.52
TGKA,2315,0.3477,0.2793,0.2604,0.0709,3.9489
TATN,2989,0.291,0.2542,0.217,0.0451,7.5085
SELG,1561,0.4588,0.3437,0.4434,0.0351,5.9621
SBER,2990,0.2507,0.2174,0.1799,0.0231,4.4405
RTKM,2990,0.2485,0.2118,0.1707,0.0,4.2823
PIKK,2045,0.3419,0.2676,0.2773,0.0,4.4078
OGKB,2838,0.3467,0.2938,0.2419,0.0676,4.8918
MTSS,2980,0.2497,0.2084,0.2073,0.0433,4.4357
NVTK,2986,0.2964,0.2609,0.1709,0.0433,3.0729
MTLR,2991,0.4427,0.3471,0.3758,0.0533,7.5731
LSRG,2344,0.3115,0.2503,0.2627,0.0563,5.7089
HYDR,2991,0.2714,0.2325,0.1779,0.0377,3.5704
IRAO,2964,0.3115,0.243,1.3862,0.0319,74.2755
LKOH,2990,0.2471,0.2132,0.1725,0.0293,4.4498
MGNT,2991,0.2808,0.2422,0.2175,0.0491,7.3023
MSNG,2558,0.3256,0.2724,0.2248,0.0689,4.9461
MSRS,1327,0.3792,0.3073,0.3118,0.0797,6.5524
MRKP,2051,0.3273,0.2595,0.2554,0.057,3.7083
UTAR,209,1.2239,0.9959,0.7725,0.3064,4.8008
GCHE,1566,0.3481,0.2737,0.2847,0.0595,3.701
ALRS,2990,0.2948,0.2537,0.2112,0.0524,6.3399
MRKC,1842,0.3663,0.301,0.2707,0.0,5.6945
PHOR,2656,0.2664,0.225,0.2236,0.0343,5.8461
VTBR,2986,0.2735,0.2335,0.1878,0.0,4.2265
MOEX,2991,0.2571,0.2241,0.1836,0.0,6.2661
RGSS,746,0.8377,0.6636,0.6204,0.1722,6.3284
