ticker,omega,alpha,beta
AFLT,0.06596753345807109,0.24741239881943985,0.752587601180067
ALRS,0.08518092590885051,0.3157195803431127,0.6318353022128218
HYDR,0.2335048200181683,0.4548470305277678,0.2411757190810061
IRAO,0.12923374579068747,0.3868900714318403,0.6131110566342076
LKOH,0.08555044274168976,0.515889624831689,0.30230860427589035
LSRG,0.08249217288852292,0.09967041042432749,0.8570685835103993
MGNT,0.017868135124502884,0.1379375105155616,0.8526962978919816
MOEX,0.018848832125753907,0.06345327024278709,0.9014432518491048
MTLR,0.8741721496930426,0.6725356820352812,0.32746431796471875
MTSS,0.18903301547426052,0.3413156113645192,0.47689468790860173
NVTK,0.17227612755527222,0.6991192627134235,0.12146796710063744
OGKB,0.1945964122758429,0.4236010872560629,0.4990330403760272
PHOR,0.041882677898047616,0.2731465212612362,0.7268534792166848
RTKM,0.32227218327001395,0.6742672688828381,9.642045442619723e-15
SBER,0.03741350180782827,0.42904797477589984,0.5635842853383649
TATN,0.11773737170005508,0.2776387755935938,0.5263507152716725
VTBR,0.023444217790911007,0.1650302762659711,0.7951301686782328
