ticker,aic,omega,alpha[1],gamma[1],beta[1],nu
SBER,525610.7100758264,3.7043529679647325,0.04212520072848481,0.01627511169819217,0.9458638962755771,4.402882948457581
LKOH,516596.1717968998,20.083540552128294,0.13265818520273695,0.01782461370035939,0.8263482631442757,4.505806602866063
TATN,541473.3396317635,34.114927044320105,0.17858123538578255,0.004542959992248761,0.7968898917654957,4.080320869016146
NVTK,536361.7615080053,31.147908102457396,0.15463920433678752,0.016516785920617717,0.8124176219648455,3.9450973430196155
VTBR,514722.2664069668,18.78847522218417,0.2020362385905866,-0.015645744887379458,0.8057866338531088,3.3482178495096155
ALRS,526488.44951702,65.47158050670599,0.2991119838346174,0.057114714732085105,0.6723306587996005,2.855913754662235
AFLT,532242.094603735,54.62008238672425,0.26625152894797066,0.03286952198066894,0.7173137100616943,3.015278484040053
HYDR,533577.9393606202,44.9553370042651,0.2471177348870872,0.013164662411731906,0.746299933907069,3.2236606248551776
MGNT,530511.0355977792,33.940915070023884,0.20456788989147806,0.03064562599330351,0.7800728890006405,3.347849815751467
MOEX,514874.48322975833,55.00768748698497,0.31049322438783805,0.009873600243351084,0.6845699751682935,2.877135136591401
RTKM,494565.02443911013,20.84168936391953,0.24837165478775272,0.023720567327184094,0.73976806154396,3.0550936872903085
MTSS,518426.82755429053,29.72734123029476,0.20936983095234837,0.023257487130686223,0.7790014254823087,3.210198600223471
MTLR,576674.884819074,82.3044342282443,0.21170611815917356,0.024930023383148658,0.7758288767448538,2.9859467307665772
IRAO,524029.7467882454,68.0905088042157,0.29059503661558356,0.04080777154256349,0.6890010779336352,2.9176794341969883
OGKB,521701.8454651253,55.83154425131988,0.19691832671662327,-0.00041819748074325405,0.8032907720237485,3.11663177492834
PHOR,470271.092377612,62.60377313126206,0.2295190759658684,0.010188676937249877,0.7653865855655066,2.9991333909670352
LSRG,396546.0532037478,46.47254278433203,0.2272036232170951,0.026298015596446025,0.7596473779103404,2.951462194528792
