feature,importance
close,1384
volume,1152
jump_lag1,1076
rv_2w,1064
rv_w,1015
rv_m,936
rv_d,919
idx_IMOEX_rv_annualized_ma5,889
rv_q,786
rv_evening,692
idx_MOEXCH_rv_annualized_ma5,570
jump_lag5,512
rkurt,473
jump_lag22,417
rv_midday,352
rv_annualized,339
rskew,336
rv_morning,325
idx_MOEXMM_rv_annualized_ma22,317
bv,315
idx_MOEXMM_rv_annualized_ma5,309
rsv_neg,305
jump,299
rv_MOEXTL,295
rsv_pos,278
idx_CNYRUB_TOM_rv_annualized_ret1,253
gold,251
si_fut_diff22,242
yahoo_gold_ma5,235
idx_RVI_rv_annualized_vol22,225
yahoo_wti_vol22,221
idx_CNYRUB_TOM_rv_annualized_ma22,203
rv_MOEXMM,179
yahoo_eem_ret5,166
yahoo_wti_ma22,166
idx_MOEXOG_rv_annualized_ret1,164
yahoo_eem_ma22,159
close_RGBI,157
idx_MOEXEU_rv_annualized_vol22,156
yahoo_vix_ret1,147
yahoo_wti_ret5,146
idx_IMOEX_rv_annualized_lag1,146
yahoo_brent_ret5,145
idx_RGBI_rv_annualized_ret5,143
idx_MOEXCH_rv_annualized_vol22,143
idx_RVI_rv_annualized_ret5,133
yahoo_vix_ma22,131
rv_MOEXCN,129
close_MOEXTL,127
cpi_us_diff22,126
yahoo_gold_ret5,121
yahoo_tbill_3m_lag1,111
yahoo_wti_ret1,108
idx_MOEXMM_rv_annualized_lag1,101
idx_MOEXFN_rv_annualized_ret1,101
idx_MOEXTL_rv_annualized_lag1,97
idx_CNYRUB_TOM_rv_annualized_lag1,97
brent,97
idx_RVI_rv_annualized_ret1,96
yahoo_gold_ret1,92
yahoo_dxy_ret5,92
idx_MOEXTL_rv_annualized_ret5,92
yahoo_eem_ret1,91
yahoo_dxy_ret1,89
idx_MOEXCN_rv_annualized_ret5,87
idx_RVI_rv_annualized_ret22,87
idx_MOEXCN_rv_annualized_ma22,84
idx_RVI_rv_annualized_ma5,80
yahoo_dxy_ret22,79
idx_IMOEX_rv_annualized_ret1,78
yahoo_brent_lag1,77
idx_MOEXMM_rv_annualized_vol22,77
idx_MOEXCH_rv_annualized_lag1,76
yahoo_brent_vol22,75
yahoo_treasury_5y_vol22,74
idx_MOEXTL_rv_annualized_ret1,74
si_fut_diff1,74
idx_MOEXTL_rv_annualized_ma5,74
yahoo_eem_ma5,73
yahoo_treasury_5y_ret1,72
yahoo_tbill_3m_ret5,72
idx_IMOEX_rv_annualized_ret22,72
close_RVI,72
yahoo_vix_ret5,71
idx_MOEXCN_rv_annualized_ma5,71
yahoo_sp500_ret22,71
idx_MOEXFN_rv_annualized_lag1,71
yahoo_gold_vol22,70
idx_MOEXCN_rv_annualized_lag1,69
bv_annualized,69
tbill_3m,69
close_MOEXEU,69
wti,69
idx_CNYRUB_TOM_rv_annualized_ma5,69
yahoo_eem_ret22,68
rv_MOEXFN,67
close_MOEXMM,67
idx_MOEXMM_rv_annualized_ret1,66
yahoo_sp500_ret5,64
close_MOEXCN,64
yahoo_treasury_10y_ret1,64
rv_IMOEX,64
idx_MOEXCH_rv_annualized_ret1,63
yahoo_gold_lag1,62
yahoo_gold_ret22,62
rv_RVI,62
idx_MOEXMM_rv_annualized_ret22,62
yahoo_sp500_vol22,58
yahoo_wti_lag1,58
idx_MOEXEU_rv_annualized_ret1,57
yahoo_sp500_ret1,57
idx_MOEXTL_rv_annualized_vol22,56
n_bars,56
eem,55
idx_CNYRUB_TOM_rv_annualized_ret5,55
idx_MOEXCH_rv_annualized_ret5,55
idx_RGBI_rv_annualized_ret1,55
yahoo_treasury_5y_ret22,54
yahoo_dxy_vol22,53
idx_MOEXMM_rv_annualized_ret5,53
yahoo_treasury_5y_ret5,52
idx_MOEXCN_rv_annualized_vol22,52
idx_MOEXTL_rv_annualized_ret22,52
idx_CNYRUB_TOM_rv_annualized_ret22,52
idx_MOEXOG_rv_annualized_lag1,51
yahoo_eem_lag1,50
close_MOEXOG,50
idx_RGBI_rv_annualized_ma5,50
yahoo_treasury_10y_ret5,50
idx_RGBI_rv_annualized_ret22,49
treasury_10y,49
yahoo_wti_ret22,49
idx_MOEXFN_rv_annualized_ret5,48
yahoo_tbill_3m_ret22,48
