feature,importance
rv_q,861
rv_w,829
rv_evening,723
rsv_pos,687
rv_m,679
bv,626
rsv_neg,612
rv_2w,606
rv,591
rv_d,581
rv_midday,386
close,345
si_fut_diff22,274
rv_MOEXCN,272
volume,249
rskew,242
rkurt,234
rv_morning,227
bv_annualized,203
yahoo_vix_ret5,195
jump,195
jump_lag5,194
jump_lag22,192
si_fut_diff1,191
yahoo_eem_ret1,190
rv_annualized,184
yahoo_vix_ret1,176
yahoo_gold_ret1,171
yahoo_brent_ret22,166
yahoo_wti_ret5,165
yahoo_eem_ret5,155
jump_lag1,152
idx_CNYRUB_TOM_rv_annualized_ret1,151
rv_MOEXMM,150
idx_MOEXMM_rv_annualized_ma5,148
idx_MOEXCH_rv_annualized_ret5,137
yahoo_eem_ret22,133
idx_MOEXMM_rv_annualized_ret5,132
idx_RGBI_rv_annualized_ret1,131
yahoo_brent_ret5,130
idx_IMOEX_rv_annualized_lag1,122
idx_RGBI_rv_annualized_lag1,121
yahoo_gold_ret22,119
yahoo_tbill_3m_ret22,118
yahoo_dxy_ret22,118
idx_MOEXCN_rv_annualized_ret5,113
idx_MOEXEU_rv_annualized_ret5,113
idx_MOEXMM_rv_annualized_lag1,112
yahoo_wti_vol22,110
rv_MOEXTL,110
yahoo_dxy_vol22,110
yahoo_wti_ret1,109
yahoo_sp500_ret1,108
idx_CNYRUB_TOM_rv_annualized_ret5,108
rv_MOEXCH,105
yahoo_brent_vol22,98
rv_RVI,98
idx_RVI_rv_annualized_ma5,97
idx_CNYRUB_TOM_rv_annualized_lag1,96
idx_RVI_rv_annualized_ret1,95
idx_RVI_rv_annualized_ret22,95
yahoo_sp500_ret5,95
yahoo_treasury_5y_ret5,94
idx_MOEXOG_rv_annualized_ret1,94
idx_RVI_rv_annualized_lag1,92
idx_MOEXEU_rv_annualized_ret22,86
idx_MOEXCN_rv_annualized_ma5,86
yahoo_dxy_ret1,84
idx_MOEXCH_rv_annualized_ma5,84
idx_CNYRUB_TOM_rv_annualized_ma22,83
idx_MOEXCH_rv_annualized_lag1,83
yahoo_treasury_5y_ret1,80
idx_CNYRUB_TOM_rv_annualized_ma5,80
yahoo_treasury_10y_ret5,80
vix,79
idx_MOEXTL_rv_annualized_ma5,78
yahoo_tbill_3m_ret1,78
yahoo_eem_ma22,76
close_MOEXTL,75
rv_MOEXFN,74
idx_MOEXCN_rv_annualized_lag1,74
close_MOEXEU,74
idx_MOEXCH_rv_annualized_vol22,73
yahoo_gold_ret5,73
yahoo_sp500_vol22,73
idx_MOEXCN_rv_annualized_ret1,73
idx_MOEXTL_rv_annualized_ret22,71
idx_IMOEX_rv_annualized_ret1,69
gold,69
rv_CNYRUB_TOM,67
idx_MOEXCH_rv_annualized_ret22,67
close_MOEXFN,67
idx_IMOEX_rv_annualized_ret5,66
yahoo_vix_ret22,65
rv_MOEXEU,65
idx_RGBI_rv_annualized_ma5,65
yahoo_gold_vol22,64
idx_MOEXTL_rv_annualized_lag1,63
rv_IMOEX,62
yahoo_brent_ret1,62
close_RVI,61
idx_RVI_rv_annualized_vol22,61
idx_RGBI_rv_annualized_ret5,59
idx_RVI_rv_annualized_ma22,58
idx_MOEXCN_rv_annualized_vol22,58
idx_MOEXCN_rv_annualized_ret22,58
rv_RGBI,57
idx_MOEXOG_rv_annualized_ma5,57
yahoo_eem_vol22,57
yahoo_vix_ma22,56
idx_MOEXFN_rv_annualized_ret1,56
jump_annualized,56
idx_MOEXFN_rv_annualized_ret22,55
idx_IMOEX_rv_annualized_vol22,54
idx_MOEXCH_rv_annualized_ret1,54
idx_MOEXEU_rv_annualized_ret1,54
idx_MOEXEU_rv_annualized_lag1,54
yahoo_dxy_lag1,53
idx_MOEXMM_rv_annualized_ret22,53
idx_MOEXOG_rv_annualized_ret5,53
idx_RGBI_rv_annualized_ret22,52
yahoo_treasury_10y_ma5,51
idx_MOEXFN_rv_annualized_ret5,51
eem,50
treasury_10y,50
yahoo_tbill_3m_lag1,50
idx_MOEXTL_rv_annualized_ret1,49
idx_CNYRUB_TOM_rv_annualized_ret22,49
close_MOEXCN,49
idx_MOEXOG_rv_annualized_vol22,49
rv_MOEXOG,49
idx_MOEXEU_rv_annualized_ma5,48
idx_RVI_rv_annualized_ret5,48
yahoo_dxy_ma5,47
idx_IMOEX_rv_annualized_ret22,46
idx_MOEXFN_rv_annualized_lag1,46
idx_MOEXEU_rv_annualized_vol22,46
dxy,46
yahoo_tbill_3m_ret5,45
yahoo_treasury_10y_ret1,45
idx_MOEXTL_rv_annualized_ret5,45
idx_MOEXOG_rv_annualized_ret22,42
yahoo_gold_ma22,42
yahoo_sp500_ma22,41
idx_IMOEX_rv_annualized_ma22,41
yahoo_treasury_5y_ret22,41
idx_MOEXOG_rv_annualized_lag1,40
idx_MOEXFN_rv_annualized_ma5,40
idx_RGBI_rv_annualized_vol22,39
yahoo_wti_lag1,38
yahoo_wti_ret22,38
yahoo_treasury_10y_vol22,37
yahoo_sp500_ret22,37
fed_rate,37
yahoo_vix_ma5,37
