feature,importance
yahoo_vix_ret5,0.4245938
idx_MOEXCN_rv_annualized_ret1,0.35746887
yahoo_brent_ret5,0.12827663
rv_evening,0.03712312
rsv_neg,0.036222298
close,0.0074143205
rsv_pos,0.0044548954
volume,0.0010994221
rv_midday,0.0006332011
idx_MOEXEU_rv_annualized_lag1,0.00053957076
si_fut_diff1,0.0005023803
idx_MOEXTL_rv_annualized_ret1,0.00042079287
yahoo_wti_ret5,0.0002940878
idx_MOEXEU_rv_annualized_ret1,0.00024112964
yahoo_brent_ret1,0.00020869127
rv_m,0.00020345072
idx_MOEXEU_rv_annualized_ret22,0.00019330742
idx_MOEXFN_rv_annualized_ma5,4.6229503e-05
rv_morning,3.3761353e-05
idx_MOEXCN_rv_annualized_lag1,3.0043759e-05
yahoo_dxy_ret22,0.0
yahoo_gold_ret22,0.0
yahoo_gold_ma22,0.0
yahoo_gold_vol22,0.0
yahoo_dxy_lag1,0.0
yahoo_dxy_ret1,0.0
yahoo_dxy_ret5,0.0
yahoo_gold_ma5,0.0
yahoo_dxy_ma5,0.0
yahoo_gold_ret1,0.0
yahoo_dxy_ma22,0.0
yahoo_dxy_vol22,0.0
yahoo_eem_lag1,0.0
yahoo_eem_ret1,0.0
yahoo_eem_ret5,0.0
yahoo_eem_ret22,0.0
yahoo_eem_ma5,0.0
yahoo_eem_ma22,0.0
yahoo_eem_vol22,0.0
yahoo_wti_lag1,0.0
yahoo_gold_ret5,0.0
yahoo_sp500_ma22,0.0
yahoo_gold_lag1,0.0
yahoo_vix_lag1,0.0
eem,0.0
wti,0.0
tbill_3m,0.0
treasury_10y,0.0
treasury_5y,0.0
yahoo_brent_lag1,0.0
yahoo_brent_ret22,0.0
yahoo_brent_ma5,0.0
yahoo_brent_ma22,0.0
yahoo_brent_vol22,0.0
yahoo_vix_ret1,0.0
yahoo_sp500_vol22,0.0
yahoo_vix_ret22,0.0
yahoo_vix_ma5,0.0
yahoo_vix_ma22,0.0
yahoo_vix_vol22,0.0
yahoo_sp500_lag1,0.0
yahoo_sp500_ret1,0.0
yahoo_sp500_ret5,0.0
yahoo_sp500_ret22,0.0
yahoo_sp500_ma5,0.0
dxy,0.0
yahoo_wti_ret1,0.0
yahoo_tbill_3m_ret1,0.0
yahoo_wti_ret22,0.0
yahoo_wti_ma5,0.0
key_rate_cbr,0.0
fed_rate,0.0
si_fut,0.0
cpi_ru_lag1,0.0
cpi_ru_diff1,0.0
cpi_ru_diff22,0.0
cpi_us_lag1,0.0
cpi_us_diff1,0.0
cpi_us_diff22,0.0
unemp_us_lag1,0.0
unemp_us_diff1,0.0
unemp_us_diff22,0.0
m2_ru_lag1,0.0
m2_ru_diff1,0.0
m2_ru_diff22,0.0
pmi_ru_lag1,0.0
pmi_ru_diff1,0.0
pmi_ru_diff22,0.0
key_rate_cbr_lag1,0.0
key_rate_cbr_diff1,0.0
key_rate_cbr_diff22,0.0
fed_rate_lag1,0.0
fed_rate_diff1,0.0
fed_rate_diff22,0.0
si_fut_lag1,0.0
pmi_ru,0.0
m2_ru,0.0
unemp_us,0.0
yahoo_treasury_10y_ret5,0.0
yahoo_wti_ma22,0.0
yahoo_wti_vol22,0.0
yahoo_tbill_3m_lag1,0.0
sp500,0.0
yahoo_tbill_3m_ret5,0.0
yahoo_tbill_3m_ret22,0.0
yahoo_tbill_3m_ma5,0.0
yahoo_tbill_3m_ma22,0.0
yahoo_tbill_3m_vol22,0.0
yahoo_treasury_10y_lag1,0.0
yahoo_treasury_10y_ret1,0.0
yahoo_treasury_10y_ret22,0.0
cpi_us,0.0
yahoo_treasury_10y_ma5,0.0
yahoo_treasury_10y_ma22,0.0
yahoo_treasury_10y_vol22,0.0
yahoo_treasury_5y_lag1,0.0
yahoo_treasury_5y_ret1,0.0
yahoo_treasury_5y_ret5,0.0
yahoo_treasury_5y_ret22,0.0
yahoo_treasury_5y_ma5,0.0
yahoo_treasury_5y_ma22,0.0
yahoo_treasury_5y_vol22,0.0
cpi_ru,0.0
gold,0.0
idx_MOEXOG_rv_annualized_ret5,0.0
vix,0.0
idx_MOEXTL_rv_annualized_ma5,0.0
idx_IMOEX_rv_annualized_ret1,0.0
idx_IMOEX_rv_annualized_ret5,0.0
idx_IMOEX_rv_annualized_ret22,0.0
