feature,importance
cpi_ru_lag1,0.11833805
m2_ru_lag1,0.08471065
key_rate_cbr_diff22,0.06386038
m2_ru,0.05477865
unemp_us,0.050242357
cpi_ru,0.024597565
fed_rate_lag1,0.022947494
yahoo_sp500_ma22,0.014122358
idx_MOEXMM_rv_annualized_ma22,0.014053229
rv_m,0.012007781
rv_q,0.009953624
key_rate_cbr_lag1,0.009038547
sp500,0.00893978
yahoo_sp500_lag1,0.008789989
rv_2w,0.008524908
pmi_ru_diff22,0.008484258
idx_RGBI_rv_annualized_ma22,0.008236083
cpi_us_lag1,0.008150434
cpi_us_diff22,0.008149248
close_MOEXOG,0.007823157
key_rate_cbr,0.0074637807
pmi_ru,0.0070671956
yahoo_treasury_10y_ret22,0.006718142
yahoo_eem_ma22,0.006141542
pmi_ru_lag1,0.0059508965
close_MOEXEU,0.0058496166
yahoo_dxy_ma22,0.00579414
yahoo_sp500_ret22,0.005353204
close_RGBI,0.0052747144
idx_RVI_rv_annualized_vol22,0.0051064994
close_MOEXCH,0.005048086
yahoo_gold_ma22,0.0049218587
yahoo_sp500_ma5,0.004867308
close_MOEXFN,0.0048067016
cpi_ru_diff22,0.004806425
yahoo_wti_ma22,0.004753993
yahoo_brent_ma22,0.0047329664
cpi_us,0.004690882
unemp_us_lag1,0.004630532
tbill_3m,0.0045848447
yahoo_brent_ma5,0.004521139
yahoo_gold_ma5,0.0043233316
idx_MOEXFN_rv_annualized_ma22,0.004255907
yahoo_treasury_5y_ma22,0.004224318
yahoo_dxy_vol22,0.0041610748
m2_ru_diff22,0.004050419
yahoo_treasury_5y_vol22,0.0040288377
yahoo_dxy_ma5,0.003982041
yahoo_treasury_10y_vol22,0.0038081207
yahoo_treasury_10y_ma22,0.003669842
yahoo_tbill_3m_lag1,0.003531677
idx_CNYRUB_TOM_rv_annualized_ma22,0.0034851176
gold,0.003478764
yahoo_gold_lag1,0.0034140383
fed_rate,0.0034108788
idx_MOEXCN_rv_annualized_vol22,0.0033877124
close_IMOEX,0.003341366
yahoo_dxy_lag1,0.0032203204
yahoo_eem_ma5,0.003217876
yahoo_wti_ma5,0.0031815371
yahoo_treasury_5y_ma5,0.003145561
yahoo_gold_vol22,0.0031054027
yahoo_treasury_10y_ma5,0.0030754893
yahoo_tbill_3m_ma22,0.0029835836
idx_MOEXCN_rv_annualized_ma5,0.0029691323
rv_w,0.0029359844
yahoo_vix_ret22,0.0028713918
yahoo_dxy_ret22,0.0027843092
close_MOEXMM,0.0027771255
yahoo_tbill_3m_vol22,0.0026737018
idx_MOEXOG_rv_annualized_ma22,0.0026559115
si_fut_diff22,0.0026517555
idx_MOEXEU_rv_annualized_ma5,0.0026353048
idx_MOEXEU_rv_annualized_ma22,0.0026220982
idx_MOEXEU_rv_annualized_vol22,0.0026033663
idx_MOEXFN_rv_annualized_vol22,0.0025855144
idx_MOEXCH_rv_annualized_ma22,0.00257719
fed_rate_diff22,0.0025648847
idx_RVI_rv_annualized_ma22,0.0025511882
yahoo_vix_vol22,0.002544237
unemp_us_diff22,0.0025121407
idx_RGBI_rv_annualized_vol22,0.002495409
wti,0.0024766661
idx_IMOEX_rv_annualized_ma22,0.0024741008
close_CNYRUB_TOM,0.0024596718
yahoo_tbill_3m_ma5,0.0024415622
yahoo_vix_ma22,0.002420283
yahoo_wti_vol22,0.0024099827
idx_CNYRUB_TOM_rv_annualized_vol22,0.002373876
yahoo_sp500_vol22,0.002332523
close_RVI,0.0023219835
idx_MOEXCN_rv_annualized_ma22,0.0023202747
rv_RGBI,0.0023164898
dxy,0.0022419954
eem,0.002230974
idx_MOEXCH_rv_annualized_vol22,0.0022238623
brent,0.0022172038
yahoo_eem_ret22,0.0022017292
yahoo_brent_ret22,0.002197642
close,0.0021860383
yahoo_eem_lag1,0.0021718477
fed_rate_diff1,0.0021457106
treasury_10y,0.0021240711
treasury_5y,0.002091741
vix,0.0020573242
rv_MOEXOG,0.0020531411
yahoo_eem_vol22,0.0020353675
idx_MOEXMM_rv_annualized_vol22,0.0020304485
idx_IMOEX_rv_annualized_vol22,0.0020013992
yahoo_gold_ret5,0.001954096
yahoo_brent_vol22,0.0019525386
si_fut_lag1,0.0019435011
close_MOEXCN,0.0019288016
yahoo_treasury_10y_lag1,0.0019090654
idx_MOEXOG_rv_annualized_ma5,0.0018750572
idx_MOEXFN_rv_annualized_ma5,0.0018723486
yahoo_vix_ma5,0.0018722604
idx_MOEXTL_rv_annualized_ma22,0.0018688523
idx_MOEXOG_rv_annualized_vol22,0.0018682198
yahoo_tbill_3m_ret22,0.001858782
yahoo_wti_lag1,0.0018462312
close_MOEXTL,0.001830928
yahoo_gold_ret22,0.0017875115
yahoo_treasury_5y_lag1,0.0017666188
rv_MOEXMM,0.0017151028
si_fut,0.0017128391
idx_MOEXCH_rv_annualized_ma5,0.0017126118
yahoo_wti_ret22,0.001664212
rv_annualized,0.001659073
idx_RGBI_rv_annualized_ma5,0.0016531844
yahoo_treasury_5y_ret5,0.0016273089
yahoo_brent_lag1,0.0016249579
idx_RVI_rv_annualized_ma5,0.0016029456
idx_CNYRUB_TOM_rv_annualized_ma5,0.0015975652
idx_MOEXOG_rv_annualized_lag1,0.0015663969
idx_MOEXTL_rv_annualized_ma5,0.0015383551
yahoo_eem_ret5,0.0015314722
volume,0.0015027948
idx_MOEXTL_rv_annualized_vol22,0.0014886117
yahoo_wti_ret5,0.0014798443
rv_RVI,0.0014756543
yahoo_vix_lag1,0.001475392
idx_MOEXFN_rv_annualized_lag1,0.0014736811
yahoo_brent_ret5,0.0014704362
idx_MOEXMM_rv_annualized_ma5,0.0014549864
yahoo_vix_ret5,0.0014366499
yahoo_dxy_ret5,0.0014115261
yahoo_sp500_ret5,0.0014067008
rv_IMOEX,0.0013559016
yahoo_tbill_3m_ret5,0.0013477376
idx_RGBI_rv_annualized_lag1,0.001340561
idx_MOEXCN_rv_annualized_lag1,0.0013070777
idx_MOEXTL_rv_annualized_lag1,0.0013043551
yahoo_treasury_5y_ret22,0.0013024131
yahoo_sp500_ret1,0.0012900878
idx_MOEXEU_rv_annualized_lag1,0.0012739172
idx_IMOEX_rv_annualized_ma5,0.0012643376
yahoo_treasury_10y_ret5,0.0012638519
idx_RGBI_rv_annualized_ret22,0.0012548285
rv_midday,0.0012268794
idx_CNYRUB_TOM_rv_annualized_lag1,0.001220212
yahoo_wti_ret1,0.001215725
idx_MOEXOG_rv_annualized_ret22,0.0012081725
idx_MOEXMM_rv_annualized_lag1,0.00119668
yahoo_brent_ret1,0.0011883259
bv_annualized,0.0011838056
idx_CNYRUB_TOM_rv_annualized_ret22,0.0011801376
idx_IMOEX_rv_annualized_ret5,0.0011646642
idx_RVI_rv_annualized_lag1,0.0011540587
yahoo_dxy_ret1,0.0011323194
idx_MOEXOG_rv_annualized_ret5,0.0011312482
idx_MOEXEU_rv_annualized_ret1,0.001128585
rv_MOEXCN,0.0011280319
rv_MOEXTL,0.0011237386
bv,0.0011171963
idx_MOEXCN_rv_annualized_ret5,0.0011138596
idx_MOEXTL_rv_annualized_ret5,0.001108038
idx_MOEXMM_rv_annualized_ret5,0.0011040643
idx_MOEXFN_rv_annualized_ret5,0.0011024697
rv_MOEXEU,0.0010999206
idx_MOEXEU_rv_annualized_ret22,0.0010998306
rv_MOEXFN,0.0010826547
idx_MOEXCN_rv_annualized_ret22,0.0010807456
idx_IMOEX_rv_annualized_ret22,0.0010786284
yahoo_treasury_10y_ret1,0.0010701382
idx_MOEXFN_rv_annualized_ret22,0.0010689481
rv_MOEXCH,0.0010670003
yahoo_tbill_3m_ret1,0.0010653307
idx_MOEXMM_rv_annualized_ret22,0.0010626254
idx_RGBI_rv_annualized_ret5,0.0010511471
idx_CNYRUB_TOM_rv_annualized_ret5,0.0010485386
yahoo_gold_ret1,0.0010439355
yahoo_vix_ret1,0.0010372618
idx_MOEXCH_rv_annualized_ret5,0.0010339463
rsv_pos,0.0010324102
idx_RVI_rv_annualized_ret22,0.0010149773
idx_MOEXEU_rv_annualized_ret5,0.0010143379
idx_IMOEX_rv_annualized_lag1,0.0010124773
yahoo_eem_ret1,0.0010120763
idx_CNYRUB_TOM_rv_annualized_ret1,0.0010115238
idx_RGBI_rv_annualized_ret1,0.0010079393
idx_MOEXCH_rv_annualized_ret22,0.0009990102
idx_MOEXMM_rv_annualized_ret1,0.0009966114
idx_MOEXCH_rv_annualized_lag1,0.0009885244
idx_IMOEX_rv_annualized_ret1,0.0009866512
yahoo_treasury_5y_ret1,0.0009856654
rv_CNYRUB_TOM,0.000967306
idx_RVI_rv_annualized_ret5,0.0009614279
si_fut_diff1,0.00095272396
idx_MOEXTL_rv_annualized_ret22,0.00095188315
idx_MOEXTL_rv_annualized_ret1,0.00094697345
idx_MOEXOG_rv_annualized_ret1,0.00094656204
rv,0.0009097559
idx_MOEXCN_rv_annualized_ret1,0.000905256
idx_MOEXFN_rv_annualized_ret1,0.00089030754
rv_d,0.00086198334
jump_lag22,0.00085643487
rv_morning,0.00083280995
jump_annualized,0.00081748905
idx_RVI_rv_annualized_ret1,0.0008171404
rsv_neg,0.0008140218
jump,0.00079710485
rskew,0.00078949844
rv_evening,0.00078548957
jump_lag1,0.0007573701
rkurt,0.00074993965
idx_MOEXCH_rv_annualized_ret1,0.0007400109
jump_lag5,0.0007204852
key_rate_cbr_diff1,0.0004399673
unemp_us_diff1,0.0
cpi_us_diff1,0.0
cpi_ru_diff1,0.0
m2_ru_diff1,0.0
pmi_ru_diff1,0.0
