Strategy,Type,A,B,C,D
S1_MeanRev,Gross,0.2468,0.3958,0.2435,0.4009
S1_MeanRev,Net0.35,-0.4588,-0.1435,-0.4562,0.1049
S1_MeanRev,Net0.45,-0.6189,-0.2767,-0.6146,0.0324
S2_Bollinger,Gross,0.0627,0.2645,0.0627,0.3085
S2_Bollinger,Net0.35,-0.3968,-0.1804,-0.3968,0.0865
S2_Bollinger,Net0.45,-0.5056,-0.2949,-0.5056,0.0228
S3_Donchian,Gross,0.5778,1.0551,0.7358,0.8137
S3_Donchian,Net0.35,-0.1792,-0.4438,0.095,0.0986
S3_Donchian,Net0.45,-0.3895,-0.8318,-0.0778,-0.1007
S4_Supertrend,Gross,0.6876,0.6938,0.9057,0.825
S4_Supertrend,Net0.35,-0.1549,-0.4493,0.219,0.166
S4_Supertrend,Net0.45,-0.3876,-0.7251,0.0301,-0.0158
S5_PivotPoints,Gross,0.5301,0.6128,0.645,0.5675
S5_PivotPoints,Net0.35,-0.1338,-0.1352,0.0343,0.2193
S5_PivotPoints,Net0.45,-0.2917,-0.3084,-0.1141,0.1235
S6_VWAP,Gross,0.2381,0.1906,0.3517,0.1871
S6_VWAP,Net0.35,-1.0277,-0.9663,-0.8161,0.046
S6_VWAP,Net0.45,-1.2772,-1.1767,-1.0485,0.0109
