ticker,approach,total_trades_4yr,mean_expo_%,mean_sharpe,mean_ret_%
AFLT,A,1.0,0.235,0.1232,0.5425
ALRS,A,0.0,0.0,0.0,0.0
HYDR,A,0.0,0.0,0.0,0.0
IRAO,A,0.0,0.0,0.0,0.0
LKOH,A,0.0,0.0,0.0,0.0
LSRG,A,1.0,0.1075,-0.3693,-0.2175
MGNT,A,0.0,0.0,0.0,0.0
MOEX,A,6.0,0.78,-0.1216,-0.1825
MTLR,A,0.0,0.0,0.0,0.0
MTSS,A,3.0,0.285,-0.359,-0.5025
NVTK,A,2.0,0.5,0.0671,-0.2975
OGKB,A,3.0,0.4025,-0.4351,-0.35
PHOR,A,1.0,0.0975,0.1075,0.095
RTKM,A,0.0,0.0,0.0,0.0
SBER,A,0.0,0.0,0.0,0.0
TATN,A,4.0,0.645,-0.101,-0.19
VTBR,A,2.0,0.2075,-0.3851,-0.18
AFLT,B,0.0,0.0,0.0,0.0
ALRS,B,0.0,0.0,0.0,0.0
HYDR,B,0.0,0.0,0.0,0.0
IRAO,B,0.0,0.0,0.0,0.0
LKOH,B,0.0,0.0,0.0,0.0
LSRG,B,0.0,0.0,0.0,0.0
MGNT,B,0.0,0.0,0.0,0.0
MOEX,B,0.0,0.0,0.0,0.0
MTLR,B,0.0,0.0,0.0,0.0
MTSS,B,1.0,0.1075,0.2079,0.475
NVTK,B,1.0,0.1075,0.2594,0.0375
OGKB,B,1.0,0.1075,-0.3515,-0.165
PHOR,B,1.0,0.0975,0.1075,0.095
RTKM,B,0.0,0.0,0.0,0.0
SBER,B,0.0,0.0,0.0,0.0
TATN,B,1.0,0.0975,-0.0382,-0.02
VTBR,B,0.0,0.0,0.0,0.0
AFLT,D,1.0,0.1575,0.183,0.7675
ALRS,D,0.0,0.0,0.0,0.0
HYDR,D,0.0,0.0,0.0,0.0
IRAO,D,0.0,0.0,0.0,0.0
LKOH,D,0.0,0.0,0.0,0.0
LSRG,D,0.0,0.0,0.0,0.0
MGNT,D,0.0,0.0,0.0,0.0
MOEX,D,0.0,0.0,0.0,0.0
MTLR,D,0.0,0.0,0.0,0.0
MTSS,D,1.0,0.1075,0.2079,0.475
NVTK,D,2.0,0.205,0.3532,0.1125
OGKB,D,1.0,0.1075,-0.3515,-0.165
PHOR,D,1.0,0.0975,0.1075,0.095
RTKM,D,0.0,0.0,0.0,0.0
SBER,D,0.0,0.0,0.0,0.0
TATN,D,4.0,0.5475,-0.2481,-0.41
VTBR,D,0.0,0.0,0.0,0.0
