Стратегия,Категория,Gross (d),Net 0.05% (d),Net 0.06% (d),Δ (d),Gross (h),Net 0.04% (h),Net 0.05% (h),Δ (h)
S1 Mean Reversion,Контртренд,0.608,0.576,0.569,-0.032,0.396,0.335,0.319,-0.061
S2 Bollinger Bands,Контртренд,0.535,0.508,0.503,-0.026,0.682,0.514,0.47,-0.168
S3 Donchian Channel,Тренд,0.836,0.785,0.775,-0.051,1.055,0.879,0.835,-0.176
S4 Supertrend,Тренд,0.648,0.597,0.586,-0.051,0.694,0.55,0.516,-0.144
S5 Pivot Points,Диапазон,0.401,0.388,0.386,-0.013,0.613,0.522,0.499,-0.091
S6 VWAP,Диапазон,0.757,0.72,0.713,-0.037,0.191,0.029,-0.01,-0.162
Контртренд,Контртренд,0.572,0.542,0.536,-0.029,0.539,0.424,0.394,-0.115
Тренд,Тренд,0.742,0.691,0.68,-0.051,0.874,0.715,0.675,-0.16
Диапазон,Диапазон,0.579,0.554,0.549,-0.025,0.402,0.276,0.244,-0.127
Среднее,,0.631,0.596,0.589,-0.035,0.605,0.471,0.438,-0.134
