Стратегия,Категория,Gross (d),Net 0.05% (d),Net 0.06% (d),Δ (d),Gross (h),Net 0.04% (h),Net 0.05% (h),Δ (h)
S1 Mean Reversion,Контртренд,0.743,0.714,0.708,-0.029,0.401,0.365,0.356,-0.036
S2 Bollinger Bands,Контртренд,0.584,0.564,0.56,-0.019,0.742,0.63,0.603,-0.111
S3 Donchian Channel,Тренд,0.916,0.89,0.884,-0.026,0.814,0.732,0.711,-0.082
S4 Supertrend,Тренд,0.769,0.746,0.741,-0.023,0.825,0.749,0.73,-0.076
S5 Pivot Points,Диапазон,0.313,0.302,0.3,-0.011,0.568,0.53,0.52,-0.038
S6 VWAP,Диапазон,0.808,0.772,0.765,-0.035,0.187,0.171,0.167,-0.016
Контртренд,Контртренд,0.663,0.639,0.634,-0.024,0.572,0.497,0.479,-0.073
Тренд,Тренд,0.843,0.818,0.812,-0.025,0.819,0.74,0.72,-0.079
Диапазон,Диапазон,0.56,0.537,0.532,-0.023,0.377,0.351,0.344,-0.027
Среднее,,0.689,0.665,0.66,-0.024,0.59,0.529,0.514,-0.06
