Стратегия,Категория,A,B,C,D,Best,Δ% best vs A
S1 Mean Reversion,Контртренд,0.605,0.608,0.783,0.743,C,29.369
S2 Bollinger Bands,Контртренд,0.535,0.535,0.709,0.584,C,32.511
S3 Donchian Channel,Тренд,0.548,0.836,0.967,0.916,C,76.46
S4 Supertrend,Тренд,0.514,0.648,0.829,0.769,C,61.069
S5 Pivot Points,Диапазон,0.33,0.401,0.364,0.313,B,21.338
S6 VWAP,Диапазон,0.723,0.757,0.78,0.808,D,11.684
Контртренд,Контртренд,0.57,0.572,0.746,0.663,,
Тренд,Тренд,0.531,0.742,0.898,0.843,,
Диапазон,Диапазон,0.526,0.579,0.572,0.56,,
Среднее,,0.542,0.631,0.739,0.689,C,36.347
