Стратегия,Категория,A,B,C,D,Best,Mean(BCD),Δ% mean vs A,Δ% best vs A
S1 Mean Reversion,Контртренд,2.58,2.709,3.2466,3.2404,C,3.0653,18.811,25.837
S2 Bollinger Bands,Контртренд,2.5623,2.546,3.5256,3.0699,C,3.0472,18.923,37.595
S3 Donchian Channel,Тренд,1.0553,2.166,1.655,1.8499,B,1.8903,79.124,105.25
S4 Supertrend,Тренд,1.2677,2.059,1.8916,2.4578,D,2.1361,68.505,93.879
S5 Pivot Points,Диапазон,1.6892,1.9854,2.0018,1.6947,C,1.894,12.122,18.506
S6 VWAP,Диапазон,2.7553,2.9295,3.1029,3.3334,D,3.1219,13.306,20.981
Контртренд,Контртренд,2.5712,2.6275,3.3861,3.1551,,,,
Тренд,Тренд,1.1615,2.1125,1.7733,2.1539,,,,
Диапазон,Диапазон,2.2222,2.4575,2.5523,2.5141,,,,
Среднее,,1.985,2.3992,2.5706,2.6077,D,2.5258,27.246,31.37
