Portfolio,Multiplier,Avg_Exposure,Max_Exposure,P95_Exposure,Free_Capital,Pct_Over100,Return_pct,Vol_pct,Sharpe,MDD_pct,Calmar
META-A,1.0,15.9,28.4,24.5,84.1,0.0,13.61,4.37,3.11,-2.79,4.88
META-A,1.5,23.8,42.6,36.8,76.2,0.0,16.02,6.55,2.44,-4.26,3.76
META-A,2.0,31.7,56.9,49.0,68.3,0.0,18.43,8.74,2.11,-5.72,3.23
META-A,2.5,39.7,71.1,61.3,60.3,0.0,20.84,10.92,1.91,-7.16,2.91
META-A,3.0,47.6,85.3,73.5,52.4,0.0,23.26,13.11,1.77,-8.58,2.71
META-A,3.5,55.5,99.5,85.8,44.5,0.0,25.67,15.3,1.68,-10.02,2.56
META-A,4.0,63.4,113.7,98.0,36.8,4.3,28.11,17.48,1.61,-11.71,2.4
META-A,4.5,71.4,127.9,110.3,29.9,11.4,30.63,19.67,1.56,-13.32,2.3
META-A,5.0,79.3,142.2,122.5,23.7,17.9,33.24,21.85,1.52,-14.86,2.24
META-A,5.5,87.2,156.4,134.8,18.4,27.2,35.91,24.04,1.49,-16.38,2.19
META-A,6.0,95.2,170.6,147.1,13.8,33.7,38.64,26.23,1.47,-17.9,2.16
META-A,6.5,103.1,184.8,159.3,10.3,49.8,41.45,28.42,1.46,-19.42,2.14
META-A,7.0,111.0,199.0,171.6,7.4,58.1,44.33,30.6,1.45,-20.89,2.12
META-A,7.5,119.0,213.2,183.8,5.3,68.7,47.26,32.79,1.44,-22.32,2.12
META-A,8.0,126.9,227.5,196.1,3.8,79.5,50.25,34.98,1.44,-23.71,2.12
META-A,8.5,134.8,241.7,208.3,2.7,79.5,53.27,37.16,1.43,-25.08,2.12
META-A,9.0,142.7,255.9,220.6,2.0,85.7,56.33,39.35,1.43,-26.43,2.13
META-A,9.5,150.7,270.1,232.8,1.5,91.6,59.4,41.54,1.43,-27.75,2.14
META-A,10.0,158.6,284.3,245.1,1.1,91.6,62.49,43.72,1.43,-29.05,2.15
META-A,10.5,166.5,298.5,257.4,0.9,94.9,65.58,45.91,1.43,-30.33,2.16
META-A,11.0,174.5,312.7,269.6,0.7,94.9,68.68,48.09,1.43,-31.59,2.17
META-A,11.5,182.4,327.0,281.9,0.5,97.3,71.78,50.28,1.43,-32.83,2.19
META-A,12.0,190.3,341.2,294.1,0.4,97.3,74.89,52.47,1.43,-34.06,2.2
META-A,12.5,198.3,355.4,306.4,0.3,97.3,78.0,54.65,1.43,-35.27,2.21
META-A,13.0,206.2,369.6,318.6,0.2,98.6,81.11,56.84,1.43,-36.46,2.22
META-A,13.5,214.1,383.8,330.9,0.2,98.6,84.23,59.03,1.43,-37.63,2.24
META-A,14.0,222.1,398.0,343.1,0.2,98.6,87.34,61.21,1.43,-38.8,2.25
META-A,14.5,230.0,412.3,355.4,0.1,98.6,90.45,63.4,1.43,-39.94,2.26
META-A,15.0,237.9,426.5,367.6,0.1,99.5,93.57,65.58,1.43,-41.07,2.28
META-B,1.0,4.1,16.7,9.8,95.9,0.0,12.07,1.31,9.22,-0.29,41.78
META-B,1.5,6.2,25.0,14.7,93.8,0.0,13.7,1.96,7.01,-0.44,31.05
META-B,2.0,8.3,33.3,19.6,91.7,0.0,15.34,2.6,5.89,-0.59,25.83
META-B,2.5,10.4,41.7,24.5,89.6,0.0,16.98,3.26,5.22,-0.76,22.27
META-B,3.0,12.4,50.0,29.4,87.6,0.0,18.62,3.91,4.77,-0.94,19.89
META-B,3.5,14.5,58.3,34.3,85.5,0.0,20.26,4.56,4.44,-1.13,17.89
META-B,4.0,16.6,66.7,39.2,83.4,0.0,21.89,5.21,4.2,-1.34,16.37
META-B,4.5,18.6,75.0,44.1,81.4,0.0,23.53,5.86,4.01,-1.54,15.26
META-B,5.0,20.7,83.3,49.0,79.3,0.0,25.17,6.51,3.86,-1.75,14.41
META-B,5.5,22.8,91.7,53.9,77.2,0.0,26.81,7.17,3.74,-1.95,13.71
META-B,6.0,24.9,100.0,58.8,75.1,0.0,28.45,7.82,3.64,-2.17,13.14
META-B,6.5,26.9,108.3,63.7,73.1,0.2,30.09,8.47,3.55,-2.38,12.66
META-B,7.0,29.0,116.7,68.6,71.0,0.5,31.73,9.12,3.48,-2.59,12.26
META-B,7.5,31.1,125.0,73.5,69.0,0.7,33.37,9.78,3.41,-2.8,11.92
META-B,8.0,33.1,133.3,78.4,67.0,1.2,35.02,10.43,3.36,-3.01,11.62
META-B,8.5,35.2,141.7,83.3,65.0,1.2,36.66,11.08,3.31,-3.22,11.37
META-B,9.0,37.3,150.0,88.2,63.1,2.0,38.31,11.73,3.27,-3.44,11.15
META-B,9.5,39.4,158.3,93.1,61.2,3.5,39.97,12.38,3.23,-3.65,10.96
META-B,10.0,41.4,166.7,98.0,59.3,3.5,41.63,13.04,3.19,-3.86,10.78
META-B,10.5,43.5,175.0,102.9,57.5,5.5,43.29,13.69,3.16,-4.07,10.64
META-B,11.0,45.6,183.3,107.8,55.7,5.5,44.96,14.34,3.13,-4.28,10.51
META-B,11.5,47.6,191.7,112.7,54.0,8.6,46.63,15.0,3.11,-4.49,10.39
META-B,12.0,49.7,200.0,117.6,52.4,8.6,48.31,15.65,3.09,-4.7,10.29
META-B,12.5,51.8,208.3,122.5,50.8,8.6,49.99,16.3,3.07,-4.9,10.19
META-B,13.0,53.9,216.7,127.5,49.3,14.3,51.68,16.95,3.05,-5.11,10.11
META-B,13.5,55.9,225.0,132.4,47.9,14.3,53.38,17.61,3.03,-5.39,9.91
META-B,14.0,58.0,233.3,137.3,46.5,14.3,55.08,18.26,3.02,-5.66,9.73
META-B,14.5,60.1,241.7,142.2,45.1,14.3,56.78,18.91,3.0,-6.0,9.46
META-B,15.0,62.1,250.0,147.1,43.9,23.2,58.5,19.56,2.99,-6.33,9.23
META-D,1.0,12.3,24.5,19.6,87.7,0.0,15.01,2.78,5.4,-1.31,11.42
META-D,1.5,18.5,36.8,29.4,81.5,0.0,18.12,4.17,4.34,-2.26,8.01
META-D,2.0,24.6,49.0,39.2,75.4,0.0,21.23,5.56,3.82,-3.25,6.53
META-D,2.5,30.8,61.3,49.0,69.2,0.0,24.34,6.95,3.5,-4.23,5.75
META-D,3.0,37.0,73.5,58.8,63.0,0.0,27.45,8.34,3.29,-5.2,5.28
