Portfolio,Multiplier,Avg_Exposure_pct,P95_Exposure_pct,Max_Exposure_pct,Free_Capital_pct,Pct_Days_Over100,Real_Leverage,Strat_Return_pct,Strat_Vol_pct,Strat_Sharpe,Strat_MDD_pct,MMF_Addition_pct,Total_Return_pct,Total_Vol_pct,Total_Sharpe,Total_MDD_pct,Total_Calmar
META-A,1x,15.9,24.5,28.4,84.1,0.0,No,6.24,4.37,1.43,-3.22,7.37,13.61,4.37,3.11,-2.79,4.88
META-A,2x,31.7,49.0,56.9,68.3,0.0,No,12.47,8.74,1.43,-6.37,5.96,18.43,8.74,2.11,-5.72,3.23
META-A,3x,47.6,73.5,85.3,52.4,0.0,No,18.71,13.12,1.43,-9.44,4.54,23.26,13.11,1.77,-8.58,2.71
META-A,5x,79.3,122.5,142.2,23.7,17.9,Yes,31.19,21.86,1.43,-15.39,2.05,33.24,21.85,1.52,-14.86,2.24
META-A,8x,126.9,196.1,227.5,3.8,79.5,Yes,49.9,34.98,1.43,-23.79,0.35,50.25,34.98,1.44,-23.71,2.12
META-B,1x,4.1,9.8,16.7,95.9,0.0,No,3.63,1.31,2.78,-0.6,8.43,12.07,1.31,9.22,-0.29,41.78
META-B,2x,8.3,19.6,33.3,91.7,0.0,No,7.27,2.61,2.78,-1.19,8.08,15.34,2.6,5.89,-0.59,25.83
META-B,3x,12.4,29.4,50.0,87.6,0.0,No,10.9,3.92,2.78,-1.78,7.72,18.62,3.91,4.77,-0.94,19.89
META-B,5x,20.7,49.0,83.3,79.3,0.0,No,18.17,6.53,2.78,-2.97,7.01,25.17,6.51,3.86,-1.75,14.41
META-B,8x,33.1,78.4,133.3,67.0,1.2,Yes,29.07,10.45,2.78,-4.74,5.95,35.02,10.43,3.36,-3.01,11.62
META-D,1x,12.3,19.6,24.5,87.7,0.0,No,7.31,2.78,2.63,-2.16,7.7,15.01,2.78,5.4,-1.31,11.42
META-D,2x,24.6,39.2,49.0,75.4,0.0,No,14.63,5.57,2.63,-4.3,6.61,21.23,5.56,3.82,-3.25,6.53
META-D,3x,37.0,58.8,73.5,63.0,0.0,No,21.94,8.35,2.63,-6.4,5.52,27.45,8.34,3.29,-5.2,5.28
META-D,5x,61.6,98.0,122.5,38.7,3.4,Yes,36.56,13.92,2.63,-10.5,3.37,39.93,13.91,2.87,-9.84,4.06
META-D,8x,98.5,156.9,196.1,13.4,48.9,Yes,58.5,22.27,2.63,-16.42,1.2,59.71,22.26,2.68,-16.33,3.66
META-BEST,1x,12.4,19.6,25.5,87.6,0.0,No,7.49,2.79,2.68,-2.1,7.69,15.17,2.79,5.44,-1.28,11.88
META-BEST,2x,24.8,39.2,51.0,75.2,0.0,No,14.97,5.58,2.68,-4.16,6.59,21.56,5.58,3.87,-3.14,6.87
META-BEST,3x,37.2,58.8,76.5,62.8,0.0,No,22.46,8.37,2.68,-6.2,5.49,27.94,8.37,3.34,-5.08,5.5
META-BEST,5x,62.1,98.0,127.5,38.3,3.5,Yes,37.43,13.96,2.68,-10.19,3.33,40.75,13.95,2.92,-9.54,4.27
META-BEST,8x,99.3,156.9,203.9,12.7,49.9,Yes,59.88,22.33,2.68,-15.95,1.13,61.01,22.33,2.73,-15.86,3.85
