feature,importance
close,15059
volume,10983
rv_q,10880
rv_m,7074
rv_2w,6715
jump_lag22,6344
rv_w,4799
rv_d,4736
rkurt,4664
rskew,4548
rv_midday,4493
jump,4329
jump_lag1,4184
jump_lag5,4090
rv_evening,3990
rsv_pos,3802
rv_morning,3530
bv,3256
rsv_neg,2831
rv,2314
idx_RVI_rv_annualized_vol22,1828
yahoo_treasury_5y_vol22,1596
yahoo_treasury_10y_ret22,1519
yahoo_gold_ret22,1349
yahoo_gold_ret5,1342
idx_IMOEX_rv_annualized_ret5,1333
yahoo_dxy_ret22,1308
m2_ru_lag1,1290
close_MOEXTL,1266
yahoo_dxy_ret5,1264
yahoo_gold_vol22,1177
yahoo_eem_ma22,1167
yahoo_gold_ret1,1165
idx_CNYRUB_TOM_rv_annualized_ma5,1164
si_fut_diff22,1129
yahoo_dxy_ret1,1123
close_MOEXOG,1112
yahoo_tbill_3m_vol22,1076
rv_RGBI,1066
gold,1060
yahoo_vix_ret5,1059
yahoo_brent_ret5,1057
yahoo_sp500_vol22,1030
idx_RVI_rv_annualized_lag1,1026
idx_MOEXFN_rv_annualized_ret5,1025
idx_CNYRUB_TOM_rv_annualized_lag1,1016
yahoo_dxy_vol22,982
idx_RVI_rv_annualized_ma5,981
yahoo_wti_ret1,976
idx_MOEXTL_rv_annualized_ma5,975
idx_MOEXCN_rv_annualized_ma5,960
idx_MOEXCN_rv_annualized_ret5,960
yahoo_treasury_10y_ret1,953
idx_CNYRUB_TOM_rv_annualized_ret1,950
idx_IMOEX_rv_annualized_ret1,937
idx_MOEXCH_rv_annualized_ret1,918
yahoo_sp500_ma22,915
yahoo_tbill_3m_ret5,908
idx_MOEXCH_rv_annualized_ma5,896
idx_MOEXEU_rv_annualized_ret1,893
yahoo_eem_ret5,892
yahoo_tbill_3m_ret22,889
yahoo_brent_ret1,887
idx_CNYRUB_TOM_rv_annualized_ret5,884
yahoo_treasury_10y_vol22,876
idx_MOEXMM_rv_annualized_ret5,870
yahoo_sp500_ret1,869
idx_MOEXCH_rv_annualized_vol22,857
yahoo_eem_ret22,843
idx_MOEXEU_rv_annualized_vol22,834
idx_MOEXCH_rv_annualized_ret5,830
idx_MOEXFN_rv_annualized_lag1,827
idx_MOEXMM_rv_annualized_lag1,825
idx_IMOEX_rv_annualized_ret22,823
rv_MOEXCN,821
idx_RVI_rv_annualized_ma22,820
yahoo_vix_ret22,815
idx_RGBI_rv_annualized_ret22,813
idx_MOEXEU_rv_annualized_ma22,813
idx_MOEXOG_rv_annualized_ret5,810
yahoo_dxy_lag1,810
idx_RVI_rv_annualized_ret1,806
idx_MOEXTL_rv_annualized_lag1,806
close_MOEXCN,806
