feature,importance
rv_w,1764
rv_q,1566
bv,1537
rv_evening,1487
rv,1485
rv_m,1220
rv_2w,1165
rv_d,1011
rsv_pos,994
rsv_neg,927
rv_midday,856
rv_morning,724
rkurt,606
close,532
rv_MOEXCN,529
rskew,486
close_MOEXEU,395
si_fut_diff22,393
volume,387
yahoo_eem_ret1,344
jump_lag1,281
yahoo_gold_ret1,280
yahoo_vix_ret5,275
idx_RVI_rv_annualized_ret1,262
jump,252
yahoo_eem_ret5,247
rv_MOEXMM,246
idx_CNYRUB_TOM_rv_annualized_ret5,233
yahoo_wti_ret5,229
yahoo_dxy_vol22,227
idx_MOEXMM_rv_annualized_ma5,225
idx_RGBI_rv_annualized_lag1,218
yahoo_gold_ret22,209
yahoo_vix_ret1,207
yahoo_wti_vol22,205
idx_MOEXMM_rv_annualized_ret5,203
jump_lag22,199
idx_MOEXCN_rv_annualized_ret5,195
idx_RGBI_rv_annualized_ret1,183
si_fut_diff1,179
rv_MOEXTL,177
yahoo_tbill_3m_ret22,172
idx_CNYRUB_TOM_rv_annualized_lag1,165
yahoo_brent_vol22,161
yahoo_vix_ret22,158
yahoo_dxy_ret22,158
rv_annualized,154
yahoo_gold_ret5,153
idx_IMOEX_rv_annualized_ret1,152
idx_MOEXCH_rv_annualized_ret5,151
idx_IMOEX_rv_annualized_lag1,146
idx_RVI_rv_annualized_lag1,146
idx_MOEXEU_rv_annualized_vol22,145
idx_RVI_rv_annualized_ma5,140
idx_CNYRUB_TOM_rv_annualized_ret1,139
yahoo_eem_ret22,139
idx_MOEXCN_rv_annualized_ret1,138
yahoo_gold_ma22,138
bv_annualized,137
yahoo_treasury_10y_ret5,135
idx_MOEXEU_rv_annualized_ret5,132
jump_lag5,130
idx_MOEXOG_rv_annualized_ret5,124
yahoo_treasury_5y_ret5,124
yahoo_brent_ret22,121
idx_MOEXCH_rv_annualized_lag1,119
idx_CNYRUB_TOM_rv_annualized_ma22,118
idx_MOEXOG_rv_annualized_lag1,116
idx_MOEXFN_rv_annualized_ret5,114
yahoo_brent_ret5,113
rv_MOEXCH,113
idx_MOEXCN_rv_annualized_ma5,112
idx_MOEXFN_rv_annualized_ret1,111
idx_RVI_rv_annualized_vol22,111
idx_MOEXCH_rv_annualized_vol22,111
idx_RVI_rv_annualized_ma22,110
idx_MOEXEU_rv_annualized_ret22,110
yahoo_wti_ret1,110
idx_RVI_rv_annualized_ret22,109
idx_RGBI_rv_annualized_ma5,108
yahoo_dxy_ret1,108
yahoo_sp500_ret5,106
yahoo_brent_ret1,106
rv_MOEXEU,106
idx_MOEXCH_rv_annualized_ma5,106
idx_MOEXOG_rv_annualized_vol22,106
close_MOEXCN,104
yahoo_tbill_3m_ma5,102
rv_IMOEX,99
yahoo_vix_ma22,97
