strategy,timeframe,recalib_freq,train_window,sharpe_median,sharpe_mean,n_positive
S1_MeanRev,daily,63,252,-0.3707,-0.2817,4
S1_MeanRev,daily,63,504,-0.3455,-0.3,3
S1_MeanRev,daily,126,252,0.0272,0.0076,9
S1_MeanRev,daily,126,504,-0.2869,-0.2598,4
S1_MeanRev,daily,252,252,-0.0946,-0.1686,7
S1_MeanRev,daily,252,504,0.0935,-0.068,9
S1_MeanRev,hourly,63,252,-0.2451,-0.2033,4
S1_MeanRev,hourly,63,504,-0.1023,-0.1491,6
S1_MeanRev,hourly,126,252,-0.3649,-0.2109,5
S1_MeanRev,hourly,126,504,-0.3089,-0.1913,6
S1_MeanRev,hourly,252,252,-0.1442,-0.1703,5
S1_MeanRev,hourly,252,504,-0.3503,-0.1699,8
S2_Bollinger,daily,63,252,-0.1775,-0.1979,4
S2_Bollinger,daily,63,504,-0.167,-0.1895,6
S2_Bollinger,daily,126,252,0.0785,0.0934,10
S2_Bollinger,daily,126,504,-0.31,-0.2167,4
S2_Bollinger,daily,252,252,0.008,-0.0151,9
S2_Bollinger,daily,252,504,-0.0668,-0.1747,6
S2_Bollinger,hourly,63,252,-0.1106,-0.1041,7
S2_Bollinger,hourly,63,504,-0.1323,-0.1181,5
S2_Bollinger,hourly,126,252,-0.0539,-0.1378,8
S2_Bollinger,hourly,126,504,-0.0246,-0.0715,8
S2_Bollinger,hourly,252,252,-0.0957,-0.0905,7
S2_Bollinger,hourly,252,504,-0.0736,-0.1057,7
S3_Donchian,daily,63,252,0.1026,0.0721,13
S3_Donchian,daily,63,504,0.2242,0.1671,12
S3_Donchian,daily,126,252,0.2315,0.1482,13
S3_Donchian,daily,126,504,0.3013,0.1761,12
S3_Donchian,daily,252,252,0.1185,0.0351,12
S3_Donchian,daily,252,504,0.191,0.1227,12
S3_Donchian,hourly,63,252,0.3715,0.3223,13
S3_Donchian,hourly,63,504,0.4069,0.3603,13
S3_Donchian,hourly,126,252,0.3924,0.364,13
S3_Donchian,hourly,126,504,0.3913,0.3504,13
S3_Donchian,hourly,252,252,0.3243,0.4306,15
S3_Donchian,hourly,252,504,0.4789,0.4013,13
S4_Supertrend,daily,63,252,0.166,0.2052,11
S4_Supertrend,daily,63,504,0.2016,0.1866,11
S4_Supertrend,daily,126,252,0.1802,0.1487,12
S4_Supertrend,daily,126,504,0.4056,0.2217,11
S4_Supertrend,daily,252,252,0.2198,0.1565,11
S4_Supertrend,daily,252,504,0.3664,0.2858,14
S4_Supertrend,hourly,63,252,0.1642,0.1643,13
S4_Supertrend,hourly,63,504,0.1485,0.198,11
S4_Supertrend,hourly,126,252,0.1515,0.1864,12
S4_Supertrend,hourly,126,504,0.2576,0.2333,10
S4_Supertrend,hourly,252,252,0.0638,0.0153,9
S4_Supertrend,hourly,252,504,0.0649,-0.0395,9
S5_PivotPoints,daily,63,252,-0.2877,-0.3866,2
S5_PivotPoints,daily,63,504,-0.3555,-0.3214,3
S5_PivotPoints,daily,126,252,-0.3654,-0.3519,2
S5_PivotPoints,daily,126,504,-0.2478,-0.3387,4
S5_PivotPoints,daily,252,252,-0.1779,-0.2067,3
S5_PivotPoints,daily,252,504,-0.2825,-0.3279,3
S5_PivotPoints,hourly,63,252,-0.2455,-0.3509,5
S5_PivotPoints,hourly,63,504,-0.2634,-0.2576,6
S5_PivotPoints,hourly,126,252,-0.366,-0.308,5
S5_PivotPoints,hourly,126,504,-0.3886,-0.3154,4
S5_PivotPoints,hourly,252,252,-0.4144,-0.3929,3
S5_PivotPoints,hourly,252,504,-0.3054,-0.3125,5
S6_VWAP,daily,63,252,-0.2106,-0.1969,5
S6_VWAP,daily,63,504,-0.2372,-0.1569,7
S6_VWAP,daily,126,252,-0.2172,-0.2414,4
S6_VWAP,daily,126,504,-0.331,-0.2051,7
S6_VWAP,daily,252,252,-0.2934,-0.3538,2
S6_VWAP,daily,252,504,-0.3089,-0.2797,4
S6_VWAP,hourly,63,252,-0.2163,-0.2326,5
S6_VWAP,hourly,63,504,-0.0031,-0.1054,8
S6_VWAP,hourly,126,252,-0.3002,-0.2678,6
S6_VWAP,hourly,126,504,-0.1714,-0.2097,7
S6_VWAP,hourly,252,252,-0.4901,-0.3186,6
S6_VWAP,hourly,252,504,-0.2469,-0.3088,5
