strategy,timeframe,category,ticker,sharpe,ann_return_pct,ann_vol_pct,max_dd_pct,calmar,win_rate_pct,profit_factor,payoff_ratio,exposure_pct,turnover,avg_trade_bars,n_trades
S1_MeanRev,daily,Contrarian,AFLT,0.5885,6.01,10.22,-15.03,0.4002,57.8,1.411,1.028,8.93,12.4,3.6,28
S1_MeanRev,daily,Contrarian,ALRS,0.4152,3.46,8.34,-15.69,0.2206,55.1,1.28,1.012,6.83,5.7,6.0,13
S1_MeanRev,daily,Contrarian,HYDR,-0.2366,-1.08,4.58,-14.84,-0.073,53.5,0.799,0.66,3.77,5.5,3.3,13
S1_MeanRev,daily,Contrarian,IRAO,-0.0225,-0.24,10.78,-21.59,-0.0113,48.2,0.988,1.063,12.02,11.5,5.3,26
S1_MeanRev,daily,Contrarian,LKOH,0.0982,0.46,4.69,-7.57,0.0608,48.8,1.066,1.092,7.36,6.4,5.6,15
S1_MeanRev,daily,Contrarian,LSRG,0.7726,6.36,8.23,-9.34,0.6808,58.0,1.77,1.239,6.1,6.9,4.3,16
S1_MeanRev,daily,Contrarian,MGNT,-0.2061,-2.56,12.42,-41.26,-0.062,52.9,0.912,0.775,16.55,16.8,5.0,38
S1_MeanRev,daily,Contrarian,MOEX,0.0935,0.71,7.59,-10.27,0.0691,44.0,1.061,1.32,7.36,7.1,5.2,16
S1_MeanRev,daily,Contrarian,MTLR,0.2723,3.79,13.94,-25.54,0.1485,52.5,1.193,1.055,8.68,8.4,5.2,19
S1_MeanRev,daily,Contrarian,MTSS,-1.0685,-6.71,6.28,-31.79,-0.2112,41.9,0.407,0.564,5.43,6.6,4.1,15
S1_MeanRev,daily,Contrarian,NVTK,-0.6111,-13.34,21.84,-81.53,-0.1637,44.0,0.728,0.912,18.98,12.2,8.0,27
S1_MeanRev,daily,Contrarian,OGKB,-0.8624,-10.65,12.35,-51.23,-0.2078,44.0,0.492,0.612,6.6,6.9,4.7,16
S1_MeanRev,daily,Contrarian,PHOR,0.3057,2.09,6.84,-6.9,0.3032,52.6,1.194,1.055,10.0,9.3,5.4,21
S1_MeanRev,daily,Contrarian,RTKM,0.4312,4.56,10.58,-14.95,0.3052,59.3,1.287,0.884,9.89,8.4,5.9,19
S1_MeanRev,daily,Contrarian,SBER,-0.9209,-7.33,7.96,-35.41,-0.2069,43.4,0.549,0.716,9.28,10.2,4.6,23
S1_MeanRev,daily,Contrarian,TATN,-0.4911,-5.94,12.1,-65.41,-0.0908,46.6,0.83,0.943,22.02,12.4,9.0,28
S1_MeanRev,daily,Contrarian,VTBR,0.2861,2.13,7.43,-14.74,0.1442,57.1,1.191,0.87,8.0,7.1,5.7,16
S1_MeanRev,hourly,Contrarian,AFLT,0.0674,0.44,6.55,-11.79,0.0375,50.6,1.023,0.96,3.81,29.3,5.9,76
S1_MeanRev,hourly,Contrarian,ALRS,-0.1392,-0.85,6.09,-16.55,-0.0512,49.4,0.961,0.976,4.36,31.8,6.2,83
S1_MeanRev,hourly,Contrarian,HYDR,0.7796,5.34,6.85,-8.66,0.6161,53.6,1.265,1.046,5.99,45.6,6.0,119
S1_MeanRev,hourly,Contrarian,IRAO,-0.4228,-3.33,7.88,-20.99,-0.1587,49.8,0.9,0.862,7.71,62.9,5.6,164
S1_MeanRev,hourly,Contrarian,LKOH,-0.0062,-0.03,4.18,-6.61,-0.0039,48.3,0.996,1.026,1.75,20.7,3.8,54
S1_MeanRev,hourly,Contrarian,LSRG,-0.1549,-1.28,8.29,-29.3,-0.0438,49.8,0.951,0.866,5.16,51.3,4.6,133
S1_MeanRev,hourly,Contrarian,MGNT,-0.7199,-3.75,5.21,-28.82,-0.1302,46.5,0.688,0.778,1.82,14.6,5.7,38
S1_MeanRev,hourly,Contrarian,MOEX,-0.1023,-0.39,3.84,-12.75,-0.0308,47.9,0.957,1.03,2.79,22.2,5.7,58
