strategy,timeframe,category,ticker,sharpe,ann_return_pct,ann_vol_pct,max_dd_pct,calmar,win_rate_pct,profit_factor,payoff_ratio,exposure_pct,turnover,avg_trade_bars,n_trades
S1_MeanRev,daily,Contrarian,AFLT,-0.4274,-7.86,18.4,-60.46,-0.1301,46.2,0.704,0.804,7.6,7.6,5.0,21
S1_MeanRev,daily,Contrarian,ALRS,0.0141,0.15,10.46,-23.62,0.0063,53.2,1.006,0.876,14.56,11.6,6.3,32
S1_MeanRev,daily,Contrarian,HYDR,-0.0398,-0.52,13.0,-17.63,-0.0294,51.4,0.977,0.912,12.7,9.8,6.6,27
S1_MeanRev,daily,Contrarian,IRAO,0.233,2.4,10.3,-17.38,0.1381,52.8,1.095,0.959,21.91,18.5,6.0,51
S1_MeanRev,daily,Contrarian,LKOH,-0.1245,-1.56,12.49,-31.9,-0.0488,50.3,0.953,0.94,21.09,15.7,6.8,43
S1_MeanRev,daily,Contrarian,LSRG,-0.0434,-0.45,10.4,-31.46,-0.0143,48.1,0.98,1.035,13.37,15.8,4.2,44
S1_MeanRev,daily,Contrarian,MGNT,-0.3448,-4.23,12.26,-36.23,-0.1167,49.6,0.869,0.863,19.23,14.5,6.7,40
S1_MeanRev,daily,Contrarian,MOEX,0.3562,3.21,9.02,-11.29,0.2848,57.9,1.195,0.87,11.41,9.0,6.4,25
S1_MeanRev,daily,Contrarian,MTLR,0.6195,10.3,16.62,-29.46,0.3495,54.5,1.41,1.143,11.85,10.5,5.7,29
S1_MeanRev,daily,Contrarian,MTSS,-0.3351,-1.98,5.92,-23.48,-0.0845,44.4,0.783,0.944,7.11,6.5,5.5,18
S1_MeanRev,daily,Contrarian,NVTK,0.2329,3.71,15.95,-30.1,0.1234,49.6,1.098,1.098,18.13,12.3,7.4,34
S1_MeanRev,daily,Contrarian,OGKB,-0.5488,-9.88,18.0,-60.21,-0.1641,50.6,0.739,0.713,11.96,10.2,5.9,28
S1_MeanRev,daily,Contrarian,PHOR,0.5204,4.68,8.99,-14.58,0.3207,52.8,1.305,1.139,11.71,9.1,6.5,25
S1_MeanRev,daily,Contrarian,RTKM,0.0749,0.83,11.13,-18.48,0.0451,53.5,1.037,0.89,13.27,8.3,8.0,23
S1_MeanRev,daily,Contrarian,SBER,-0.1487,-1.44,9.7,-36.37,-0.0396,52.2,0.923,0.844,11.26,9.8,5.8,27
S1_MeanRev,daily,Contrarian,TATN,0.1616,1.95,12.05,-27.41,0.071,51.7,1.079,1.006,14.44,11.0,6.7,30
S1_MeanRev,daily,Contrarian,VTBR,0.6391,4.89,7.65,-14.65,0.3335,53.7,1.529,1.265,7.77,6.5,6.0,18
S1_MeanRev,hourly,Contrarian,AFLT,0.7842,6.05,7.72,-10.54,0.5746,55.1,1.337,1.026,3.63,22.6,7.3,59
S1_MeanRev,hourly,Contrarian,ALRS,-0.246,-1.15,4.68,-11.6,-0.0992,48.5,0.893,0.917,1.95,18.6,4.7,49
S1_MeanRev,hourly,Contrarian,HYDR,0.4727,3.36,7.12,-15.68,0.2145,50.2,1.274,1.236,2.78,24.1,5.2,63
S1_MeanRev,hourly,Contrarian,IRAO,-0.4272,-2.38,5.56,-22.06,-0.1078,46.6,0.841,0.923,3.56,29.9,5.4,78
S1_MeanRev,hourly,Contrarian,LKOH,0.3564,1.54,4.32,-4.17,0.3688,46.7,1.246,1.392,1.54,14.6,4.8,38
S1_MeanRev,hourly,Contrarian,LSRG,0.007,0.04,6.02,-17.05,0.0025,48.7,1.002,0.935,4.14,39.3,4.8,102
S1_MeanRev,hourly,Contrarian,MGNT,-0.2608,-1.13,4.33,-18.73,-0.0602,48.4,0.881,0.94,1.83,12.6,6.6,33
S1_MeanRev,hourly,Contrarian,MOEX,-0.2933,-1.57,5.34,-15.93,-0.0983,49.3,0.895,0.905,3.18,22.2,6.5,58
S1_MeanRev,hourly,Contrarian,MTLR,-0.2207,-1.82,8.24,-30.9,-0.0588,49.0,0.913,0.932,2.5,14.2,8.0,37
