strategy,timeframe,ticker,recalib_freq,train_window,recalib_idx,sharpe_train,p_ma_window,p_z_entry,p_z_exit,p_max_hold,p_sl_mult,p_tp_mult,p_rsi_thresh,p_vol_regime,p_consec_candles,p_vol_exhaustion,p_bb_window,p_bb_std,p_bw_percentile,p_rsi_divergence,p_dc_window,p_initial_sl_mult,p_trail_n,p_trail_atr_mult,p_breakeven_thresh,p_adx_thresh,p_vol_confirm,p_daily_ma_confirm,p_atr_period,p_multiplier,p_pivot_type,p_adx_exit_thresh,p_adx_entry_thresh,p_bb_squeeze_pctl,p_flat_ma_slope,p_vol_compression,p_vwap_window,p_dev_mult,p_exit_mult,p_hurst_proxy
S1_MeanRev,daily,AFLT,63,252,0,-1.9469,20.0,2.0,0.5,20.0,1.5,2.0,40,1.2,3,ON,,,,,,,,,,,,,,,,,,,,,,,,
S1_MeanRev,daily,AFLT,63,252,1,-1.886,20.0,2.0,0.5,20.0,1.5,2.0,40,1.2,3,ON,,,,,,,,,,,,,,,,,,,,,,,,
S1_MeanRev,daily,AFLT,63,252,2,-1.7452,20.0,2.0,0.5,20.0,1.5,2.0,40,1.2,3,ON,,,,,,,,,,,,,,,,,,,,,,,,
S1_MeanRev,daily,AFLT,63,252,3,1.1254,15.0,2.5,0.3,10.0,1.0,1.5,35,1.5,2,False,,,,,,,,,,,,,,,,,,,,,,,,
S1_MeanRev,daily,AFLT,63,252,4,3.1431,15.0,1.5,0.5,15.0,1.0,2.0,35,OFF,OFF,False,,,,,,,,,,,,,,,,,,,,,,,,
S1_MeanRev,daily,AFLT,63,252,5,2.5742,15.0,1.5,0.5,20.0,1.5,2.0,35,1.0,2,False,,,,,,,,,,,,,,,,,,,,,,,,
S1_MeanRev,daily,AFLT,63,252,6,2.148,15.0,2.5,0.5,10.0,1.0,1.5,OFF,1.2,OFF,False,,,,,,,,,,,,,,,,,,,,,,,,
S1_MeanRev,daily,AFLT,63,252,7,2.4609,20.0,1.5,0.7,20.0,2.0,1.5,OFF,1.0,3,False,,,,,,,,,,,,,,,,,,,,,,,,
S1_MeanRev,daily,AFLT,63,252,8,1.9574,15.0,1.5,0.5,20.0,1.0,2.5,45,1.0,2,True,,,,,,,,,,,,,,,,,,,,,,,,
S1_MeanRev,daily,AFLT,63,252,9,1.4192,25.0,1.5,0.7,20.0,2.0,2.0,OFF,1.0,4,True,,,,,,,,,,,,,,,,,,,,,,,,
S1_MeanRev,daily,AFLT,63,252,10,1.7277,15.0,2.5,0.5,15.0,1.5,2.0,35,1.2,3,False,,,,,,,,,,,,,,,,,,,,,,,,
S1_MeanRev,daily,AFLT,63,252,11,2.187,15.0,2.5,0.5,25.0,1.5,2.0,35,1.5,2,False,,,,,,,,,,,,,,,,,,,,,,,,
S1_MeanRev,daily,AFLT,63,252,12,1.4304,15.0,2.5,0.5,25.0,1.5,1.5,OFF,1.5,4,False,,,,,,,,,,,,,,,,,,,,,,,,
S1_MeanRev,daily,AFLT,63,252,13,1.4212,20.0,1.5,0.7,10.0,1.0,3.0,35,1.2,2,True,,,,,,,,,,,,,,,,,,,,,,,,
S1_MeanRev,daily,AFLT,63,252,14,1.4844,15.0,1.5,0.3,20.0,1.0,2.0,35,1.5,OFF,True,,,,,,,,,,,,,,,,,,,,,,,,
S1_MeanRev,daily,AFLT,63,252,15,2.0274,25.0,1.5,0.7,25.0,1.0,2.0,40,1.2,2,True,,,,,,,,,,,,,,,,,,,,,,,,
S1_MeanRev,daily,AFLT,63,252,16,2.0203,25.0,2.0,0.5,20.0,1.0,3.0,35,1.5,2,True,,,,,,,,,,,,,,,,,,,,,,,,
S1_MeanRev,daily,AFLT,63,252,17,2.1602,25.0,1.5,0.3,20.0,1.5,3.0,35,1.5,4,True,,,,,,,,,,,,,,,,,,,,,,,,
S1_MeanRev,daily,AFLT,63,252,18,2.3522,25.0,1.5,0.7,15.0,1.5,1.5,35,OFF,4,True,,,,,,,,,,,,,,,,,,,,,,,,
S1_MeanRev,daily,AFLT,63,252,19,2.6118,15.0,1.5,0.7,15.0,2.0,3.0,40,1.0,4,False,,,,,,,,,,,,,,,,,,,,,,,,
