strategy,timeframe,ticker,recalib_freq,train_window,recalib_idx,sharpe_train,p_ma_window,p_z_entry,p_z_exit,p_max_hold,p_sl_mult,p_tp_mult,p_rsi_thresh,p_vol_regime,p_consec_candles,p_vol_exhaustion,p_ma200_filter,p_mean_revert_speed,p_bb_window,p_bb_std,p_bw_percentile,p_rsi_divergence,p_close_vs_bb_pct,p_squeeze_then_expand,p_dc_window,p_initial_sl_mult,p_trail_n,p_trail_atr_mult,p_breakeven_thresh,p_adx_thresh,p_vol_confirm,p_daily_ma_confirm,p_momentum_filter,p_atr_expansion,p_atr_period,p_multiplier,p_pivot_type,p_target_exit,p_adx_exit_thresh,p_adx_entry_thresh,p_bb_squeeze_pctl,p_flat_ma_slope,p_vol_compression,p_intraday_range,p_range_bound_check,p_vwap_window,p_dev_mult,p_exit_mult,p_hurst_proxy,p_vwap_slope_flat
S1_MeanRev,daily,AFLT,63,504,0,1.1589,30.0,1.0,0.5,20.0,3.0,1.5,35,1.0,4,True,ON,ON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1_MeanRev,daily,AFLT,63,504,1,1.1589,30.0,1.0,0.7,25.0,1.5,2.5,35,1.0,4,True,ON,ON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1_MeanRev,daily,AFLT,63,504,2,1.1589,20.0,1.25,0.5,20.0,1.5,5.0,35,1.2,4,True,ON,ON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1_MeanRev,daily,AFLT,63,504,3,2.0266,25.0,1.0,0.5,15.0,1.5,1.5,OFF,1.0,4,False,ON,OFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1_MeanRev,daily,AFLT,63,504,4,2.22,20.0,1.0,0.7,25.0,2.0,1.5,30,1.2,2,False,OFF,OFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1_MeanRev,daily,AFLT,63,504,5,1.5337,10.0,1.0,0.5,15.0,1.0,2.0,OFF,1.5,4,False,ON,ON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1_MeanRev,daily,AFLT,63,504,6,1.8493,15.0,2.5,0.5,10.0,1.5,1.5,45,1.5,4,False,OFF,OFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1_MeanRev,daily,AFLT,63,504,7,1.6048,15.0,2.5,0.3,15.0,1.5,1.5,30,1.2,2,False,OFF,OFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1_MeanRev,daily,AFLT,63,504,8,1.3311,15.0,3.0,0.7,20.0,3.0,2.0,35,1.2,OFF,False,OFF,OFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1_MeanRev,daily,AFLT,63,504,9,1.3767,20.0,3.0,0.7,15.0,2.0,2.0,OFF,1.0,4,False,OFF,OFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
