strategy,timeframe,param_name,mode_value,mode_count,total_count,stability_pct
S1_MeanRev,daily,ma_window,15,35,85,41.2
S1_MeanRev,daily,z_entry,1.5,31,85,36.5
S1_MeanRev,daily,z_exit,0.3,40,85,47.1
S1_MeanRev,daily,max_hold,15,27,85,31.8
S1_MeanRev,daily,sl_mult,1.0,30,85,35.3
S1_MeanRev,daily,tp_mult,2.5,28,85,32.9
S1_MeanRev,daily,rsi_thresh,35,25,85,29.4
S1_MeanRev,daily,vol_regime,1.0,28,85,32.9
S1_MeanRev,daily,consec_candles,3,26,85,30.6
S1_MeanRev,daily,vol_exhaustion,True,59,85,69.4
S1_MeanRev,hourly,ma_window,15,182,357,51.0
S1_MeanRev,hourly,z_entry,2.5,245,357,68.6
S1_MeanRev,hourly,z_exit,0.7,131,357,36.7
S1_MeanRev,hourly,max_hold,40,102,357,28.6
S1_MeanRev,hourly,sl_mult,1.0,153,357,42.9
S1_MeanRev,hourly,tp_mult,3.0,114,357,31.9
S1_MeanRev,hourly,rsi_thresh,35,109,357,30.5
S1_MeanRev,hourly,vol_regime,1.0,135,357,37.8
S1_MeanRev,hourly,consec_candles,4,139,357,38.9
S1_MeanRev,hourly,vol_exhaustion,True,219,357,61.3
S2_Bollinger,daily,bb_window,15,76,203,37.4
S2_Bollinger,daily,bb_std,1.5,88,203,43.3
S2_Bollinger,daily,max_hold,20,81,203,39.9
S2_Bollinger,daily,sl_mult,1.0,75,203,36.9
S2_Bollinger,daily,tp_mult,3.0,65,203,32.0
S2_Bollinger,daily,bw_percentile,None,69,203,34.0
S2_Bollinger,daily,vol_regime,1.2,58,203,28.6
S2_Bollinger,daily,consec_candles,4,61,203,30.0
S2_Bollinger,daily,vol_exhaustion,False,108,203,53.2
S2_Bollinger,daily,rsi_divergence,None,165,203,81.3
S2_Bollinger,hourly,bb_window,20,81,187,43.3
S2_Bollinger,hourly,bb_std,2.5,77,187,41.2
S2_Bollinger,hourly,max_hold,20,69,187,36.9
S2_Bollinger,hourly,sl_mult,2.0,63,187,33.7
S2_Bollinger,hourly,tp_mult,1.5,65,187,34.8
S2_Bollinger,hourly,bw_percentile,None,51,187,27.3
S2_Bollinger,hourly,vol_regime,1.0,75,187,40.1
S2_Bollinger,hourly,consec_candles,4,55,187,29.4
S2_Bollinger,hourly,vol_exhaustion,True,104,187,55.6
S2_Bollinger,hourly,rsi_divergence,None,94,187,50.3
S3_Donchian,daily,dc_window,10,87,169,51.5
S3_Donchian,daily,initial_sl_mult,2.5,68,169,40.2
S3_Donchian,daily,trail_n,20,41,169,24.3
S3_Donchian,daily,trail_atr_mult,3.0,71,169,42.0
S3_Donchian,daily,breakeven_thresh,1.0,81,169,47.9
S3_Donchian,daily,adx_thresh,None,78,169,46.2
S3_Donchian,daily,vol_confirm,1.2,48,169,28.4
S3_Donchian,daily,daily_ma_confirm,None,169,169,100.0
S3_Donchian,hourly,dc_window,10,42,102,41.2
S3_Donchian,hourly,initial_sl_mult,2.5,41,102,40.2
S3_Donchian,hourly,trail_n,20,25,102,24.5
S3_Donchian,hourly,trail_atr_mult,2.0,38,102,37.3
S3_Donchian,hourly,breakeven_thresh,1.0,38,102,37.3
S3_Donchian,hourly,adx_thresh,None,54,102,52.9
S3_Donchian,hourly,vol_confirm,None,32,102,31.4
S3_Donchian,hourly,daily_ma_confirm,True,54,102,52.9
S4_Supertrend,daily,atr_period,10,79,169,46.7
S4_Supertrend,daily,multiplier,2.0,62,169,36.7
S4_Supertrend,daily,initial_sl_mult,2.5,71,169,42.0
S4_Supertrend,daily,trail_n,25,54,169,32.0
S4_Supertrend,daily,trail_atr_mult,2.0,76,169,45.0
S4_Supertrend,daily,breakeven_thresh,1.0,81,169,47.9
S4_Supertrend,daily,adx_thresh,None,71,169,42.0
S4_Supertrend,daily,daily_ma_confirm,None,169,169,100.0
S4_Supertrend,hourly,atr_period,10,77,187,41.2
S4_Supertrend,hourly,multiplier,2.0,61,187,32.6
S4_Supertrend,hourly,initial_sl_mult,3.0,63,187,33.7
S4_Supertrend,hourly,trail_n,25,60,187,32.1
S4_Supertrend,hourly,trail_atr_mult,3.0,88,187,47.1
S4_Supertrend,hourly,breakeven_thresh,1.0,72,187,38.5
S4_Supertrend,hourly,adx_thresh,None,83,187,44.4
S4_Supertrend,hourly,daily_ma_confirm,True,101,187,54.0
S5_PivotPoints,daily,pivot_type,classic,55,102,53.9
S5_PivotPoints,daily,max_hold,5,31,102,30.4
S5_PivotPoints,daily,sl_mult,1.0,50,102,49.0
S5_PivotPoints,daily,tp_mult,2.0,44,102,43.1
S5_PivotPoints,daily,adx_exit_thresh,25,40,102,39.2
S5_PivotPoints,daily,adx_entry_thresh,None,36,102,35.3
S5_PivotPoints,daily,bb_squeeze_pctl,None,50,102,49.0
S5_PivotPoints,daily,flat_ma_slope,None,52,102,51.0
S5_PivotPoints,daily,vol_compression,0.8,34,102,33.3
S5_PivotPoints,hourly,pivot_type,classic,236,425,55.5
S5_PivotPoints,hourly,max_hold,20,117,425,27.5
S5_PivotPoints,hourly,sl_mult,1.0,148,425,34.8
S5_PivotPoints,hourly,tp_mult,1.0,186,425,43.8
S5_PivotPoints,hourly,adx_exit_thresh,30,157,425,36.9
S5_PivotPoints,hourly,adx_entry_thresh,15,126,425,29.6
S5_PivotPoints,hourly,bb_squeeze_pctl,None,134,425,31.5
S5_PivotPoints,hourly,flat_ma_slope,0.01,154,425,36.2
S5_PivotPoints,hourly,vol_compression,0.8,141,425,33.2
S6_VWAP,daily,vwap_window,10,137,390,35.1
S6_VWAP,daily,dev_mult,1.0,151,390,38.7
S6_VWAP,daily,exit_mult,0.3,151,390,38.7
S6_VWAP,daily,max_hold,10,113,390,29.0
S6_VWAP,daily,sl_mult,1.5,154,390,39.5
S6_VWAP,daily,tp_mult,2.0,162,390,41.5
S6_VWAP,daily,adx_exit_thresh,25,144,390,36.9
S6_VWAP,daily,adx_entry_thresh,None,183,390,46.9
S6_VWAP,daily,bb_squeeze_pctl,None,181,390,46.4
S6_VWAP,daily,flat_ma_slope,None,187,390,47.9
S6_VWAP,daily,vol_compression,None,132,390,33.8
S6_VWAP,daily,hurst_proxy,None,254,390,65.1
S6_VWAP,hourly,vwap_window,25,120,357,33.6
S6_VWAP,hourly,dev_mult,2.0,174,357,48.7
S6_VWAP,hourly,exit_mult,0.7,141,357,39.5
S6_VWAP,hourly,max_hold,30,97,357,27.2
S6_VWAP,hourly,sl_mult,1.0,128,357,35.9
S6_VWAP,hourly,tp_mult,1.0,149,357,41.7
S6_VWAP,hourly,adx_exit_thresh,25,122,357,34.2
S6_VWAP,hourly,adx_entry_thresh,15,104,357,29.1
S6_VWAP,hourly,bb_squeeze_pctl,0.2,118,357,33.1
S6_VWAP,hourly,flat_ma_slope,0.02,129,357,36.1
S6_VWAP,hourly,vol_compression,None,100,357,28.0
S6_VWAP,hourly,hurst_proxy,None,187,357,52.4
