strategy,timeframe,param_name,mode_value,mode_count,total_count,stability_pct
S1_MeanRev,daily,ma_window,10,54,203,26.6
S1_MeanRev,daily,z_entry,1.0,55,203,27.1
S1_MeanRev,daily,z_exit,0.3,83,203,40.9
S1_MeanRev,daily,max_hold,20,61,203,30.0
S1_MeanRev,daily,sl_mult,1.5,48,203,23.6
S1_MeanRev,daily,tp_mult,5.0,52,203,25.6
S1_MeanRev,daily,rsi_thresh,None,68,203,33.5
S1_MeanRev,daily,vol_regime,None,60,203,29.6
S1_MeanRev,daily,consec_candles,2,58,203,28.6
S1_MeanRev,daily,vol_exhaustion,False,105,203,51.7
S1_MeanRev,daily,ma200_filter,None,139,203,68.5
S1_MeanRev,daily,mean_revert_speed,None,129,203,63.5
S1_MeanRev,hourly,ma_window,10,35,102,34.3
S1_MeanRev,hourly,z_entry,2.0,21,102,20.6
S1_MeanRev,hourly,z_exit,0.3,38,102,37.3
S1_MeanRev,hourly,max_hold,20,33,102,32.4
S1_MeanRev,hourly,sl_mult,1.0,22,102,21.6
S1_MeanRev,hourly,tp_mult,1.5,20,102,19.6
S1_MeanRev,hourly,rsi_thresh,30,25,102,24.5
S1_MeanRev,hourly,vol_regime,1.5,29,102,28.4
S1_MeanRev,hourly,consec_candles,4,35,102,34.3
S1_MeanRev,hourly,vol_exhaustion,False,58,102,56.9
S1_MeanRev,hourly,ma200_filter,True,56,102,54.9
S1_MeanRev,hourly,mean_revert_speed,None,66,102,64.7
S2_Bollinger,daily,bb_window,30,21,85,24.7
S2_Bollinger,daily,bb_std,1.5,30,85,35.3
S2_Bollinger,daily,max_hold,15,31,85,36.5
S2_Bollinger,daily,sl_mult,3.0,27,85,31.8
S2_Bollinger,daily,tp_mult,2.5,17,85,20.0
S2_Bollinger,daily,bw_percentile,None,19,85,22.4
S2_Bollinger,daily,vol_regime,None,31,85,36.5
S2_Bollinger,daily,consec_candles,3,26,85,30.6
S2_Bollinger,daily,vol_exhaustion,False,44,85,51.8
S2_Bollinger,daily,rsi_divergence,None,72,85,84.7
S2_Bollinger,daily,close_vs_bb_pct,None,80,85,94.1
S2_Bollinger,daily,squeeze_then_expand,None,65,85,76.5
S2_Bollinger,hourly,bb_window,10,50,221,22.6
S2_Bollinger,hourly,bb_std,1.5,71,221,32.1
S2_Bollinger,hourly,max_hold,40,77,221,34.8
S2_Bollinger,hourly,sl_mult,2.5,52,221,23.5
S2_Bollinger,hourly,tp_mult,1.5,53,221,24.0
S2_Bollinger,hourly,bw_percentile,None,44,221,19.9
S2_Bollinger,hourly,vol_regime,1.5,59,221,26.7
S2_Bollinger,hourly,consec_candles,3,60,221,27.1
S2_Bollinger,hourly,vol_exhaustion,False,149,221,67.4
S2_Bollinger,hourly,rsi_divergence,None,164,221,74.2
S2_Bollinger,hourly,close_vs_bb_pct,None,199,221,90.0
S2_Bollinger,hourly,squeeze_then_expand,None,143,221,64.7
S3_Donchian,daily,dc_window,5,150,322,46.6
S3_Donchian,daily,initial_sl_mult,2.5,125,322,38.8
S3_Donchian,daily,trail_n,30,64,322,19.9
S3_Donchian,daily,trail_atr_mult,3.0,132,322,41.0
