strategy,timeframe,ticker,p_ma_window,p_z_entry,p_z_exit,p_max_hold,p_sl_mult,p_tp_mult,p_rsi_long,p_rsi_short,p_vol_regime_thresh,p_consec_candles,sharpe_train,sharpe_test,p_dc_window,p_initial_sl_mult,p_trail_n,p_trail_atr_mult,p_breakeven_thresh,p_adx_thresh,p_vol_confirm,p_atr_period,p_multiplier,p_fast_window,p_slow_window
S1_MA_Reversion,daily,AFLT,20.0,2.0,0.5,20.0,1.5,2.0,40.0,60.0,1.2,3.0,-1.5546,-0.3171,,,,,,,,,,,
S4_Donchian,daily,AFLT,,,,,,,,,,,1.7365,-0.2908,10.0,2.0,10.0,2.0,1.0,15.0,1.0,,,,
S4_Donchian,hourly,AFLT,,,,,,,,,,,1.6845,-0.1267,15.0,2.0,15.0,3.0,1.0,20.0,1.0,,,,
S5_Supertrend,hourly,AFLT,,,,,,,,,,,1.5082,0.9697,,2.0,25.0,2.5,1.0,20.0,,14.0,3.5,,
S6_DualMA,hourly,AFLT,,,,,,,,,,,1.3887,0.7867,,2.5,25.0,3.0,1.0,15.0,,,,15.0,80.0
S1_MA_Reversion,daily,ALRS,25.0,1.5,0.3,10.0,1.0,2.5,45.0,60.0,1.0,3.0,1.556,-0.7794,,,,,,,,,,,
S4_Donchian,daily,ALRS,,,,,,,,,,,1.5022,0.1535,10.0,3.0,20.0,3.0,1.0,25.0,1.2,,,,
S4_Donchian,hourly,ALRS,,,,,,,,,,,1.1867,0.3904,10.0,2.5,25.0,2.5,2.0,15.0,0.8,,,,
S5_Supertrend,hourly,ALRS,,,,,,,,,,,1.0665,0.6547,,2.0,10.0,3.0,1.0,15.0,,20.0,3.5,,
S6_DualMA,hourly,ALRS,,,,,,,,,,,1.9646,0.484,,2.0,10.0,3.0,1.5,10.0,,,,25.0,100.0
S1_MA_Reversion,daily,HYDR,25.0,2.5,0.3,10.0,2.0,1.5,40.0,60.0,1.2,3.0,1.0285,-0.7782,,,,,,,,,,,
S4_Donchian,daily,HYDR,,,,,,,,,,,0.6377,-0.2347,10.0,2.0,20.0,2.5,1.0,20.0,1.0,,,,
S4_Donchian,hourly,HYDR,,,,,,,,,,,0.7738,-0.0832,10.0,2.0,25.0,2.0,1.0,15.0,0.8,,,,
S5_Supertrend,hourly,HYDR,,,,,,,,,,,1.8157,0.1894,,2.0,10.0,2.5,1.0,20.0,,14.0,3.5,,
S6_DualMA,hourly,HYDR,,,,,,,,,,,1.7147,-0.1678,,2.5,25.0,3.0,1.0,10.0,,,,25.0,80.0
S1_MA_Reversion,daily,IRAO,25.0,1.5,0.3,10.0,1.5,1.5,40.0,60.0,1.2,3.0,1.9158,0.1546,,,,,,,,,,,
S4_Donchian,daily,IRAO,,,,,,,,,,,0.7995,-0.5183,10.0,2.5,20.0,2.5,1.0,20.0,1.0,,,,
S4_Donchian,hourly,IRAO,,,,,,,,,,,0.3315,-0.3658,10.0,2.5,25.0,2.5,1.5,25.0,0.8,,,,
S5_Supertrend,hourly,IRAO,,,,,,,,,,,0.8474,0.1584,,2.0,10.0,3.0,1.0,15.0,,20.0,3.5,,
S6_DualMA,hourly,IRAO,,,,,,,,,,,1.4733,0.4621,,2.0,25.0,2.0,1.0,20.0,,,,10.0,80.0
S1_MA_Reversion,daily,LKOH,15.0,2.0,0.5,10.0,1.5,2.0,40.0,55.0,1.0,4.0,1.5195,0.2811,,,,,,,,,,,
