strategy,timeframe,param_name,param_value,count
S1_MA_Reversion,daily,ma_window,25.0,10
S1_MA_Reversion,daily,ma_window,20.0,5
S1_MA_Reversion,daily,ma_window,15.0,2
S1_MA_Reversion,daily,z_entry,2.0,10
S1_MA_Reversion,daily,z_entry,1.5,4
S1_MA_Reversion,daily,z_entry,2.5,3
S1_MA_Reversion,daily,z_exit,0.3,10
S1_MA_Reversion,daily,z_exit,0.5,6
S1_MA_Reversion,daily,z_exit,0.7,1
S1_MA_Reversion,daily,max_hold,10.0,10
S1_MA_Reversion,daily,max_hold,15.0,4
S1_MA_Reversion,daily,max_hold,20.0,3
S1_MA_Reversion,daily,sl_mult,1.0,6
S1_MA_Reversion,daily,sl_mult,2.0,6
S1_MA_Reversion,daily,sl_mult,1.5,5
S1_MA_Reversion,daily,tp_mult,2.0,7
S1_MA_Reversion,daily,tp_mult,1.5,7
S1_MA_Reversion,daily,tp_mult,2.5,2
S1_MA_Reversion,daily,tp_mult,3.0,1
S1_MA_Reversion,daily,rsi_long,40.0,9
S1_MA_Reversion,daily,rsi_long,45.0,4
S1_MA_Reversion,daily,rsi_long,35.0,4
S1_MA_Reversion,daily,rsi_short,60.0,7
S1_MA_Reversion,daily,rsi_short,55.0,7
S1_MA_Reversion,daily,rsi_short,65.0,3
S1_MA_Reversion,daily,vol_regime_thresh,1.2,9
S1_MA_Reversion,daily,vol_regime_thresh,1.0,7
S1_MA_Reversion,daily,vol_regime_thresh,1.5,1
S1_MA_Reversion,daily,consec_candles,3.0,7
S1_MA_Reversion,daily,consec_candles,2.0,7
S1_MA_Reversion,daily,consec_candles,4.0,3
S4_Donchian,daily,dc_window,10.0,11
S4_Donchian,daily,dc_window,15.0,5
S4_Donchian,daily,dc_window,30.0,1
S4_Donchian,daily,initial_sl_mult,2.0,13
S4_Donchian,daily,initial_sl_mult,2.5,3
S4_Donchian,daily,initial_sl_mult,3.0,1
S4_Donchian,daily,trail_n,20.0,6
S4_Donchian,daily,trail_n,10.0,5
S4_Donchian,daily,trail_n,25.0,3
S4_Donchian,daily,trail_n,15.0,3
S4_Donchian,daily,trail_atr_mult,2.5,8
S4_Donchian,daily,trail_atr_mult,3.0,5
S4_Donchian,daily,trail_atr_mult,2.0,4
S4_Donchian,daily,breakeven_thresh,1.0,10
S4_Donchian,daily,breakeven_thresh,1.5,4
S4_Donchian,daily,breakeven_thresh,2.0,3
S4_Donchian,daily,adx_thresh,15.0,9
S4_Donchian,daily,adx_thresh,20.0,5
S4_Donchian,daily,adx_thresh,25.0,3
S4_Donchian,daily,vol_confirm,1.0,7
S4_Donchian,daily,vol_confirm,0.8,6
S4_Donchian,daily,vol_confirm,1.2,4
S4_Donchian,hourly,dc_window,10.0,8
S4_Donchian,hourly,dc_window,25.0,3
S4_Donchian,hourly,dc_window,20.0,3
S4_Donchian,hourly,dc_window,30.0,2
S4_Donchian,hourly,dc_window,15.0,1
S4_Donchian,hourly,initial_sl_mult,2.0,11
S4_Donchian,hourly,initial_sl_mult,2.5,5
S4_Donchian,hourly,initial_sl_mult,3.0,1
S4_Donchian,hourly,trail_n,10.0,6
S4_Donchian,hourly,trail_n,15.0,5
S4_Donchian,hourly,trail_n,25.0,4
S4_Donchian,hourly,trail_n,20.0,2
S4_Donchian,hourly,trail_atr_mult,3.0,8
S4_Donchian,hourly,trail_atr_mult,2.0,5
S4_Donchian,hourly,trail_atr_mult,2.5,4
S4_Donchian,hourly,breakeven_thresh,1.0,7
S4_Donchian,hourly,breakeven_thresh,1.5,6
S4_Donchian,hourly,breakeven_thresh,2.0,4
S4_Donchian,hourly,adx_thresh,15.0,8
S4_Donchian,hourly,adx_thresh,20.0,6
S4_Donchian,hourly,adx_thresh,25.0,3
S4_Donchian,hourly,vol_confirm,1.0,7
S4_Donchian,hourly,vol_confirm,0.8,5
S4_Donchian,hourly,vol_confirm,1.2,5
S5_Supertrend,hourly,atr_period,10.0,7
S5_Supertrend,hourly,atr_period,14.0,5
S5_Supertrend,hourly,atr_period,20.0,5
S5_Supertrend,hourly,multiplier,3.5,6
S5_Supertrend,hourly,multiplier,2.5,4
S5_Supertrend,hourly,multiplier,3.0,4
S5_Supertrend,hourly,multiplier,2.0,3
S5_Supertrend,hourly,initial_sl_mult,2.0,14
S5_Supertrend,hourly,initial_sl_mult,2.5,2
S5_Supertrend,hourly,initial_sl_mult,3.0,1
S5_Supertrend,hourly,trail_n,10.0,8
S5_Supertrend,hourly,trail_n,25.0,5
S5_Supertrend,hourly,trail_n,15.0,2
S5_Supertrend,hourly,trail_n,20.0,2
S5_Supertrend,hourly,trail_atr_mult,3.0,7
S5_Supertrend,hourly,trail_atr_mult,2.0,7
S5_Supertrend,hourly,trail_atr_mult,2.5,3
S5_Supertrend,hourly,breakeven_thresh,1.0,10
S5_Supertrend,hourly,breakeven_thresh,1.5,5
S5_Supertrend,hourly,breakeven_thresh,2.0,2
S5_Supertrend,hourly,adx_thresh,20.0,9
S5_Supertrend,hourly,adx_thresh,15.0,4
S5_Supertrend,hourly,adx_thresh,25.0,4
S6_DualMA,hourly,fast_window,25.0,7
S6_DualMA,hourly,fast_window,10.0,6
S6_DualMA,hourly,fast_window,15.0,2
S6_DualMA,hourly,fast_window,20.0,2
S6_DualMA,hourly,slow_window,80.0,6
S6_DualMA,hourly,slow_window,60.0,5
S6_DualMA,hourly,slow_window,100.0,4
S6_DualMA,hourly,slow_window,120.0,2
S6_DualMA,hourly,initial_sl_mult,2.0,13
S6_DualMA,hourly,initial_sl_mult,2.5,4
S6_DualMA,hourly,trail_n,20.0,6
S6_DualMA,hourly,trail_n,10.0,5
S6_DualMA,hourly,trail_n,25.0,4
S6_DualMA,hourly,trail_n,15.0,2
S6_DualMA,hourly,trail_atr_mult,3.0,8
S6_DualMA,hourly,trail_atr_mult,2.0,5
S6_DualMA,hourly,trail_atr_mult,2.5,4
S6_DualMA,hourly,breakeven_thresh,1.0,12
S6_DualMA,hourly,breakeven_thresh,1.5,3
S6_DualMA,hourly,breakeven_thresh,2.0,2
S6_DualMA,hourly,adx_thresh,10.0,9
S6_DualMA,hourly,adx_thresh,15.0,7
S6_DualMA,hourly,adx_thresh,20.0,1
