strategy,timeframe,ticker,sharpe,ann_return_pct,ann_vol_pct,max_dd_pct,calmar,win_rate_pct,profit_factor,payoff_ratio,exposure_pct,turnover,avg_trade_bars,n_trades
S1_MA_Reversion,daily,AFLT,-1.5546,-15.45,9.94,-30.96,-0.499,32.4,0.313,0.655,6.73,7.0,4.9,7
S4_Donchian,daily,AFLT,1.7365,43.07,24.8,-12.61,3.4155,52.2,1.716,1.552,39.8,22.5,9.1,22
S4_Donchian,hourly,AFLT,1.6845,20.44,12.13,-7.42,2.7541,49.8,1.293,1.181,19.3,62.9,13.9,63
S5_Supertrend,hourly,AFLT,1.5082,9.8,6.5,-5.01,1.9559,45.4,1.547,1.678,5.72,26.9,9.6,27
S6_DualMA,hourly,AFLT,1.3887,16.85,12.13,-8.82,1.9101,50.6,1.434,1.287,11.0,44.4,11.4,44
S1_MA_Reversion,daily,ALRS,1.556,12.44,7.99,-5.63,2.2105,60.4,2.206,1.448,10.5,12.0,4.4,12
S4_Donchian,daily,ALRS,1.5022,34.16,22.74,-19.76,1.7285,54.8,1.6,1.322,33.27,7.0,24.0,7
S4_Donchian,hourly,ALRS,1.1867,19.37,16.32,-18.55,1.0438,49.0,1.178,1.198,23.28,108.8,9.7,109
S5_Supertrend,hourly,ALRS,1.0665,12.09,11.34,-14.46,0.8364,52.0,1.242,1.136,11.88,38.9,13.8,39
S6_DualMA,hourly,ALRS,1.9646,24.73,12.59,-7.16,3.454,54.4,1.513,1.245,11.4,41.4,12.6,41
S1_MA_Reversion,daily,HYDR,1.0285,1.73,1.68,-0.69,2.5022,66.7,6.014,3.007,1.19,2.0,3.0,2
S4_Donchian,daily,HYDR,0.6377,13.27,20.81,-24.73,0.5364,51.7,1.34,1.253,17.62,11.0,8.1,11
S4_Donchian,hourly,HYDR,0.7738,10.25,13.24,-10.73,0.9547,47.3,1.147,1.238,15.23,113.8,6.1,114
S5_Supertrend,hourly,HYDR,1.8157,14.41,7.94,-3.92,3.6802,52.3,2.032,1.793,4.29,26.9,7.2,27
S6_DualMA,hourly,HYDR,1.7147,15.29,8.92,-6.98,2.1901,50.8,1.52,1.415,9.39,47.9,8.7,49
S1_MA_Reversion,daily,IRAO,1.9158,16.91,8.83,-4.06,4.1685,55.6,2.556,2.045,14.26,14.5,4.8,15
S4_Donchian,daily,IRAO,0.7995,16.78,20.99,-29.52,0.5684,53.5,1.294,1.124,36.63,14.0,13.2,14
S4_Donchian,hourly,IRAO,0.3315,4.11,12.39,-20.22,0.2032,50.6,1.073,0.996,10.3,61.9,7.5,62
S5_Supertrend,hourly,IRAO,0.8474,7.48,8.83,-6.51,1.1494,50.6,1.187,1.131,9.26,34.4,12.0,35
S6_DualMA,hourly,IRAO,1.4733,8.3,5.63,-4.15,2.0003,52.8,1.499,1.29,5.08,42.9,5.4,43
S1_MA_Reversion,daily,LKOH,1.5195,5.24,3.45,-1.38,3.8,73.3,5.137,1.868,2.97,3.0,5.0,3
S4_Donchian,daily,LKOH,0.903,27.22,30.14,-25.12,1.0833,52.0,1.288,1.188,53.66,17.5,15.1,18
S4_Donchian,hourly,LKOH,1.6772,25.17,15.01,-12.4,2.0303,54.0,1.251,1.048,23.83,62.9,16.9,64
S5_Supertrend,hourly,LKOH,1.5481,22.9,14.79,-12.69,1.8052,54.3,1.274,1.051,19.41,42.9,20.0,44
S6_DualMA,hourly,LKOH,1.8257,15.84,8.68,-5.6,2.8293,55.1,1.419,1.116,10.1,54.9,8.3,55
