strategy,timeframe,n_positive,n_total,pct_positive,best_ticker,best_sharpe,worst_ticker,worst_sharpe,sharpe_median
S6_DualMA,hourly,15,17,88.23529411764706,NVTK,1.123956854155604,OGKB,-0.3398962171780784,0.4937383195271546
S4_Donchian,hourly,14,17,82.35294117647058,TATN,1.3874427571042758,HYDR,-0.5940531226822339,0.3914891987334274
S4_Donchian,daily,11,17,64.70588235294117,SBER,0.5953378688788592,PHOR,-0.6289605532168973,0.1710558401648491
S3_RSI_Reversion,daily,10,17,58.82352941176471,MGNT,0.5807622158125796,MTLR,-0.4136660877008762,0.1179487837667898
S5_Supertrend,hourly,10,17,58.82352941176471,NVTK,0.470537540434859,PHOR,-0.5169207843993749,0.0465774166645316
S5_Supertrend,daily,10,17,58.82352941176471,MTSS,0.7539256070192508,HYDR,-0.4964319098087165,0.0426225641257965
S6_DualMA,daily,8,17,47.05882352941176,LKOH,0.834050207607295,IRAO,-0.4134044836852121,-0.0085078261668887
S2_Bollinger,daily,3,17,17.647058823529413,NVTK,0.4345545378775494,AFLT,-0.587628507059347,-0.1728295590166472
S8_RSI_Stoch,daily,8,17,47.05882352941176,PHOR,0.6841431835609116,AFLT,-0.597001710681895,-0.1919810157034869
S3_RSI_Reversion,hourly,5,17,29.411764705882355,HYDR,0.5954480915289642,TATN,-0.9785681866729328,-0.2048495738207664
S7_Keltner,daily,3,17,17.647058823529413,PHOR,0.2919462602246258,LKOH,-0.842007076278645,-0.3059118476557952
S1_MA_Reversion,daily,5,17,29.411764705882355,HYDR,0.2368758802003965,MTLR,-0.8089400799759058,-0.3100750411365021
S2_Bollinger,hourly,4,17,23.52941176470588,PHOR,0.4353845882729463,TATN,-1.2575090233999058,-0.4241230340409036
S1_MA_Reversion,hourly,3,17,17.647058823529413,PHOR,0.6294628909894774,NVTK,-1.2897469795400895,-0.4468890702078633
S8_RSI_Stoch,hourly,3,17,17.647058823529413,PHOR,0.4286678134768166,MTLR,-1.0821698493493297,-0.4472104335313068
S7_Keltner,hourly,4,17,23.52941176470588,PHOR,0.4252723967025413,MTLR,-1.3091312321390864,-0.8537666114059009
