rank,strategy,timeframe,ticker,sharpe,annual_return,max_drawdown,calmar,exposure,profit_factor
1,S6_DualMA,hourly,TATN,1.047019943507061,0.1220103632572542,-0.1103846363541251,1.10532015402789,0.1446659671213711,1.2124379574992117
2,S4_Donchian,hourly,TATN,1.3874427571042758,0.3329045091404242,-0.3337646710949868,0.9974228490039384,0.4659671213711088,1.1554083870828524
3,S6_DualMA,hourly,NVTK,1.123956854155604,0.1540101636424265,-0.1889859141637275,0.8149293259443671,0.1681725852770189,1.19969715815076
4,S6_DualMA,hourly,AFLT,0.8688503701922028,0.1066052545647786,-0.1468450486693865,0.7259710526896586,0.1464402990288549,1.1690499934515166
5,S6_DualMA,hourly,ALRS,0.9616864554416146,0.1222676987722878,-0.1751580117095079,0.6980422852427874,0.1609026758890519,1.1699242958285574
6,S5_Supertrend,daily,MTSS,0.7539256070192508,0.1003864929578234,-0.1487348981720128,0.6749357023240492,0.2184557438794727,1.3879823633837032
7,S8_RSI_Stoch,daily,PHOR,0.6841431835609116,0.0679833072735154,-0.101889625567362,0.6672250181994217,0.0772613065326633,1.6051266160555129
8,S4_Donchian,daily,SBER,0.5953378688788592,0.1801423709622178,-0.283674051054242,0.6350329552270975,0.4071518193224592,1.2370133240077588
9,S1_MA_Reversion,hourly,PHOR,0.6294628909894774,0.1385925516874914,-0.2197660779823759,0.6306366886094485,0.3143057012941588,1.099920917011282
10,S5_Supertrend,daily,AFLT,0.6920202844317569,0.1090663387780912,-0.1841088355510873,0.5924014371804932,0.2051442910915935,1.3198153985594656
