sharpe,ann_ret_pct,max_dd_pct,exposure_pct,n_trades,year,approach,strategy,timeframe,ticker,sigma_variant
1.4224,8.85,-3.03,14.0,6,2020,A,S1_MeanRev,daily,LSRG,daily
-0.1712,-1.59,-9.68,32.16,12,2021,A,S1_MeanRev,daily,LSRG,daily
0.464,2.91,-3.99,12.93,5,2022,A,S1_MeanRev,daily,LSRG,daily
0.9373,8.02,-3.92,18.5,8,2023,A,S1_MeanRev,daily,LSRG,daily
0.8562,19.97,-12.64,26.95,9,2024,A,S1_MeanRev,daily,LSRG,daily
1.8429,21.19,-3.62,35.16,10,2025,A,S1_MeanRev,daily,LSRG,daily
0.9791,6.23,-3.53,3.88,6,2022,B,S1_MeanRev,daily,LSRG,daily
1.8103,14.6,-1.48,12.2,9,2023,B,S1_MeanRev,daily,LSRG,daily
1.2447,13.22,-5.54,7.03,13,2024,B,S1_MeanRev,daily,LSRG,daily
0.8413,8.4,-6.49,22.9,13,2025,B,S1_MeanRev,daily,LSRG,daily
-0.9698,-2.68,-2.71,7.76,5,2022,C,S1_MeanRev,daily,LSRG,daily
0.5994,4.94,-4.23,11.81,12,2023,C,S1_MeanRev,daily,LSRG,daily
1.4916,24.14,-4.12,8.59,15,2024,C,S1_MeanRev,daily,LSRG,daily
2.1613,21.0,-2.09,19.35,28,2025,C,S1_MeanRev,daily,LSRG,daily
0.4605,4.32,-5.99,12.93,5,2022,D,S1_MeanRev,daily,LSRG,daily
0.9542,12.0,-5.24,18.5,8,2023,D,S1_MeanRev,daily,LSRG,daily
0.8753,20.32,-12.66,26.95,9,2024,D,S1_MeanRev,daily,LSRG,daily
1.9111,21.53,-2.88,35.16,10,2025,D,S1_MeanRev,daily,LSRG,daily
-2.0723,-3.89,-3.58,2.16,4,2022,E,S1_MeanRev,daily,LSRG,daily
1.2516,9.41,-2.07,7.09,7,2023,E,S1_MeanRev,daily,LSRG,daily
1.4707,4.91,-1.21,2.34,5,2024,E,S1_MeanRev,daily,LSRG,daily
0.7011,5.48,-4.19,12.26,20,2025,E,S1_MeanRev,daily,LSRG,daily
-0.9698,-4.02,-4.07,7.76,5,2022,F,S1_MeanRev,daily,LSRG,daily
0.626,7.64,-5.95,11.81,12,2023,F,S1_MeanRev,daily,LSRG,daily
1.4916,24.14,-4.12,8.59,15,2024,F,S1_MeanRev,daily,LSRG,daily
2.154,20.88,-2.09,19.35,28,2025,F,S1_MeanRev,daily,LSRG,daily
-2.0723,-5.83,-5.37,2.16,4,2022,G,S1_MeanRev,daily,LSRG,daily
1.2372,13.92,-3.1,7.09,7,2023,G,S1_MeanRev,daily,LSRG,daily
1.4707,4.91,-1.21,2.34,5,2024,G,S1_MeanRev,daily,LSRG,daily
0.6874,5.34,-4.19,12.26,20,2025,G,S1_MeanRev,daily,LSRG,daily
-0.0481,-0.34,-5.57,15.6,8,2020,A,S2_Bollinger,daily,LSRG,daily
0.017,0.16,-9.68,26.27,9,2021,A,S2_Bollinger,daily,LSRG,daily
0.5081,3.43,-3.51,10.78,4,2022,A,S2_Bollinger,daily,LSRG,daily
0.7937,6.74,-3.22,12.2,4,2023,A,S2_Bollinger,daily,LSRG,daily
0.817,18.64,-12.97,31.64,9,2024,A,S2_Bollinger,daily,LSRG,daily
1.2644,12.76,-3.64,23.23,9,2025,A,S2_Bollinger,daily,LSRG,daily
1.1506,7.27,-2.57,3.02,5,2022,B,S2_Bollinger,daily,LSRG,daily
1.0378,8.53,-3.22,4.72,4,2023,B,S2_Bollinger,daily,LSRG,daily
1.2447,13.22,-5.54,7.03,13,2024,B,S2_Bollinger,daily,LSRG,daily
0.5259,3.41,-5.07,5.16,10,2025,B,S2_Bollinger,daily,LSRG,daily
-2.069,-2.21,-2.03,3.88,2,2022,C,S2_Bollinger,daily,LSRG,daily
0.3993,3.29,-3.36,7.48,7,2023,C,S2_Bollinger,daily,LSRG,daily
1.6641,25.34,-4.12,10.55,19,2024,C,S2_Bollinger,daily,LSRG,daily
1.821,15.33,-2.75,12.26,19,2025,C,S2_Bollinger,daily,LSRG,daily
0.5057,5.12,-5.27,10.78,4,2022,D,S2_Bollinger,daily,LSRG,daily
0.8306,13.99,-6.11,12.2,4,2023,D,S2_Bollinger,daily,LSRG,daily
0.8401,19.08,-12.99,31.64,9,2024,D,S2_Bollinger,daily,LSRG,daily
1.3363,13.15,-2.85,23.23,9,2025,D,S2_Bollinger,daily,LSRG,daily
-1.1787,-0.61,-0.56,0.43,1,2022,E,S2_Bollinger,daily,LSRG,daily
0.7574,6.06,-3.36,3.54,4,2023,E,S2_Bollinger,daily,LSRG,daily
1.4707,4.91,-1.21,2.34,5,2024,E,S2_Bollinger,daily,LSRG,daily
0.6858,3.51,-2.54,3.23,7,2025,E,S2_Bollinger,daily,LSRG,daily
-2.069,-3.31,-3.05,3.88,2,2022,F,S2_Bollinger,daily,LSRG,daily
0.4393,7.18,-6.38,7.48,7,2023,F,S2_Bollinger,daily,LSRG,daily
1.6641,25.34,-4.12,10.55,19,2024,F,S2_Bollinger,daily,LSRG,daily
1.8128,15.23,-2.75,12.26,19,2025,F,S2_Bollinger,daily,LSRG,daily
-1.1787,-0.92,-0.85,0.43,1,2022,G,S2_Bollinger,daily,LSRG,daily
0.7757,12.34,-6.38,3.54,4,2023,G,S2_Bollinger,daily,LSRG,daily
1.4707,4.91,-1.21,2.34,5,2024,G,S2_Bollinger,daily,LSRG,daily
0.6778,3.46,-2.54,3.23,7,2025,G,S2_Bollinger,daily,LSRG,daily
2.2036,61.83,-13.55,36.8,5,2020,A,S3_Donchian,daily,LSRG,daily
1.3537,16.81,-7.23,34.51,6,2021,A,S3_Donchian,daily,LSRG,daily
-0.8836,-17.84,-17.91,11.64,4,2022,A,S3_Donchian,daily,LSRG,daily
-0.251,-3.9,-12.07,27.95,4,2023,A,S3_Donchian,daily,LSRG,daily
0.5411,12.59,-25.15,40.23,10,2024,A,S3_Donchian,daily,LSRG,daily
-0.4801,-3.84,-10.24,6.45,5,2025,A,S3_Donchian,daily,LSRG,daily
-0.3539,-5.81,-13.75,3.02,4,2022,B,S3_Donchian,daily,LSRG,daily
-0.4701,-6.53,-11.27,12.6,6,2023,B,S3_Donchian,daily,LSRG,daily
1.3615,23.96,-14.08,17.19,14,2024,B,S3_Donchian,daily,LSRG,daily
-0.318,-2.01,-6.56,4.19,5,2025,B,S3_Donchian,daily,LSRG,daily
0.0447,0.74,-12.27,4.74,5,2022,C,S3_Donchian,daily,LSRG,daily
-0.0013,-0.02,-15.63,9.06,9,2023,C,S3_Donchian,daily,LSRG,daily
0.7836,15.92,-15.08,21.09,20,2024,C,S3_Donchian,daily,LSRG,daily
