strategy,timeframe,sharpe_mean,sharpe_median,sharpe_std,pct_positive,n_obs
S1_MeanRev,daily,0.3424,0.3902,1.0301,60.8,102
S1_MeanRev,hourly,-0.0029,0.0,0.9637,45.1,102
S2_Bollinger,daily,0.3291,0.3498,0.9643,60.8,102
S2_Bollinger,hourly,-0.0502,0.0,0.9898,47.1,102
S3_Donchian,daily,0.2509,0.228,0.9062,60.8,102
S3_Donchian,hourly,0.1913,0.2865,1.0513,57.8,102
S4_Supertrend,daily,0.4545,0.4574,0.8329,73.5,102
S4_Supertrend,hourly,0.1031,0.1361,0.9307,59.8,102
S5_PivotPoints,daily,-0.3438,-0.3444,0.8745,31.4,102
S5_PivotPoints,hourly,-1.023,-1.1316,1.1301,23.5,102
S6_VWAP,daily,0.0944,0.0,0.8156,43.1,102
S6_VWAP,hourly,-0.694,-0.7168,1.0079,23.5,102
