strategy,timeframe,A,B,C,D,delta_B_pct,delta_C_pct,delta_D_pct
S1_MeanRev,daily,0.4872,0.611,0.4894,0.4858,25.3874,0.4515,-0.2873
S1_MeanRev,hourly,0.0,0.1388,0.2732,0.0,0.0,0.0,0.0
S2_Bollinger,daily,0.4413,0.5032,0.5773,0.4704,14.0381,30.818,6.6055
S2_Bollinger,hourly,0.0,0.0,0.1145,0.0,0.0,0.0,0.0
S3_Donchian,daily,0.028,0.0172,0.2874,0.2613,-38.8592,924.7772,831.5508
S3_Donchian,hourly,0.315,0.1539,0.4756,0.3431,-51.1506,50.9602,8.9192
S4_Supertrend,daily,0.3294,0.348,0.7418,0.3314,5.6315,125.1821,0.6223
S4_Supertrend,hourly,0.1361,0.1778,0.4586,0.1367,30.6392,236.9581,0.4776
S5_PivotPoints,daily,-0.3606,-0.2586,0.2258,-0.3802,28.3001,162.604,-5.4215
S5_PivotPoints,hourly,-1.207,-0.7822,-0.2056,-1.1908,35.1947,82.9619,1.3463
S6_VWAP,daily,0.0,0.1528,0.4518,0.0,0.0,0.0,0.0
S6_VWAP,hourly,-0.7267,-0.4864,0.0154,-0.7075,33.0742,102.126,2.6421
