strategy,timeframe,A,B,C,D,E,F,G,delta_B_pct,delta_C_pct,delta_D_pct,delta_E_pct,delta_F_pct,delta_G_pct
S1_MeanRev,daily,0.4872,0.7163,1.0156,0.4858,0.9902,1.0148,0.99,47.0087,108.4454,-0.2873,103.2119,108.2709,103.1811
S1_MeanRev,hourly,0.0,0.4792,0.7068,0.0,0.7703,0.6798,0.7416,0.0,0.0,0.0,0.0,0.0,0.0
S2_Bollinger,daily,0.4413,0.7494,0.9138,0.4615,0.8624,0.8938,0.8377,69.8165,107.07,4.5774,95.4339,102.5493,89.8255
S2_Bollinger,hourly,0.0,0.4084,0.6671,0.0,0.6298,0.6331,0.6286,0.0,0.0,0.0,0.0,0.0,0.0
S3_Donchian,daily,0.028,0.0566,0.5672,0.2613,0.3861,0.8408,0.5097,101.7825,1922.1034,831.5508,1276.4706,2897.6827,1717.2906
S3_Donchian,hourly,0.315,0.204,0.8111,0.3431,0.4554,0.8093,0.4554,-35.2484,157.4512,8.9192,44.5644,156.8799,44.5644
S4_Supertrend,daily,0.3294,0.491,0.9518,0.3314,0.8172,0.9775,0.8182,49.0437,188.9344,0.6223,148.0874,196.7517,148.3758
S4_Supertrend,hourly,0.1361,0.2759,0.9832,0.1367,0.9396,1.0312,0.9396,102.6819,622.3733,0.4776,590.4115,657.6782,590.4115
S5_PivotPoints,daily,-0.3606,-0.237,0.7004,-0.3623,0.7256,0.6888,0.7512,34.2762,294.218,-0.4853,301.2063,291.0288,308.3195
S5_PivotPoints,hourly,-1.207,-0.7532,0.2958,-1.1636,0.4058,0.2662,0.4132,37.6015,124.507,3.5915,133.6164,122.0505,134.2378
S6_VWAP,daily,0.0,0.2644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S6_VWAP,hourly,-0.7267,-0.3548,0.4102,-0.7283,0.5405,0.387,0.5536,51.1766,156.4401,-0.2202,174.3773,153.2544,176.18
