ticker,strategy,timeframe,approach,sigma_variant,sharpe_median,sharpe_mean,n_obs
AFLT,S1_MeanRev,daily,A,daily,0.3354,0.2225,6
AFLT,S1_MeanRev,daily,B,daily,1.1036,1.0606,4
AFLT,S1_MeanRev,daily,C,daily,1.4867,1.1542,4
AFLT,S1_MeanRev,daily,D,daily,1.3514,0.9456,4
AFLT,S1_MeanRev,daily,E,daily,1.4876,1.1106,4
AFLT,S1_MeanRev,daily,F,daily,1.4867,1.1542,4
AFLT,S1_MeanRev,daily,G,daily,1.4876,1.1106,4
AFLT,S1_MeanRev,hourly,A,v1_sqrt9,0.4998,0.4047,6
AFLT,S1_MeanRev,hourly,B,v1_sqrt9,0.3848,0.3612,4
AFLT,S1_MeanRev,hourly,B,v2_sqrtN,0.3848,0.3612,4
AFLT,S1_MeanRev,hourly,B,v3_div9,-0.1236,-0.1348,4
AFLT,S1_MeanRev,hourly,B,v4_realized,0.1578,-0.0011,4
AFLT,S1_MeanRev,hourly,C,v1_sqrt9,0.9442,0.7988,4
AFLT,S1_MeanRev,hourly,C,v2_sqrtN,0.9442,0.7988,4
AFLT,S1_MeanRev,hourly,C,v3_div9,0.9442,0.7988,4
AFLT,S1_MeanRev,hourly,C,v4_realized,0.495,0.6258,4
AFLT,S1_MeanRev,hourly,D,v1_sqrt9,0.5499,0.4717,4
AFLT,S1_MeanRev,hourly,D,v2_sqrtN,0.5499,0.4717,4
AFLT,S1_MeanRev,hourly,D,v3_div9,0.5499,0.4717,4
AFLT,S1_MeanRev,hourly,D,v4_realized,0.4998,0.4466,4
AFLT,S1_MeanRev,hourly,E,v1_sqrt9,0.88,0.6791,4
AFLT,S1_MeanRev,hourly,E,v2_sqrtN,0.88,0.6791,4
AFLT,S1_MeanRev,hourly,E,v3_div9,0.1007,0.2695,4
AFLT,S1_MeanRev,hourly,E,v4_realized,0.1578,0.1351,4
AFLT,S1_MeanRev,hourly,F,v1_sqrt9,0.9568,0.8051,4
AFLT,S1_MeanRev,hourly,F,v2_sqrtN,0.9568,0.8051,4
AFLT,S1_MeanRev,hourly,F,v3_div9,0.9568,0.8051,4
AFLT,S1_MeanRev,hourly,F,v4_realized,0.495,0.6258,4
AFLT,S1_MeanRev,hourly,G,v1_sqrt9,0.8849,0.6816,4
AFLT,S1_MeanRev,hourly,G,v2_sqrtN,0.8849,0.6816,4
AFLT,S1_MeanRev,hourly,G,v3_div9,0.1114,0.273,4
AFLT,S1_MeanRev,hourly,G,v4_realized,0.1578,0.1351,4
AFLT,S2_Bollinger,daily,A,daily,-0.2762,-0.0175,6
AFLT,S2_Bollinger,daily,B,daily,1.2344,0.9465,4
AFLT,S2_Bollinger,daily,C,daily,0.6902,0.7053,4
AFLT,S2_Bollinger,daily,D,daily,0.7531,0.6618,4
AFLT,S2_Bollinger,daily,E,daily,0.4289,0.6132,4
AFLT,S2_Bollinger,daily,F,daily,0.6902,0.7053,4
AFLT,S2_Bollinger,daily,G,daily,0.4289,0.6132,4
AFLT,S2_Bollinger,hourly,A,v1_sqrt9,0.5666,0.6448,6
AFLT,S2_Bollinger,hourly,B,v1_sqrt9,0.5954,0.4945,4
AFLT,S2_Bollinger,hourly,B,v2_sqrtN,0.5954,0.4945,4
AFLT,S2_Bollinger,hourly,B,v3_div9,-0.1236,-0.1613,4
AFLT,S2_Bollinger,hourly,B,v4_realized,0.3237,0.1718,4
AFLT,S2_Bollinger,hourly,C,v1_sqrt9,0.9004,0.7769,4
AFLT,S2_Bollinger,hourly,C,v2_sqrtN,0.9004,0.7769,4
AFLT,S2_Bollinger,hourly,C,v3_div9,0.9004,0.7769,4
AFLT,S2_Bollinger,hourly,C,v4_realized,0.4681,0.4947,4
AFLT,S2_Bollinger,hourly,D,v1_sqrt9,0.6043,0.4989,4
AFLT,S2_Bollinger,hourly,D,v2_sqrtN,0.6043,0.4989,4
AFLT,S2_Bollinger,hourly,D,v3_div9,0.6043,0.4989,4
AFLT,S2_Bollinger,hourly,D,v4_realized,0.5666,0.48,4
AFLT,S2_Bollinger,hourly,E,v1_sqrt9,0.7839,0.7186,4
AFLT,S2_Bollinger,hourly,E,v2_sqrtN,0.7839,0.7186,4
AFLT,S2_Bollinger,hourly,E,v3_div9,0.1007,0.2214,4
AFLT,S2_Bollinger,hourly,E,v4_realized,0.4418,0.2308,4
AFLT,S2_Bollinger,hourly,F,v1_sqrt9,0.9014,0.7774,4
