strategy,approach,v1_sqrt9_median,v2_sqrtN_median,v3_div9_median,v4_realized_median,best_variant
S1_MeanRev,A,0.0,,,,v1_sqrt9
S1_MeanRev,B,0.4792,0.4792,0.0337,0.2368,v1_sqrt9
S1_MeanRev,C,0.7068,0.7068,0.7068,0.2134,v1_sqrt9
S1_MeanRev,D,0.0,0.0,0.0,0.0,v1_sqrt9
S1_MeanRev,E,0.7703,0.7703,0.4722,0.1256,v1_sqrt9
S1_MeanRev,F,0.6798,0.6798,0.6798,0.2134,v1_sqrt9
S1_MeanRev,G,0.7416,0.7416,0.4722,0.1256,v1_sqrt9
S2_Bollinger,A,0.0,,,,v1_sqrt9
S2_Bollinger,B,0.4084,0.4084,0.0596,0.181,v1_sqrt9
S2_Bollinger,C,0.6671,0.6671,0.6671,0.3798,v1_sqrt9
S2_Bollinger,D,0.0,0.0,0.0,0.0,v1_sqrt9
S2_Bollinger,E,0.6298,0.6298,0.2825,0.3174,v1_sqrt9
S2_Bollinger,F,0.6331,0.6331,0.6331,0.323,v1_sqrt9
S2_Bollinger,G,0.6286,0.6286,0.2589,0.2676,v1_sqrt9
S3_Donchian,A,0.315,,,,v1_sqrt9
S3_Donchian,B,0.204,0.2284,-1.0812,-0.8451,v2_sqrtN
S3_Donchian,C,0.8111,0.846,0.8111,-0.1214,v2_sqrtN
S3_Donchian,D,0.3431,0.3431,0.334,0.464,v4_realized
S3_Donchian,E,0.4554,0.4572,0.0882,-0.8579,v2_sqrtN
S3_Donchian,F,0.8093,0.857,0.8201,-0.0876,v2_sqrtN
S3_Donchian,G,0.4554,0.4309,0.068,-0.7415,v1_sqrt9
S4_Supertrend,A,0.1361,,,,v1_sqrt9
S4_Supertrend,B,0.2759,0.2759,-0.8272,-0.6042,v1_sqrt9
S4_Supertrend,C,0.9832,0.9667,0.9832,-0.0916,v1_sqrt9
S4_Supertrend,D,0.1367,0.1367,0.1367,0.1398,v4_realized
S4_Supertrend,E,0.9396,0.8918,0.3902,-0.5038,v1_sqrt9
S4_Supertrend,F,1.0312,0.9982,1.04,-0.1112,v3_div9
S4_Supertrend,G,0.9396,0.8968,0.4952,-0.4072,v1_sqrt9
S5_PivotPoints,A,-1.207,,,,v1_sqrt9
S5_PivotPoints,B,-0.7532,-0.7532,-0.8966,-0.7602,v1_sqrt9
S5_PivotPoints,C,0.2958,0.2958,0.2958,-0.6152,v1_sqrt9
S5_PivotPoints,D,-1.1636,-1.1636,-1.1636,-1.2029,v1_sqrt9
S5_PivotPoints,E,0.4058,0.4535,0.4814,-0.5898,v3_div9
S5_PivotPoints,F,0.2662,0.2662,0.2662,-0.6152,v1_sqrt9
S5_PivotPoints,G,0.4132,0.4458,0.4786,-0.5898,v3_div9
S6_VWAP,A,-0.7267,,,,v1_sqrt9
S6_VWAP,B,-0.3548,-0.3548,-0.4284,-0.4492,v1_sqrt9
S6_VWAP,C,0.4102,0.4102,0.4102,-0.4646,v1_sqrt9
S6_VWAP,D,-0.7283,-0.7283,-0.7283,-0.7238,v4_realized
S6_VWAP,E,0.5405,0.5405,0.3747,-0.3717,v1_sqrt9
S6_VWAP,F,0.387,0.387,0.387,-0.4945,v1_sqrt9
S6_VWAP,G,0.5536,0.5536,0.3923,-0.3717,v1_sqrt9
