strategy,timeframe,approach,ticker,sharpe_median
S1_MeanRev,daily,A,AFLT,1.3515
S1_MeanRev,daily,A,PHOR,1.0849
S1_MeanRev,daily,A,LSRG,0.8967
S1_MeanRev,daily,A,RTKM,0.678
S1_MeanRev,daily,A,NVTK,0.6498
S1_MeanRev,daily,B,PHOR,1.3361
S1_MeanRev,daily,B,LSRG,1.1119
S1_MeanRev,daily,B,AFLT,1.1036
S1_MeanRev,daily,B,RTKM,0.8314
S1_MeanRev,daily,B,VTBR,0.7576
S1_MeanRev,daily,C,MTLR,1.6206
S1_MeanRev,daily,C,AFLT,1.4867
S1_MeanRev,daily,C,SBER,1.4432
S1_MeanRev,daily,C,PHOR,1.415
S1_MeanRev,daily,C,VTBR,1.2844
S1_MeanRev,daily,D,AFLT,1.3515
S1_MeanRev,daily,D,PHOR,1.0918
S1_MeanRev,daily,D,LSRG,0.9147
S1_MeanRev,daily,D,RTKM,0.7264
S1_MeanRev,daily,D,NVTK,0.6461
S1_MeanRev,daily,E,MTLR,1.645
S1_MeanRev,daily,E,VTBR,1.5795
S1_MeanRev,daily,E,AFLT,1.4876
S1_MeanRev,daily,E,PHOR,1.2909
S1_MeanRev,daily,E,TATN,1.2772
S1_MeanRev,daily,F,MTLR,1.6206
S1_MeanRev,daily,F,AFLT,1.4867
S1_MeanRev,daily,F,SBER,1.4432
S1_MeanRev,daily,F,PHOR,1.4042
S1_MeanRev,daily,F,VTBR,1.2656
S1_MeanRev,daily,G,MTLR,1.645
S1_MeanRev,daily,G,VTBR,1.59
S1_MeanRev,daily,G,AFLT,1.4876
S1_MeanRev,daily,G,RTKM,1.2765
S1_MeanRev,daily,G,PHOR,1.2734
S1_MeanRev,hourly,A,TATN,1.1947
S1_MeanRev,hourly,A,ALRS,0.7812
S1_MeanRev,hourly,A,HYDR,0.5598
S1_MeanRev,hourly,A,MTSS,0.5232
S1_MeanRev,hourly,A,AFLT,0.4999
S1_MeanRev,hourly,B,MTSS,1.2266
S1_MeanRev,hourly,B,HYDR,1.2037
S1_MeanRev,hourly,B,TATN,1.0187
S1_MeanRev,hourly,B,ALRS,0.9215
S1_MeanRev,hourly,B,RTKM,0.815
S1_MeanRev,hourly,C,MTLR,1.2851
S1_MeanRev,hourly,C,MTSS,1.2742
S1_MeanRev,hourly,C,RTKM,1.001
S1_MeanRev,hourly,C,AFLT,0.9441
S1_MeanRev,hourly,C,HYDR,0.9143
S1_MeanRev,hourly,D,TATN,1.1947
S1_MeanRev,hourly,D,ALRS,0.8239
S1_MeanRev,hourly,D,MTSS,0.7464
S1_MeanRev,hourly,D,HYDR,0.5717
S1_MeanRev,hourly,D,AFLT,0.5499
S1_MeanRev,hourly,E,MTSS,1.4171
S1_MeanRev,hourly,E,RTKM,1.051
S1_MeanRev,hourly,E,MTLR,1.0075
S1_MeanRev,hourly,E,HYDR,0.9161
S1_MeanRev,hourly,E,AFLT,0.88
S1_MeanRev,hourly,F,MTLR,1.2851
S1_MeanRev,hourly,F,MTSS,1.2742
S1_MeanRev,hourly,F,AFLT,0.9567
S1_MeanRev,hourly,F,RTKM,0.9433
S1_MeanRev,hourly,F,HYDR,0.9204
S1_MeanRev,hourly,G,MTSS,1.4171
S1_MeanRev,hourly,G,MTLR,1.0075
S1_MeanRev,hourly,G,RTKM,0.9364
S1_MeanRev,hourly,G,HYDR,0.9229
S1_MeanRev,hourly,G,AFLT,0.8849
S2_Bollinger,daily,A,PHOR,1.0691
S2_Bollinger,daily,A,SBER,0.9318
S2_Bollinger,daily,A,NVTK,0.9047
S2_Bollinger,daily,A,RTKM,0.8077
S2_Bollinger,daily,A,LSRG,0.8054
S2_Bollinger,daily,B,AFLT,1.2344
S2_Bollinger,daily,B,SBER,1.1878
S2_Bollinger,daily,B,RTKM,1.1203
S2_Bollinger,daily,B,PHOR,1.1065
S2_Bollinger,daily,B,LSRG,1.0942
S2_Bollinger,daily,C,VTBR,1.5758
S2_Bollinger,daily,C,MTLR,1.1955
S2_Bollinger,daily,C,NVTK,1.1953
S2_Bollinger,daily,C,SBER,1.1212
S2_Bollinger,daily,C,RTKM,1.0859
S2_Bollinger,daily,D,PHOR,1.064
S2_Bollinger,daily,D,SBER,0.9318
S2_Bollinger,daily,D,NVTK,0.9014
S2_Bollinger,daily,D,LSRG,0.8354
S2_Bollinger,daily,D,RTKM,0.8074
S2_Bollinger,daily,E,VTBR,1.452
S2_Bollinger,daily,E,TATN,1.247
S2_Bollinger,daily,E,RTKM,1.2098
S2_Bollinger,daily,E,MGNT,1.1986
S2_Bollinger,daily,E,MTLR,1.16
S2_Bollinger,daily,F,VTBR,1.5745
