strategy,timeframe,approach,ticker,sharpe_median
S1_MeanRev,daily,A,MTSS,-0.4057
S1_MeanRev,daily,A,ALRS,-0.3954
S1_MeanRev,daily,A,TATN,-0.1118
S1_MeanRev,daily,A,HYDR,0.0
S1_MeanRev,daily,A,LKOH,0.0546
S1_MeanRev,daily,B,MTSS,-0.3576
S1_MeanRev,daily,B,ALRS,-0.229
S1_MeanRev,daily,B,LKOH,-0.0321
S1_MeanRev,daily,B,HYDR,0.0
S1_MeanRev,daily,B,SBER,0.2519
S1_MeanRev,daily,C,LKOH,-0.6946
S1_MeanRev,daily,C,HYDR,0.0
S1_MeanRev,daily,C,ALRS,0.2552
S1_MeanRev,daily,C,MTSS,0.3371
S1_MeanRev,daily,C,MGNT,0.4774
S1_MeanRev,daily,D,MTSS,-0.4083
S1_MeanRev,daily,D,ALRS,-0.3962
S1_MeanRev,daily,D,TATN,-0.0876
S1_MeanRev,daily,D,HYDR,0.0
S1_MeanRev,daily,D,LKOH,0.0546
S1_MeanRev,daily,E,HYDR,0.0
S1_MeanRev,daily,E,OGKB,0.0
S1_MeanRev,daily,E,LKOH,0.1617
S1_MeanRev,daily,E,MTSS,0.2097
S1_MeanRev,daily,E,ALRS,0.312
S1_MeanRev,daily,F,LKOH,-0.6946
S1_MeanRev,daily,F,HYDR,0.0
S1_MeanRev,daily,F,ALRS,0.2552
S1_MeanRev,daily,F,MTSS,0.3399
S1_MeanRev,daily,F,MGNT,0.4935
S1_MeanRev,daily,G,HYDR,0.0
S1_MeanRev,daily,G,OGKB,0.0
S1_MeanRev,daily,G,LKOH,0.1617
S1_MeanRev,daily,G,MTSS,0.2126
S1_MeanRev,daily,G,ALRS,0.312
S1_MeanRev,hourly,A,NVTK,-0.9675
S1_MeanRev,hourly,A,OGKB,-0.6214
S1_MeanRev,hourly,A,SBER,-0.5517
S1_MeanRev,hourly,A,PHOR,-0.3318
S1_MeanRev,hourly,A,MOEX,-0.1674
S1_MeanRev,hourly,B,NVTK,-0.9675
S1_MeanRev,hourly,B,MOEX,-0.3874
S1_MeanRev,hourly,B,PHOR,-0.1057
S1_MeanRev,hourly,B,LKOH,0.0
S1_MeanRev,hourly,B,AFLT,0.3848
S1_MeanRev,hourly,C,PHOR,-0.2399
S1_MeanRev,hourly,C,LKOH,0.0
S1_MeanRev,hourly,C,VTBR,0.0
S1_MeanRev,hourly,C,MOEX,0.3478
S1_MeanRev,hourly,C,LSRG,0.359
S1_MeanRev,hourly,D,NVTK,-0.8738
S1_MeanRev,hourly,D,OGKB,-0.6587
S1_MeanRev,hourly,D,SBER,-0.5517
S1_MeanRev,hourly,D,PHOR,-0.3318
S1_MeanRev,hourly,D,MOEX,-0.1674
S1_MeanRev,hourly,E,LKOH,0.0
S1_MeanRev,hourly,E,VTBR,0.0
S1_MeanRev,hourly,E,SBER,0.0274
S1_MeanRev,hourly,E,PHOR,0.154
S1_MeanRev,hourly,E,MOEX,0.2447
S1_MeanRev,hourly,F,PHOR,-0.2399
S1_MeanRev,hourly,F,LKOH,0.0
S1_MeanRev,hourly,F,VTBR,0.0
S1_MeanRev,hourly,F,LSRG,0.3242
S1_MeanRev,hourly,F,MOEX,0.3478
S1_MeanRev,hourly,G,LKOH,0.0
S1_MeanRev,hourly,G,VTBR,0.0
S1_MeanRev,hourly,G,SBER,0.0274
S1_MeanRev,hourly,G,PHOR,0.154
S1_MeanRev,hourly,G,MOEX,0.2447
S2_Bollinger,daily,A,LKOH,-0.2119
S2_Bollinger,daily,A,MTSS,-0.1029
S2_Bollinger,daily,A,ALRS,-0.0428
S2_Bollinger,daily,A,HYDR,0.0035
S2_Bollinger,daily,A,MTLR,0.0316
S2_Bollinger,daily,B,LKOH,-0.0165
S2_Bollinger,daily,B,ALRS,0.1411
S2_Bollinger,daily,B,MTSS,0.1411
S2_Bollinger,daily,B,HYDR,0.1461
S2_Bollinger,daily,B,MTLR,0.1718
S2_Bollinger,daily,C,ALRS,-0.2545
S2_Bollinger,daily,C,LKOH,-0.0326
S2_Bollinger,daily,C,OGKB,0.0
S2_Bollinger,daily,C,MTSS,0.3336
S2_Bollinger,daily,C,HYDR,0.4064
S2_Bollinger,daily,D,LKOH,-0.2119
S2_Bollinger,daily,D,MTSS,-0.096
S2_Bollinger,daily,D,ALRS,-0.0436
S2_Bollinger,daily,D,HYDR,0.0414
S2_Bollinger,daily,D,MTLR,0.1034
S2_Bollinger,daily,E,OGKB,0.0
S2_Bollinger,daily,E,ALRS,0.0463
S2_Bollinger,daily,E,MTSS,0.1934
S2_Bollinger,daily,E,AFLT,0.4289
S2_Bollinger,daily,E,SBER,0.4677
S2_Bollinger,daily,F,ALRS,-0.2545
S2_Bollinger,daily,F,LKOH,-0.0326
S2_Bollinger,daily,F,OGKB,0.0
S2_Bollinger,daily,F,MTSS,0.3336
S2_Bollinger,daily,F,HYDR,0.3376
S2_Bollinger,daily,G,OGKB,0.0
S2_Bollinger,daily,G,ALRS,0.0463
S2_Bollinger,daily,G,MTSS,0.1934
S2_Bollinger,daily,G,AFLT,0.4289
S2_Bollinger,daily,G,HYDR,0.4553
S2_Bollinger,hourly,A,OGKB,-0.6996
S2_Bollinger,hourly,A,RTKM,-0.2746
S2_Bollinger,hourly,A,MOEX,-0.2662
S2_Bollinger,hourly,A,LSRG,-0.2613
S2_Bollinger,hourly,A,MGNT,-0.2591
S2_Bollinger,hourly,B,MOEX,-0.3397
S2_Bollinger,hourly,B,LSRG,-0.1916
S2_Bollinger,hourly,B,LKOH,0.0
S2_Bollinger,hourly,B,MTLR,0.0094
S2_Bollinger,hourly,B,PHOR,0.0287
S2_Bollinger,hourly,C,LKOH,0.0
S2_Bollinger,hourly,C,VTBR,0.0
S2_Bollinger,hourly,C,TATN,0.1426
S2_Bollinger,hourly,C,MOEX,0.215
S2_Bollinger,hourly,C,LSRG,0.359
S2_Bollinger,hourly,D,OGKB,-0.5657
S2_Bollinger,hourly,D,MOEX,-0.2662
S2_Bollinger,hourly,D,MGNT,-0.2077
S2_Bollinger,hourly,D,LSRG,-0.1961
S2_Bollinger,hourly,D,RTKM,-0.1648
S2_Bollinger,hourly,E,LKOH,0.0
S2_Bollinger,hourly,E,VTBR,0.0
S2_Bollinger,hourly,E,NVTK,0.129
S2_Bollinger,hourly,E,TATN,0.1982
S2_Bollinger,hourly,E,MOEX,0.215
S2_Bollinger,hourly,F,LKOH,0.0
S2_Bollinger,hourly,F,VTBR,0.0
S2_Bollinger,hourly,F,TATN,0.1426
S2_Bollinger,hourly,F,MOEX,0.215
