sharpe,ann_ret_pct,ann_vol_pct,max_dd_pct,exposure_pct,n_trades,win_rate_pct,year,approach,strategy,timeframe,ticker
1.144,5.37,4.7,-2.38,14.8,5,60.0,2020,A,S1_MeanRev,daily,LSRG
0.105,1.0,9.49,-9.74,32.16,12,41.7,2021,A,S1_MeanRev,daily,LSRG
0.6967,4.52,6.49,-3.46,8.19,4,50.0,2022,A,S1_MeanRev,daily,LSRG
0.8948,7.71,8.61,-3.66,7.48,4,50.0,2023,A,S1_MeanRev,daily,LSRG
0.8647,21.1,24.41,-12.76,26.95,9,55.6,2024,A,S1_MeanRev,daily,LSRG
1.8166,21.92,12.07,-3.65,34.19,11,90.9,2025,A,S1_MeanRev,daily,LSRG
1.3367,9.34,6.99,-2.2,6.03,4,50.0,2022,B,S1_MeanRev,daily,LSRG
1.7278,13.2,7.64,-0.27,3.15,4,100.0,2023,B,S1_MeanRev,daily,LSRG
1.1852,6.95,5.86,-1.69,3.52,9,77.8,2024,B,S1_MeanRev,daily,LSRG
0.37,2.21,5.97,-7.55,6.77,13,53.8,2025,B,S1_MeanRev,daily,LSRG
1.0805,6.81,6.31,-2.13,4.31,5,40.0,2022,C,S1_MeanRev,daily,LSRG
1.5238,3.41,2.23,-0.46,1.97,4,100.0,2023,C,S1_MeanRev,daily,LSRG
0.7826,11.92,15.23,-11.3,12.5,13,46.2,2024,C,S1_MeanRev,daily,LSRG
1.8335,19.28,10.51,-2.89,27.42,18,66.7,2025,C,S1_MeanRev,daily,LSRG
0.6967,4.52,6.49,-3.46,8.19,4,50.0,2022,D,S1_MeanRev,daily,LSRG
0.9144,7.84,8.58,-3.49,7.48,4,50.0,2023,D,S1_MeanRev,daily,LSRG
0.8919,43.39,48.65,-25.51,26.95,9,55.6,2024,D,S1_MeanRev,daily,LSRG
1.9021,45.0,23.66,-6.0,34.19,11,90.9,2025,D,S1_MeanRev,daily,LSRG
-0.0156,-0.11,6.85,-5.57,14.0,8,37.5,2020,A,S2_Bollinger,daily,LSRG
0.033,0.31,9.41,-9.74,24.71,9,55.6,2021,A,S2_Bollinger,daily,LSRG
0.6967,4.52,6.49,-3.46,8.19,4,50.0,2022,A,S2_Bollinger,daily,LSRG
0.4642,4.35,9.38,-4.36,12.2,4,50.0,2023,A,S2_Bollinger,daily,LSRG
0.8797,21.72,24.69,-12.76,28.91,9,55.6,2024,A,S2_Bollinger,daily,LSRG
1.2096,14.3,11.82,-3.71,23.23,9,77.8,2025,A,S2_Bollinger,daily,LSRG
1.3367,9.34,6.99,-2.2,6.03,4,50.0,2022,B,S2_Bollinger,daily,LSRG
1.7278,13.2,7.64,-0.27,3.15,4,100.0,2023,B,S2_Bollinger,daily,LSRG
1.1852,6.95,5.86,-1.69,3.52,9,77.8,2024,B,S2_Bollinger,daily,LSRG
0.4726,2.9,6.14,-6.66,4.19,9,55.6,2025,B,S2_Bollinger,daily,LSRG
1.0805,6.81,6.31,-2.13,4.31,5,40.0,2022,C,S2_Bollinger,daily,LSRG
0.6494,2.59,4.0,-2.99,3.94,6,83.3,2023,C,S2_Bollinger,daily,LSRG
0.5846,8.98,15.36,-13.02,13.67,13,53.8,2024,C,S2_Bollinger,daily,LSRG
0.6861,5.23,7.63,-2.72,8.39,11,54.5,2025,C,S2_Bollinger,daily,LSRG
0.6931,5.63,8.12,-4.29,8.19,4,50.0,2022,D,S2_Bollinger,daily,LSRG
0.5546,15.01,27.06,-11.06,12.2,4,50.0,2023,D,S2_Bollinger,daily,LSRG
0.907,44.63,49.21,-25.51,28.91,9,55.6,2024,D,S2_Bollinger,daily,LSRG
1.2905,29.9,23.17,-6.57,23.23,9,77.8,2025,D,S2_Bollinger,daily,LSRG
2.3888,45.5,19.05,-4.18,12.8,6,83.3,2020,A,S3_Donchian,daily,LSRG
1.2017,12.54,10.43,-7.32,19.61,5,80.0,2021,A,S3_Donchian,daily,LSRG
0.1325,2.18,16.46,-12.33,6.03,3,66.7,2022,A,S3_Donchian,daily,LSRG
1.6538,17.95,10.86,-8.04,11.81,1,100.0,2023,A,S3_Donchian,daily,LSRG
1.0598,22.04,20.79,-23.92,40.62,12,50.0,2024,A,S3_Donchian,daily,LSRG
-0.9211,-8.02,8.71,-8.96,10.65,6,33.3,2025,A,S3_Donchian,daily,LSRG
-0.4382,-6.05,13.81,-12.33,1.29,3,66.7,2022,B,S3_Donchian,daily,LSRG
-1.1368,-5.64,4.97,-6.63,1.97,4,50.0,2023,B,S3_Donchian,daily,LSRG
1.9185,34.02,17.73,-6.31,20.31,12,58.3,2024,B,S3_Donchian,daily,LSRG
-0.4429,-2.73,6.17,-7.18,4.19,5,40.0,2025,B,S3_Donchian,daily,LSRG
0.1325,2.18,16.46,-12.33,6.03,3,66.7,2022,C,S3_Donchian,daily,LSRG
2.4106,12.91,5.36,-1.11,5.12,6,83.3,2023,C,S3_Donchian,daily,LSRG
0.6917,13.59,19.65,-25.37,25.78,21,42.9,2024,C,S3_Donchian,daily,LSRG
-0.2897,-1.62,5.58,-6.11,4.84,9,66.7,2025,C,S3_Donchian,daily,LSRG
0.9082,13.87,15.28,-6.66,6.03,3,66.7,2022,D,S3_Donchian,daily,LSRG
1.6536,35.9,21.71,-16.08,11.81,1,100.0,2023,D,S3_Donchian,daily,LSRG
1.4669,79.2,53.99,-47.73,40.62,12,50.0,2024,D,S3_Donchian,daily,LSRG
-1.0614,-25.88,24.38,-26.94,10.65,6,33.3,2025,D,S3_Donchian,daily,LSRG
1.4089,33.91,24.07,-14.1,10.4,2,50.0,2020,A,S4_Supertrend,daily,LSRG
0.7277,5.96,8.18,-7.94,27.45,5,40.0,2021,A,S4_Supertrend,daily,LSRG
1.0994,9.58,8.72,-3.13,17.24,5,60.0,2022,A,S4_Supertrend,daily,LSRG
0.5783,7.75,13.41,-8.14,27.95,3,33.3,2023,A,S4_Supertrend,daily,LSRG
0.975,18.02,18.48,-15.42,40.62,6,33.3,2024,A,S4_Supertrend,daily,LSRG
-0.468,-4.67,9.98,-13.68,18.06,5,20.0,2025,A,S4_Supertrend,daily,LSRG
1.0322,7.1,6.88,-2.03,4.31,5,60.0,2022,B,S4_Supertrend,daily,LSRG
0.3472,4.11,11.82,-5.14,3.94,5,40.0,2023,B,S4_Supertrend,daily,LSRG
0.7524,7.61,10.12,-10.79,13.67,7,28.6,2024,B,S4_Supertrend,daily,LSRG
0.0281,0.1,3.52,-3.1,2.26,4,50.0,2025,B,S4_Supertrend,daily,LSRG
1.2647,10.51,8.31,-2.95,9.48,4,75.0,2022,C,S4_Supertrend,daily,LSRG
1.1762,10.49,8.92,-3.29,10.63,9,55.6,2023,C,S4_Supertrend,daily,LSRG
0.269,3.54,13.14,-15.14,19.92,18,33.3,2024,C,S4_Supertrend,daily,LSRG
-1.0644,-7.15,6.72,-11.99,6.77,6,16.7,2025,C,S4_Supertrend,daily,LSRG
1.1578,29.39,25.39,-8.41,17.24,5,60.0,2022,D,S4_Supertrend,daily,LSRG
0.5447,6.21,11.4,-6.88,27.95,3,33.3,2023,D,S4_Supertrend,daily,LSRG
1.3644,24.61,18.03,-13.66,40.62,6,66.7,2024,D,S4_Supertrend,daily,LSRG
-0.1734,-1.85,10.66,-11.41,18.06,5,40.0,2025,D,S4_Supertrend,daily,LSRG
-1.0783,-2.36,2.19,-2.82,2.22,7,42.9,2020,A,S1_MeanRev,hourly,LSRG
-0.3218,-0.82,2.56,-2.24,0.96,4,75.0,2021,A,S1_MeanRev,hourly,LSRG
-1.1822,-0.88,0.75,-0.81,0.05,1,0.0,2022,A,S1_MeanRev,hourly,LSRG
0.6161,0.65,1.05,-0.68,0.22,2,50.0,2023,A,S1_MeanRev,hourly,LSRG
0.3252,0.91,2.79,-1.56,0.96,4,50.0,2024,A,S1_MeanRev,hourly,LSRG
-0.2299,-0.18,0.77,-0.85,0.39,3,66.7,2025,A,S1_MeanRev,hourly,LSRG
-1.1822,-0.88,0.75,-0.81,0.05,1,0.0,2022,B,S1_MeanRev,hourly,LSRG
1.2724,1.23,0.96,-0.1,0.13,2,100.0,2023,B,S1_MeanRev,hourly,LSRG
0.3252,0.91,2.79,-1.56,0.96,4,50.0,2024,B,S1_MeanRev,hourly,LSRG
0.4189,0.46,1.09,-0.75,0.65,3,66.7,2025,B,S1_MeanRev,hourly,LSRG
-1.1822,-1.04,0.88,-0.95,0.05,1,0.0,2022,D,S1_MeanRev,hourly,LSRG
0.6642,0.81,1.22,-0.74,0.22,2,50.0,2023,D,S1_MeanRev,hourly,LSRG
0.4654,1.13,2.42,-1.05,0.96,4,50.0,2024,D,S1_MeanRev,hourly,LSRG
-0.2211,-0.18,0.82,-0.86,0.39,3,66.7,2025,D,S1_MeanRev,hourly,LSRG
-2.0243,-3.46,1.71,-4.28,1.87,7,28.6,2020,A,S2_Bollinger,hourly,LSRG
-0.3218,-0.82,2.56,-2.24,0.96,4,75.0,2021,A,S2_Bollinger,hourly,LSRG
-1.1822,-0.88,0.75,-0.81,0.05,1,0.0,2022,A,S2_Bollinger,hourly,LSRG
0.6161,0.65,1.05,-0.68,0.22,2,50.0,2023,A,S2_Bollinger,hourly,LSRG
0.3252,0.91,2.79,-1.56,0.96,4,50.0,2024,A,S2_Bollinger,hourly,LSRG
-1.0475,-1.27,1.21,-1.79,0.82,3,33.3,2025,A,S2_Bollinger,hourly,LSRG
-1.2945,-0.97,0.75,-0.89,0.1,1,0.0,2022,B,S2_Bollinger,hourly,LSRG
1.2724,1.23,0.96,-0.1,0.13,2,100.0,2023,B,S2_Bollinger,hourly,LSRG
0.4111,1.29,3.13,-1.56,1.13,4,50.0,2024,B,S2_Bollinger,hourly,LSRG
-0.7411,-1.32,1.78,-2.55,1.25,3,33.3,2025,B,S2_Bollinger,hourly,LSRG
-1.1822,-1.04,0.88,-0.95,0.05,1,0.0,2022,D,S2_Bollinger,hourly,LSRG
0.6642,0.81,1.22,-0.74,0.22,2,50.0,2023,D,S2_Bollinger,hourly,LSRG
0.4654,1.13,2.42,-1.05,0.96,4,50.0,2024,D,S2_Bollinger,hourly,LSRG
-1.0709,-1.49,1.39,-2.1,0.82,3,33.3,2025,D,S2_Bollinger,hourly,LSRG
-1.0177,-16.59,16.3,-23.78,21.29,32,31.2,2020,A,S3_Donchian,hourly,LSRG
