sharpe,ann_ret_pct,ann_vol_pct,max_dd_pct,exposure_pct,n_trades,win_rate_pct,year,approach,strategy,timeframe,ticker,commission
1.6707,13.04,7.8,-3.64,14.8,5,60.0,2020,A,S1_MeanRev,daily,LSRG,0bps
0.3131,3.08,9.83,-9.54,32.16,12,50.0,2021,A,S1_MeanRev,daily,LSRG,0bps
0.686,4.3,6.27,-3.16,9.05,5,40.0,2022,A,S1_MeanRev,daily,LSRG,0bps
1.0223,8.71,8.52,-3.54,16.93,9,33.3,2023,A,S1_MeanRev,daily,LSRG,0bps
0.9409,22.99,24.44,-12.36,26.95,9,55.6,2024,A,S1_MeanRev,daily,LSRG,0bps
2.0931,28.51,13.62,-3.59,33.23,11,81.8,2025,A,S1_MeanRev,daily,LSRG,0bps
0.9007,4.99,5.54,-2.11,2.59,5,40.0,2022,B,S1_MeanRev,daily,LSRG,0bps
1.9209,12.41,6.46,-0.41,7.48,9,66.7,2023,B,S1_MeanRev,daily,LSRG,0bps
1.4569,8.72,5.98,-1.39,3.52,9,77.8,2024,B,S1_MeanRev,daily,LSRG,0bps
0.3434,2.35,6.84,-8.53,6.77,13,53.8,2025,B,S1_MeanRev,daily,LSRG,0bps
1.1867,7.29,6.15,-1.63,4.31,5,40.0,2022,C,S1_MeanRev,daily,LSRG,0bps
1.9865,4.59,2.31,-0.29,2.76,6,100.0,2023,C,S1_MeanRev,daily,LSRG,0bps
0.9551,14.59,15.28,-10.3,12.5,13,46.2,2024,C,S1_MeanRev,daily,LSRG,0bps
2.0667,17.95,8.69,-2.65,15.48,17,76.5,2025,C,S1_MeanRev,daily,LSRG,0bps
0.7047,4.42,6.27,-3.16,9.05,5,40.0,2022,D,S1_MeanRev,daily,LSRG,0bps
1.0522,8.94,8.5,-3.27,16.93,9,33.3,2023,D,S1_MeanRev,daily,LSRG,0bps
0.9701,47.25,48.7,-24.71,26.95,9,55.6,2024,D,S1_MeanRev,daily,LSRG,0bps
2.1673,58.19,26.85,-7.17,33.23,11,81.8,2025,D,S1_MeanRev,daily,LSRG,0bps
0.1531,1.29,8.4,-6.27,14.0,8,37.5,2020,A,S2_Bollinger,daily,LSRG,0bps
0.2224,2.09,9.39,-9.54,24.71,9,55.6,2021,A,S2_Bollinger,daily,LSRG,0bps
0.8299,5.39,6.5,-3.16,8.19,4,50.0,2022,A,S2_Bollinger,daily,LSRG,0bps
0.5463,5.15,9.42,-4.3,12.2,4,50.0,2023,A,S2_Bollinger,daily,LSRG,0bps
0.9568,23.65,24.72,-12.36,28.91,9,55.6,2024,A,S2_Bollinger,daily,LSRG,0bps
1.271,13.73,10.8,-3.53,22.9,9,77.8,2025,A,S2_Bollinger,daily,LSRG,0bps
1.4606,10.21,6.99,-1.9,6.03,4,50.0,2022,B,S2_Bollinger,daily,LSRG,0bps
1.8202,13.99,7.69,-0.27,3.15,4,100.0,2023,B,S2_Bollinger,daily,LSRG,0bps
1.4569,8.72,5.98,-1.39,3.52,9,77.8,2024,B,S2_Bollinger,daily,LSRG,0bps
0.6994,4.28,6.12,-5.96,4.19,9,55.6,2025,B,S2_Bollinger,daily,LSRG,0bps
1.2368,7.9,6.39,-1.63,4.31,5,40.0,2022,C,S2_Bollinger,daily,LSRG,0bps
0.9117,3.67,4.02,-2.79,3.94,6,83.3,2023,C,S2_Bollinger,daily,LSRG,0bps
0.7589,11.7,15.41,-11.82,13.67,13,53.8,2024,C,S2_Bollinger,daily,LSRG,0bps
0.8069,4.99,6.19,-2.26,8.39,11,54.5,2025,C,S2_Bollinger,daily,LSRG,0bps
0.8278,6.72,8.12,-3.92,8.19,4,50.0,2022,D,S2_Bollinger,daily,LSRG,0bps
0.6418,17.44,27.18,-10.99,12.2,4,50.0,2023,D,S2_Bollinger,daily,LSRG,0bps
0.9859,48.57,49.26,-24.71,28.91,9,55.6,2024,D,S2_Bollinger,daily,LSRG,0bps
1.358,28.68,21.12,-5.74,22.9,9,77.8,2025,D,S2_Bollinger,daily,LSRG,0bps
2.4529,46.71,19.04,-3.98,12.8,6,83.3,2020,A,S3_Donchian,daily,LSRG,0bps
1.2941,13.53,10.45,-7.02,19.61,5,80.0,2021,A,S3_Donchian,daily,LSRG,0bps
0.009,0.14,14.99,-12.13,5.17,3,66.7,2022,A,S3_Donchian,daily,LSRG,0bps
1.6469,17.87,10.85,-8.22,14.96,2,50.0,2023,A,S3_Donchian,daily,LSRG,0bps
1.1536,24.06,20.86,-22.9,40.62,12,50.0,2024,A,S3_Donchian,daily,LSRG,0bps
-0.8154,-7.09,8.7,-8.12,10.65,6,33.3,2025,A,S3_Donchian,daily,LSRG,0bps
-0.3922,-5.4,13.77,-12.13,1.29,3,66.7,2022,B,S3_Donchian,daily,LSRG,0bps
-1.0379,-5.13,4.94,-6.61,5.12,5,40.0,2023,B,S3_Donchian,daily,LSRG,0bps
2.0346,36.23,17.81,-5.71,20.31,12,58.3,2024,B,S3_Donchian,daily,LSRG,0bps
-0.3117,-1.92,6.16,-6.88,4.19,5,40.0,2025,B,S3_Donchian,daily,LSRG,0bps
0.009,0.14,14.99,-12.13,5.17,3,66.7,2022,C,S3_Donchian,daily,LSRG,0bps
2.5477,13.8,5.42,-0.91,7.87,8,75.0,2023,C,S3_Donchian,daily,LSRG,0bps
0.8418,16.6,19.72,-23.87,25.78,21,42.9,2024,C,S3_Donchian,daily,LSRG,0bps
-0.0766,-0.43,5.6,-5.94,4.84,9,66.7,2025,C,S3_Donchian,daily,LSRG,0bps
0.86,11.42,13.28,-6.27,5.17,3,66.7,2022,D,S3_Donchian,daily,LSRG,0bps
1.6468,35.74,21.71,-16.44,14.96,2,50.0,2023,D,S3_Donchian,daily,LSRG,0bps
1.5828,85.7,54.15,-44.45,40.62,12,50.0,2024,D,S3_Donchian,daily,LSRG,0bps
-0.9497,-23.1,24.32,-23.82,10.65,6,33.3,2025,D,S3_Donchian,daily,LSRG,0bps
1.2981,31.31,24.12,-14.65,10.4,2,50.0,2020,A,S4_Supertrend,daily,LSRG,0bps
0.8365,6.92,8.28,-7.34,27.45,5,60.0,2021,A,S4_Supertrend,daily,LSRG,0bps
0.6472,6.58,10.16,-3.01,9.05,4,50.0,2022,A,S4_Supertrend,daily,LSRG,0bps
0.5436,5.87,10.79,-7.09,25.59,3,33.3,2023,A,S4_Supertrend,daily,LSRG,0bps
1.0811,19.42,17.97,-14.38,40.62,6,50.0,2024,A,S4_Supertrend,daily,LSRG,0bps
-0.4081,-4.07,9.97,-13.13,18.06,5,40.0,2025,A,S4_Supertrend,daily,LSRG,0bps
0.8444,8.22,9.74,-3.08,3.45,4,50.0,2022,B,S4_Supertrend,daily,LSRG,0bps
0.3593,3.26,9.07,-3.8,3.94,5,40.0,2023,B,S4_Supertrend,daily,LSRG,0bps
0.9658,9.63,9.97,-8.65,13.67,7,28.6,2024,B,S4_Supertrend,daily,LSRG,0bps
0.1285,0.46,3.55,-2.88,2.26,4,50.0,2025,B,S4_Supertrend,daily,LSRG,0bps
0.8881,8.39,9.45,-2.06,2.16,4,75.0,2022,C,S4_Supertrend,daily,LSRG,0bps
1.3102,9.44,7.21,-2.84,9.84,8,62.5,2023,C,S4_Supertrend,daily,LSRG,0bps
0.4984,6.37,12.79,-12.45,19.92,18,38.9,2024,C,S4_Supertrend,daily,LSRG,0bps
-0.9565,-6.47,6.76,-11.37,6.77,6,33.3,2025,C,S4_Supertrend,daily,LSRG,0bps
0.7904,23.6,29.86,-7.43,9.05,4,50.0,2022,D,S4_Supertrend,daily,LSRG,0bps
0.597,19.05,31.91,-21.27,25.59,3,33.3,2023,D,S4_Supertrend,daily,LSRG,0bps
1.5009,26.53,17.67,-12.58,40.62,6,66.7,2024,D,S4_Supertrend,daily,LSRG,0bps
-0.1555,-1.62,10.43,-10.54,18.06,5,20.0,2025,D,S4_Supertrend,daily,LSRG,0bps
1.2836,7.83,6.1,-4.54,8.04,40,65.0,2020,A,S1_MeanRev,hourly,LSRG,0bps
2.4565,16.25,6.62,-3.1,6.8,30,66.7,2021,A,S1_MeanRev,hourly,LSRG,0bps
0.6853,5.85,8.54,-3.51,6.95,38,47.4,2022,A,S1_MeanRev,hourly,LSRG,0bps
1.0181,7.15,7.03,-3.79,7.44,36,63.9,2023,A,S1_MeanRev,hourly,LSRG,0bps
0.3415,2.06,6.03,-4.42,5.69,32,40.6,2024,A,S1_MeanRev,hourly,LSRG,0bps
-0.0879,-0.39,4.47,-3.04,4.23,29,44.8,2025,A,S1_MeanRev,hourly,LSRG,0bps
1.5583,14.05,9.02,-3.51,6.56,36,50.0,2022,B,S1_MeanRev,hourly,LSRG,0bps
1.4363,10.94,7.62,-3.07,8.97,35,74.3,2023,B,S1_MeanRev,hourly,LSRG,0bps
0.4177,1.88,4.49,-3.91,3.61,32,46.9,2024,B,S1_MeanRev,hourly,LSRG,0bps
-0.0085,-0.03,3.5,-3.0,2.8,27,44.4,2025,B,S1_MeanRev,hourly,LSRG,0bps
-0.0705,-0.43,6.11,-3.75,4.73,28,42.9,2022,C,S1_MeanRev,hourly,LSRG,0bps
