strategy,timeframe,A,B,C,D
S1_MeanRev,daily,0.4804,0.4946,0.8164,0.4598
S1_MeanRev,hourly,0.0,0.184,0.0174,0.0
S2_Bollinger,daily,0.3923,0.723,0.7543,0.3832
S2_Bollinger,hourly,0.0219,0.1246,0.077,0.0
S3_Donchian,daily,0.2599,0.6415,0.6719,0.6132
S3_Donchian,hourly,0.2684,0.2927,0.5293,0.291
S4_Supertrend,daily,0.4852,0.6487,0.7343,0.5726
S4_Supertrend,hourly,-0.009,0.0425,0.374,0.073
S5_PivotPoints,daily,-0.4488,-0.0028,-0.4253,-0.3902
S5_PivotPoints,hourly,-1.4418,-0.9142,-1.2015,-1.3449
S6_VWAP,daily,0.0,0.0122,,0.0
S6_VWAP,hourly,-1.0367,-0.6052,-0.7166,-0.9456
