sharpe,ann_ret_pct,ann_vol_pct,max_dd_pct,exposure_pct,n_trades,trades_per_yr,win_rate_pct,year,approach,strategy,timeframe,ticker
-0.8439,-4.16,4.93,-5.18,0.8,1,1.0,0.0,2020,A,S1_MeanRev,daily,AFLT
-0.4825,-0.24,0.5,-0.4,1.18,1,1.0,0.0,2021,A,S1_MeanRev,daily,AFLT
0.3643,3.75,10.31,-8.09,6.41,5,5.4,80.0,2022,A,S1_MeanRev,daily,AFLT
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2023,A,S1_MeanRev,daily,AFLT
0.6524,5.51,8.45,-5.33,3.12,2,2.0,100.0,2024,A,S1_MeanRev,daily,AFLT
1.177,3.87,3.29,-0.78,2.2,2,1.6,100.0,2025,A,S1_MeanRev,daily,AFLT
0.4701,0.44,0.94,-0.4,0.43,1,1.1,100.0,2022,B,S1_MeanRev,daily,AFLT
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2023,B,S1_MeanRev,daily,AFLT
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2024,B,S1_MeanRev,daily,AFLT
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2025,B,S1_MeanRev,daily,AFLT
0.3723,1.02,2.75,-2.03,3.42,4,4.3,50.0,2022,C,S1_MeanRev,daily,AFLT
0.3643,3.75,10.31,-8.09,6.41,5,5.4,80.0,2022,D,S1_MeanRev,daily,AFLT
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2023,D,S1_MeanRev,daily,AFLT
1.6252,8.43,5.19,-0.4,1.17,1,1.0,100.0,2024,D,S1_MeanRev,daily,AFLT
0.878,2.25,2.57,-0.4,0.63,2,1.6,100.0,2025,D,S1_MeanRev,daily,AFLT
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2020,A,S2_Bollinger,daily,AFLT
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2021,A,S2_Bollinger,daily,AFLT
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2022,A,S2_Bollinger,daily,AFLT
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2023,A,S2_Bollinger,daily,AFLT
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2024,A,S2_Bollinger,daily,AFLT
1.491,5.23,3.51,-0.78,3.14,2,1.6,100.0,2025,A,S2_Bollinger,daily,AFLT
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2022,B,S2_Bollinger,daily,AFLT
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2023,B,S2_Bollinger,daily,AFLT
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2024,B,S2_Bollinger,daily,AFLT
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2025,B,S2_Bollinger,daily,AFLT
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2022,D,S2_Bollinger,daily,AFLT
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2023,D,S2_Bollinger,daily,AFLT
0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2024,D,S2_Bollinger,daily,AFLT
