table,strategy,A,B,C,D,mean_BCD,best_BCD,best_app
daily_EW_NetSharpe,S1_MeanRev,2.5564,2.682,3.2214,3.2131,3.038833333333333,3.2214,C
daily_EW_NetSharpe,S2_Bollinger,2.541,2.5213,3.4995,3.0418,3.0208666666666666,3.4995,C
daily_EW_NetSharpe,S3_Donchian,1.0506,2.1559,1.6494,1.8432,1.8828333333333334,2.1559,B
daily_EW_NetSharpe,S4_Supertrend,1.2619,2.045,1.8847,2.4485,2.1260666666666665,2.4485,D
daily_EW_NetSharpe,S5_PivotPoints,1.6618,1.9583,1.9595,1.6658,1.8612,1.9595,C
daily_EW_NetSharpe,S6_VWAP,2.7292,2.9017,3.0736,3.3029,3.0927333333333333,3.3029,D
daily_EW_NetSharpe,Mean,1.9668166666666667,2.3773666666666666,2.548016666666667,2.5858833333333333,2.5037555555555557,2.5858833333333333,D
daily_EW_NetSharpe,Delta vs A,,0.41054999999999997,0.5812000000000002,0.6190666666666667,0.5369388888888891,0.6190666666666667,
daily_EW_NetSharpe,Delta% vs A,,20.873831656907523,29.550288537314962,31.475565422976214,27.299895205732906,31.475565422976214,
daily_BestMethod_NetSharpe,S1_MeanRev,2.6657,2.8271,3.2214,3.2131,3.0872000000000006,3.2214,C
daily_BestMethod_NetSharpe,S2_Bollinger,2.6107,2.5213,3.4995,3.0418,3.0208666666666666,3.4995,C
daily_BestMethod_NetSharpe,S3_Donchian,1.0506,2.1724,1.8453,1.9224,1.980033333333333,2.1724,B
daily_BestMethod_NetSharpe,S4_Supertrend,1.3246,2.045,1.9238,2.5364,2.1684,2.5364,D
daily_BestMethod_NetSharpe,S5_PivotPoints,1.6618,1.9583,1.9595,1.6658,1.8612,1.9595,C
daily_BestMethod_NetSharpe,S6_VWAP,2.7292,2.9203,3.0736,3.3029,3.0989333333333335,3.3029,D
daily_BestMethod_NetSharpe,Mean,2.0071000000000003,2.4073999999999995,2.5871833333333334,2.6137333333333337,2.536105555555556,2.6137333333333337,D
daily_BestMethod_NetSharpe,Delta vs A,,0.4002999999999992,0.5800833333333331,0.6066333333333334,0.5290055555555555,0.6066333333333334,
daily_BestMethod_NetSharpe,Delta% vs A,,19.944198096756473,28.90156610698684,30.224370152624846,26.356711452122735,30.224370152624846,
daily_EW_AnnRet,S1_MeanRev,4.22,3.81,4.69,4.34,4.28,4.69,C
daily_EW_AnnRet,S2_Bollinger,4.38,3.68,5.06,3.86,4.2,5.06,C
daily_EW_AnnRet,S3_Donchian,16.31,10.7,16.91,19.6,15.736666666666666,19.6,D
daily_EW_AnnRet,S4_Supertrend,14.71,5.82,14.13,16.71,12.22,16.71,D
daily_EW_AnnRet,S5_PivotPoints,1.81,2.22,1.4,1.69,1.7700000000000002,2.22,B
daily_EW_AnnRet,S6_VWAP,3.67,3.68,3.64,3.84,3.72,3.84,D
daily_EW_AnnRet,Mean,7.516666666666667,4.984999999999999,7.638333333333333,8.340000000000002,6.987777777777777,8.340000000000002,D
daily_EW_AnnRet,Delta vs A,,-2.531666666666667,0.12166666666666615,0.823333333333335,-0.5288888888888899,0.823333333333335,
daily_EW_AnnRet,Delta% vs A,,-33.68070953436808,1.6186252771618554,10.953436807095366,-7.036215816703635,10.953436807095366,
daily_EW_MaxDD,S1_MeanRev,-1.09,-0.89,-0.93,-0.78,-0.8666666666666667,-0.78,D
daily_EW_MaxDD,S2_Bollinger,-1.58,-0.76,-0.68,-0.62,-0.6866666666666666,-0.62,D
daily_EW_MaxDD,S3_Donchian,-14.87,-2.22,-8.29,-9.76,-6.756666666666667,-2.22,B
daily_EW_MaxDD,S4_Supertrend,-9.08,-1.14,-3.49,-5.74,-3.456666666666667,-1.14,B
daily_EW_MaxDD,S5_PivotPoints,-0.48,-0.31,-0.33,-0.34,-0.32666666666666666,-0.31,B
daily_EW_MaxDD,S6_VWAP,-1.28,-0.79,-0.45,-0.73,-0.6566666666666666,-0.45,C
daily_EW_MaxDD,Mean,-4.7299999999999995,-1.0183333333333333,-2.3616666666666664,-2.9949999999999997,-2.125,-1.0183333333333333,B
daily_EW_MaxDD,Delta vs A,,3.711666666666666,2.368333333333333,1.7349999999999999,2.6049999999999995,3.711666666666666,
daily_EW_MaxDD,Delta% vs A,,78.47075405214939,50.07047216349542,36.680761099365746,55.073995771670184,78.47075405214939,
hourly_EW_NetSharpe,S1_MeanRev,0.3048,1.9025,0.2846,2.2122,1.4664333333333335,2.2122,D
hourly_EW_NetSharpe,S2_Bollinger,1.7908,2.0986,1.7922,2.622,2.170933333333333,2.622,D
hourly_EW_NetSharpe,S3_Donchian,0.741,2.8322,0.8928,1.5685,1.7645,2.8322,B
hourly_EW_NetSharpe,S4_Supertrend,1.2682,2.2036,1.4713,2.03,1.9016333333333335,2.2036,B
hourly_EW_NetSharpe,S5_PivotPoints,1.5526,2.2379,2.0371,2.4086,2.227866666666667,2.4086,D
hourly_EW_NetSharpe,S6_VWAP,0.477,0.0465,1.0862,1.1729,0.7685333333333334,1.1729,D
hourly_EW_NetSharpe,Mean,1.0224,1.8868833333333332,1.2607,2.0023666666666666,1.7166500000000002,2.0023666666666666,D
hourly_EW_NetSharpe,Delta vs A,,0.8644833333333333,0.23829999999999996,0.9799666666666667,0.6942500000000003,0.9799666666666667,
hourly_EW_NetSharpe,Delta% vs A,,84.55431664058423,23.307902973395926,95.84963484611372,67.90395148669799,95.84963484611372,
hourly_BestMethod_NetSharpe,S1_MeanRev,0.3476,1.9025,0.3101,2.2122,1.4749333333333334,2.2122,D
hourly_BestMethod_NetSharpe,S2_Bollinger,1.8408,2.1932,1.8398,2.622,2.2183333333333333,2.622,D
hourly_BestMethod_NetSharpe,S3_Donchian,0.8316,3.0064,1.0954,1.8438,1.9818666666666667,3.0064,B
hourly_BestMethod_NetSharpe,S4_Supertrend,1.2682,2.4174,1.4713,2.0305,1.9730666666666667,2.4174,B
hourly_BestMethod_NetSharpe,S5_PivotPoints,1.5526,2.2379,2.0371,2.4086,2.227866666666667,2.4086,D
hourly_BestMethod_NetSharpe,S6_VWAP,0.4839,0.2898,1.0862,1.5389,0.9716333333333335,1.5389,D
hourly_BestMethod_NetSharpe,Mean,1.0541166666666666,2.0078666666666667,1.30665,2.1093333333333333,1.80795,2.1093333333333333,D
hourly_BestMethod_NetSharpe,Delta vs A,,0.9537500000000001,0.2525333333333335,1.0552166666666667,0.7538333333333334,1.0552166666666667,
hourly_BestMethod_NetSharpe,Delta% vs A,,90.47859977548343,23.956867519408053,100.10435277562573,71.51327335683906,100.10435277562573,
hourly_EW_AnnRet,S1_MeanRev,0.26,0.94,0.24,0.83,0.6699999999999999,0.94,B
hourly_EW_AnnRet,S2_Bollinger,2.7,2.07,2.48,3.19,2.58,3.19,D
hourly_EW_AnnRet,S3_Donchian,16.09,9.3,18.2,19.02,15.506666666666666,19.02,D
hourly_EW_AnnRet,S4_Supertrend,14.35,3.79,16.07,15.24,11.700000000000001,16.07,C
hourly_EW_AnnRet,S5_PivotPoints,1.87,1.76,1.89,2.08,1.9100000000000001,2.08,D
hourly_EW_AnnRet,S6_VWAP,0.36,0.03,0.76,0.51,0.43333333333333335,0.76,C
hourly_EW_AnnRet,Mean,5.938333333333333,2.9816666666666674,6.606666666666666,6.8116666666666665,5.466666666666666,6.8116666666666665,D
hourly_EW_AnnRet,Delta vs A,,-2.956666666666665,0.668333333333333,0.873333333333334,-0.4716666666666667,0.873333333333334,
hourly_EW_AnnRet,Delta% vs A,,-49.78950322761716,11.254560763401624,14.706707830479946,-7.942744877911872,14.706707830479946,
hourly_EW_MaxDD,S1_MeanRev,-1.76,-0.33,-1.76,-0.13,-0.7399999999999999,-0.13,D
hourly_EW_MaxDD,S2_Bollinger,-1.99,-0.76,-1.66,-0.93,-1.1166666666666667,-0.76,B
hourly_EW_MaxDD,S3_Donchian,-24.21,-2.46,-22.42,-9.41,-11.430000000000001,-2.46,B
hourly_EW_MaxDD,S4_Supertrend,-11.12,-1.13,-11.12,-3.51,-5.253333333333333,-1.13,B
hourly_EW_MaxDD,S5_PivotPoints,-0.67,-0.49,-0.71,-0.46,-0.5533333333333333,-0.46,D
hourly_EW_MaxDD,S6_VWAP,-0.85,-1.24,-0.6,-0.12,-0.6533333333333333,-0.12,D
hourly_EW_MaxDD,Mean,-6.766666666666667,-1.0683333333333334,-6.378333333333334,-2.4266666666666667,-3.2911111111111118,-1.0683333333333334,B
hourly_EW_MaxDD,Delta vs A,,5.698333333333333,0.38833333333333275,4.34,3.475555555555555,5.698333333333333,
hourly_EW_MaxDD,Delta% vs A,,84.21182266009852,5.738916256157627,64.13793103448275,51.36288998357963,84.21182266009852,
