strategy,timeframe,approach,v4_sharpe,v3_sharpe,delta
S1_MeanRev,daily,A,0.3091,0.5784,-0.2693
S1_MeanRev,daily,B,0.3306,0.6923,-0.3616
S1_MeanRev,daily,C,0.103,0.8789,-0.7759
S1_MeanRev,daily,D,0.4897,0.627,-0.1372
S1_MeanRev,hourly,A,-0.4588,0.295,-0.7538
S1_MeanRev,hourly,B,-0.1435,0.6281,-0.7716
S1_MeanRev,hourly,D,0.1049,0.3728,-0.2679
S2_Bollinger,daily,A,0.3543,0.5501,-0.1959
S2_Bollinger,daily,B,0.3335,0.7215,-0.388
S2_Bollinger,daily,C,-0.3566,1.0849,-1.4415
S2_Bollinger,daily,D,0.4274,0.5905,-0.1631
S2_Bollinger,hourly,A,0.0187,0.2233,-0.2046
S2_Bollinger,hourly,B,0.0191,0.5123,-0.4932
S2_Bollinger,hourly,D,0.0187,0.299,-0.2803
S3_Donchian,daily,A,0.3807,0.4113,-0.0306
S3_Donchian,daily,B,0.429,0.7109,-0.2819
S3_Donchian,daily,C,0.3385,0.7699,-0.4314
S3_Donchian,daily,D,0.7018,0.5978,0.104
S3_Donchian,hourly,A,-0.1792,0.8286,-1.0078
S3_Donchian,hourly,B,-0.4438,1.1441,-1.588
S3_Donchian,hourly,C,0.095,1.1561,-1.0611
S3_Donchian,hourly,D,0.0986,0.8951,-0.7965
S4_Supertrend,daily,A,0.3505,0.5098,-0.1594
S4_Supertrend,daily,B,0.3551,0.7134,-0.3582
S4_Supertrend,daily,C,0.2036,0.9298,-0.7262
S4_Supertrend,daily,D,0.5836,0.6231,-0.0394
S4_Supertrend,hourly,A,-0.1549,0.6115,-0.7664
S4_Supertrend,hourly,B,-0.4493,0.8618,-1.3111
S4_Supertrend,hourly,C,0.219,0.9062,-0.6872
S4_Supertrend,hourly,D,0.166,0.7064,-0.5404
S5_PivotPoints,daily,A,-0.0867,0.3057,-0.3924
S5_PivotPoints,daily,B,0.0109,0.58,-0.5691
S5_PivotPoints,daily,D,0.0148,0.3686,-0.3537
S5_PivotPoints,hourly,A,-1.184,0.6616,-1.8456
S5_PivotPoints,hourly,B,-0.5196,0.9232,-1.4428
S5_PivotPoints,hourly,D,0.0563,0.7323,-0.6759
S6_VWAP,daily,A,0.1011,0.6381,-0.537
S6_VWAP,daily,B,0.1787,0.7415,-0.5628
S6_VWAP,daily,D,0.2404,0.7156,-0.4753
S6_VWAP,hourly,A,-2.0955,0.4553,-2.5508
S6_VWAP,hourly,B,-1.4197,0.8189,-2.2386
S6_VWAP,hourly,D,0.0264,0.6438,-0.6175
