strategy,approach,ticker,test_year,horizon
S1_MeanRev,B,LSRG,2022,h1
S1_MeanRev,B,LSRG,2023,h1
S1_MeanRev,B,LSRG,2024,h1
S1_MeanRev,B,LSRG,2025,h5
S1_MeanRev,C,LSRG,2022,h1
S1_MeanRev,C,LSRG,2023,h1
S1_MeanRev,C,LSRG,2024,h5
S1_MeanRev,C,LSRG,2025,h1
S1_MeanRev,D,LSRG,2022,h22
S1_MeanRev,D,LSRG,2023,h22
S1_MeanRev,D,LSRG,2024,h5
S1_MeanRev,D,LSRG,2025,h1
S2_Bollinger,B,LSRG,2022,h1
S2_Bollinger,B,LSRG,2023,h1
S2_Bollinger,B,LSRG,2024,h1
S2_Bollinger,B,LSRG,2025,h1
S2_Bollinger,C,LSRG,2022,?
S2_Bollinger,C,LSRG,2023,h1
S2_Bollinger,C,LSRG,2024,h5
S2_Bollinger,C,LSRG,2025,?
S2_Bollinger,D,LSRG,2022,h1
S2_Bollinger,D,LSRG,2023,h1
S2_Bollinger,D,LSRG,2024,h5
S2_Bollinger,D,LSRG,2025,h22
S3_Donchian,B,LSRG,2022,h5
S3_Donchian,B,LSRG,2023,h5
S3_Donchian,B,LSRG,2024,h1
S3_Donchian,B,LSRG,2025,h1
S3_Donchian,C,LSRG,2022,h1
S3_Donchian,C,LSRG,2023,h1
S3_Donchian,C,LSRG,2024,h1
S3_Donchian,C,LSRG,2025,h1
S3_Donchian,D,LSRG,2022,h22
S3_Donchian,D,LSRG,2023,h5
S3_Donchian,D,LSRG,2024,h5
S3_Donchian,D,LSRG,2025,h5
S4_Supertrend,B,LSRG,2022,h5
S4_Supertrend,B,LSRG,2023,h5
S4_Supertrend,B,LSRG,2024,h5
S4_Supertrend,B,LSRG,2025,h5
S4_Supertrend,C,LSRG,2022,h1
S4_Supertrend,C,LSRG,2023,h5
S4_Supertrend,C,LSRG,2024,h5
S4_Supertrend,C,LSRG,2025,h5
S4_Supertrend,D,LSRG,2022,h22
S4_Supertrend,D,LSRG,2023,h22
S4_Supertrend,D,LSRG,2024,h5
S4_Supertrend,D,LSRG,2025,h5
S5_PivotPoints,B,LSRG,2022,h1
S5_PivotPoints,B,LSRG,2023,h1
S5_PivotPoints,B,LSRG,2024,h1
