strategy,approach,method,net_sharpe,ann_ret_pct,maxdd_pct,comm_level
S1_MeanRev,A,EW,2.7052,4.47,-1.07,gross
S1_MeanRev,A,InvVol,2.2344,3.16,-0.59,gross
S1_MeanRev,A,MaxSharpe,1.9961,4.96,-2.45,gross
S1_MeanRev,A,MinVar,2.8437,3.94,-0.7,gross
S1_MeanRev,B,EW,2.8319,4.02,-0.83,gross
S1_MeanRev,B,InvVol,1.8847,1.82,-0.46,gross
S1_MeanRev,B,MaxSharpe,2.2333,4.43,-2.29,gross
S1_MeanRev,B,MinVar,2.9917,3.64,-0.42,gross
S1_MeanRev,C,EW,3.4107,4.98,-0.89,gross
S1_MeanRev,C,InvVol,2.2989,3.19,-0.59,gross
S1_MeanRev,C,MaxSharpe,2.7577,5.93,-1.92,gross
S1_MeanRev,C,MinVar,3.4124,4.66,-0.53,gross
S1_MeanRev,D,EW,3.3505,4.54,-0.77,gross
S1_MeanRev,D,InvVol,2.6222,3.25,-0.6,gross
S1_MeanRev,D,MaxSharpe,2.2065,4.38,-2.1,gross
S1_MeanRev,D,MinVar,3.2127,4.0,-0.59,gross
S2_Bollinger,A,EW,2.6492,4.57,-1.56,gross
S2_Bollinger,A,InvVol,1.9722,2.97,-0.97,gross
S2_Bollinger,A,MaxSharpe,1.9343,3.89,-1.82,gross
S2_Bollinger,A,MinVar,2.7267,4.1,-0.62,gross
S2_Bollinger,B,EW,2.6465,3.87,-0.75,gross
S2_Bollinger,B,InvVol,2.1621,2.82,-0.64,gross
S2_Bollinger,B,MaxSharpe,1.903,3.15,-1.19,gross
S2_Bollinger,B,MinVar,2.6545,3.59,-0.44,gross
S2_Bollinger,C,EW,3.6502,5.29,-0.66,gross
S2_Bollinger,C,InvVol,2.1888,2.93,-0.7,gross
S2_Bollinger,C,MaxSharpe,2.9253,5.44,-0.88,gross
S2_Bollinger,C,MinVar,3.2764,4.42,-0.47,gross
S2_Bollinger,D,EW,3.154,4.02,-0.57,gross
S2_Bollinger,D,InvVol,2.3734,2.7,-0.34,gross
S2_Bollinger,D,MaxSharpe,2.3501,3.52,-0.79,gross
S2_Bollinger,D,MinVar,3.0693,3.62,-0.33,gross
S3_Donchian,A,EW,1.0839,16.83,-14.64,gross
S3_Donchian,A,InvVol,0.9334,11.97,-14.77,gross
S3_Donchian,A,MaxSharpe,0.8533,14.49,-17.39,gross
S3_Donchian,A,MinVar,0.9426,13.36,-17.54,gross
S3_Donchian,B,EW,2.2647,11.24,-1.98,gross
S3_Donchian,B,InvVol,2.0427,9.32,-2.93,gross
S3_Donchian,B,MaxSharpe,1.773,9.85,-3.31,gross
S3_Donchian,B,MinVar,2.2811,11.37,-2.18,gross
S3_Donchian,C,EW,1.7627,18.07,-8.07,gross
S3_Donchian,C,InvVol,2.0303,12.79,-5.83,gross
S3_Donchian,C,MaxSharpe,1.5573,16.4,-7.71,gross
S3_Donchian,C,MinVar,1.8524,17.87,-6.81,gross
S3_Donchian,D,EW,1.8954,20.16,-9.65,gross
S3_Donchian,D,InvVol,1.8429,14.18,-8.85,gross
S3_Donchian,D,MaxSharpe,1.7717,20.68,-10.61,gross
S3_Donchian,D,MinVar,1.9825,18.45,-7.96,gross
S4_Supertrend,A,EW,1.2952,15.1,-9.07,gross
S4_Supertrend,A,InvVol,1.2628,10.33,-6.69,gross
S4_Supertrend,A,MaxSharpe,0.9667,12.9,-18.48,gross
S4_Supertrend,A,MinVar,1.3613,15.13,-7.88,gross
S4_Supertrend,B,EW,2.1371,6.08,-1.13,gross
S4_Supertrend,B,InvVol,1.5836,5.12,-1.25,gross
