strategy,approach,method,net_sharpe,ann_ret_pct,maxdd_pct,comm_level
S1_MeanRev,A,EW,0.5615,0.48,-1.38,gross
S1_MeanRev,A,InvVol,0.4542,0.36,-1.87,gross
S1_MeanRev,A,MaxSharpe,0.7843,0.76,-1.58,gross
S1_MeanRev,A,MinVar,0.4005,0.36,-1.52,gross
S1_MeanRev,B,EW,2.2179,1.11,-0.3,gross
S1_MeanRev,B,InvVol,0.9336,0.47,-0.39,gross
S1_MeanRev,B,MaxSharpe,1.851,1.53,-0.46,gross
S1_MeanRev,B,MinVar,1.9316,0.96,-0.24,gross
S1_MeanRev,C,EW,0.5379,0.45,-1.38,gross
S1_MeanRev,C,InvVol,0.4508,0.36,-1.87,gross
S1_MeanRev,C,MaxSharpe,0.7455,0.72,-1.55,gross
S1_MeanRev,C,MinVar,0.3966,0.36,-1.52,gross
S1_MeanRev,D,EW,2.4273,0.92,-0.12,gross
S1_MeanRev,D,InvVol,1.5949,0.56,-0.1,gross
S1_MeanRev,D,MaxSharpe,1.9501,1.13,-0.3,gross
S1_MeanRev,D,MinVar,2.0513,0.79,-0.1,gross
S2_Bollinger,A,EW,2.1856,3.29,-1.58,gross
S2_Bollinger,A,InvVol,1.4453,2.81,-0.96,gross
S2_Bollinger,A,MaxSharpe,1.493,3.8,-2.68,gross
S2_Bollinger,A,MinVar,2.1326,3.74,-1.08,gross
S2_Bollinger,B,EW,2.6162,2.57,-0.51,gross
S2_Bollinger,B,InvVol,1.9304,1.22,-0.4,gross
S2_Bollinger,B,MaxSharpe,1.8599,2.5,-1.4,gross
S2_Bollinger,B,MinVar,2.7805,2.19,-0.56,gross
S2_Bollinger,C,EW,2.1725,3.0,-1.31,gross
S2_Bollinger,C,InvVol,1.3835,2.63,-0.94,gross
S2_Bollinger,C,MaxSharpe,1.536,3.49,-1.6,gross
S2_Bollinger,C,MinVar,2.1651,3.5,-0.94,gross
S2_Bollinger,D,EW,2.9675,3.61,-0.71,gross
S2_Bollinger,D,InvVol,1.9226,2.66,-0.7,gross
S2_Bollinger,D,MaxSharpe,2.1326,4.59,-1.3,gross
S2_Bollinger,D,MinVar,2.6802,3.45,-0.46,gross
S3_Donchian,A,EW,0.8195,17.79,-24.16,gross
S3_Donchian,A,InvVol,0.7895,16.23,-21.5,gross
S3_Donchian,A,MaxSharpe,0.9155,19.26,-20.39,gross
S3_Donchian,A,MinVar,0.9081,16.27,-16.96,gross
S3_Donchian,B,EW,3.3348,10.96,-2.14,gross
S3_Donchian,B,InvVol,3.2014,7.88,-1.48,gross
S3_Donchian,B,MaxSharpe,2.9937,12.25,-2.29,gross
S3_Donchian,B,MinVar,3.489,10.58,-1.96,gross
S3_Donchian,C,EW,0.9448,19.26,-22.37,gross
S3_Donchian,C,InvVol,0.9809,16.7,-18.26,gross
S3_Donchian,C,MaxSharpe,1.1348,20.24,-18.4,gross
S3_Donchian,C,MinVar,1.1637,18.05,-15.24,gross
S3_Donchian,D,EW,1.6924,20.52,-8.99,gross
S3_Donchian,D,InvVol,1.6753,11.54,-6.03,gross
S3_Donchian,D,MaxSharpe,1.5957,22.41,-12.26,gross
S3_Donchian,D,MinVar,1.9913,16.62,-8.44,gross
S4_Supertrend,A,EW,1.393,15.76,-11.12,gross
S4_Supertrend,A,InvVol,0.9014,13.93,-18.68,gross
S4_Supertrend,A,MaxSharpe,1.3811,20.28,-16.11,gross
S4_Supertrend,A,MinVar,1.234,16.05,-15.14,gross
S4_Supertrend,B,EW,2.6571,4.57,-0.84,gross
S4_Supertrend,B,InvVol,2.0084,2.03,-0.89,gross
S4_Supertrend,B,MaxSharpe,1.9027,4.14,-1.64,gross
S4_Supertrend,B,MinVar,2.9034,4.29,-0.74,gross
S4_Supertrend,C,EW,1.5565,17.0,-11.12,gross
S4_Supertrend,C,InvVol,1.0342,15.09,-17.97,gross
S4_Supertrend,C,MaxSharpe,1.4566,20.6,-15.85,gross
S4_Supertrend,C,MinVar,1.4232,16.74,-14.0,gross
S4_Supertrend,D,EW,2.1651,16.25,-3.18,gross
S4_Supertrend,D,InvVol,1.1663,7.4,-2.83,gross
S4_Supertrend,D,MaxSharpe,1.8921,17.72,-5.82,gross
S4_Supertrend,D,MinVar,2.1518,13.54,-2.53,gross
S5_PivotPoints,A,EW,1.7822,2.14,-0.64,gross
S5_PivotPoints,A,InvVol,1.1006,1.04,-0.73,gross
S5_PivotPoints,A,MaxSharpe,1.2476,1.8,-1.04,gross
S5_PivotPoints,A,MinVar,1.6811,1.29,-0.7,gross
S5_PivotPoints,B,EW,2.5805,2.03,-0.45,gross
