strategy,timeframe,A,B,C,D
S1_MeanRev,daily,0.3091,0.3306,0.103,0.4897
S1_MeanRev,hourly,-0.4588,-0.1435,,0.1049
S2_Bollinger,daily,0.3543,0.3335,-0.3566,0.4274
S2_Bollinger,hourly,0.0187,0.0191,,0.0187
S3_Donchian,daily,0.3807,0.429,0.3385,0.7018
S3_Donchian,hourly,-0.1792,-0.4438,0.095,0.0986
S4_Supertrend,daily,0.3505,0.3551,0.2036,0.5836
S4_Supertrend,hourly,-0.1549,-0.4493,0.219,0.166
S5_PivotPoints,daily,-0.0867,0.0109,,0.0148
S5_PivotPoints,hourly,-1.184,-0.5196,,0.0563
S6_VWAP,daily,0.1011,0.1787,,0.2404
S6_VWAP,hourly,-2.0955,-1.4197,,0.0264
