year,horizon,strategy,w_har,w_xgb,w_lgb,method,qlike,regime,regime_ratio,shrinkage
2017,1,V2_MultiVal,0.3333333333333333,0.3333333333333333,0.3333333333333333,equal_default,0.25321743963896776,,,
2018,1,V2_MultiVal,0.38,0.46,0.16,multi_val_1yr,0.33785696631011364,,,
2019,1,V2_MultiVal,0.19,0.5800000000000001,0.22999999999999998,multi_val_2yr,0.27487379491041786,,,
2020,1,V2_MultiVal,0.1,0.67,0.22999999999999998,multi_val_2yr,0.32468413104225624,,,
2021,1,V2_MultiVal,0.1,0.45,0.45,multi_val_2yr,0.22638397714770908,,,
2022,1,V2_MultiVal,0.03,0.33,0.64,multi_val_2yr,0.6552825387279757,,,
2023,1,V2_MultiVal,0.03,0.2,0.77,multi_val_2yr,0.3820167346581304,,,
2024,1,V2_MultiVal,0.03,0.0,0.97,multi_val_2yr,0.31312519001414774,,,
2025,1,V2_MultiVal,0.03,0.22,0.75,multi_val_2yr,0.5733152584199367,,,
2017,5,V2_MultiVal,0.3333333333333333,0.3333333333333333,0.3333333333333333,equal_default,4.1988826693002625,,,
2018,5,V2_MultiVal,0.6,0.4,0.0,multi_val_1yr,0.4451352167796942,,,
2019,5,V2_MultiVal,0.32,0.6799999999999999,0.0,multi_val_2yr,0.3851150011926364,,,
2020,5,V2_MultiVal,0.22,0.48,0.3,multi_val_2yr,0.5390815903641,,,
2021,5,V2_MultiVal,0.5,0.0,0.5,multi_val_2yr,0.311629064042904,,,
2022,5,V2_MultiVal,0.6,0.07,0.33,multi_val_2yr,2.9642292412441003,,,
2023,5,V2_MultiVal,0.3,0.07,0.63,multi_val_2yr,0.4531396117544363,,,
2024,5,V2_MultiVal,0.18,0.18,0.64,multi_val_2yr,0.5058104542578273,,,
2025,5,V2_MultiVal,0.48,0.25,0.27,multi_val_2yr,0.6518363135358511,,,
2017,22,V2_MultiVal,0.3333333333333333,0.3333333333333333,0.3333333333333333,equal_default,0.31383709358394374,,,
2018,22,V2_MultiVal,0.6,0.02,0.38,multi_val_1yr,0.4473606172724031,,,
2019,22,V2_MultiVal,0.51,0.17,0.32,multi_val_2yr,0.4415788047339574,,,
2020,22,V2_MultiVal,0.47,0.16,0.37,multi_val_2yr,0.9918481983701026,,,
2021,22,V2_MultiVal,0.26,0.26,0.48,multi_val_2yr,0.4604764875297001,,,
2022,22,V2_MultiVal,0.29,0.26,0.44999999999999996,multi_val_2yr,3.697083677307302,,,
2023,22,V2_MultiVal,0.29,0.0,0.71,multi_val_2yr,0.5558321399402855,,,
2024,22,V2_MultiVal,0.16,0.32,0.52,multi_val_2yr,0.5181072381950236,,,
2025,22,V2_MultiVal,0.16,0.69,0.15,multi_val_2yr,0.7053758245632218,,,
2017,1,V3_Regime,0.3333333333333333,0.3333333333333333,0.3333333333333333,,0.25321743963896776,NORMAL,1.0,
2018,1,V3_Regime,0.38,0.46,0.16,,0.33785696631011364,NORMAL,1.0,
2019,1,V3_Regime,0.0,0.7000000000000001,0.3,,0.2762941901052808,NORMAL,0.9858759579336923,
2020,1,V3_Regime,0.13999999999999999,0.688,0.172,,0.33057900433626247,LOW_VOL,0.6542858291350755,
2021,1,V3_Regime,0.0,0.26,0.74,,0.22739492122352054,HIGH_VOL,1.671207359666882,
2022,1,V3_Regime,0.06,0.4,0.54,,0.6687386501010926,NORMAL,0.8475809663674955,
2023,1,V3_Regime,0.0,0.0,1.0,,0.3810567274026282,HIGH_VOL,3.3485449128427724,
2024,1,V3_Regime,0.05,0.0,0.95,,0.31268380880917224,LOW_VOL,0.5288781548915201,
2025,1,V3_Regime,0.05,0.418,0.532,,0.5801750958934414,LOW_VOL,0.6980960689738981,
2017,5,V3_Regime,0.3333333333333333,0.3333333333333333,0.3333333333333333,,4.1988826693002625,NORMAL,1.0,
2018,5,V3_Regime,0.6,0.4,0.0,,0.4451352167796942,NORMAL,1.0,
2019,5,V3_Regime,0.04,0.96,0.0,,0.39347068805592705,NORMAL,0.986796242384351,
2020,5,V3_Regime,0.27999999999999997,0.0,0.72,,0.5137911107503375,LOW_VOL,0.6831411895997471,
2021,5,V3_Regime,0.6,0.0,0.4,,0.2982924953712588,HIGH_VOL,1.6480689537476785,
2022,5,V3_Regime,0.6,0.14,0.26,,3.0521558948077407,NORMAL,0.8526713444410551,
2023,5,V3_Regime,0.0,0.0,1.0,,0.5007183051347461,HIGH_VOL,3.343161197087183,
2024,5,V3_Regime,0.252,0.42075,0.32725000000000004,,0.4535649734964195,LOW_VOL,0.5299508369600403,
2025,5,V3_Regime,0.6,0.14,0.26,,0.6556050387000897,NORMAL,0.7058706585871444,
2017,22,V3_Regime,0.3333333333333333,0.3333333333333333,0.3333333333333333,,0.31383709358394374,NORMAL,1.0,
2018,22,V3_Regime,0.6,0.02,0.38,,0.4473606172724031,NORMAL,1.0,
2019,22,V3_Regime,0.42,0.32,0.26,,0.4439343253064414,NORMAL,0.9829890151827068,
2020,22,V3_Regime,0.52,0.0,0.48,,1.0073101827842479,NORMAL,0.7359142763561091,
2021,22,V3_Regime,0.0,0.52,0.48,,0.4853968326891735,HIGH_VOL,1.6293305577685826,
2022,22,V3_Regime,0.58,0.0,0.42,,3.4770308772099474,NORMAL,0.990547109381431,
2023,22,V3_Regime,0.0,0.0,1.0,,0.6254642806641765,HIGH_VOL,3.2382182713226295,
2024,22,V3_Regime,0.22399999999999998,0.7303529411764706,0.045647058823529416,,0.548613727288838,LOW_VOL,0.5275596940652528,
2025,22,V3_Regime,0.0,0.74,0.26,,0.6971404368593793,NORMAL,0.7341430737397807,
