ticker,aic,omega,alpha[1],beta[1]
SBER,558357.7043321964,1.0730360733692628,0.009206718079466358,0.9891862664818305
LKOH,542078.9433554487,40.03144452285312,0.19680321769577958,0.7492991452880371
TATN,566448.209878497,57.7963873002674,0.2235385810338536,0.7335890961507052
NVTK,562851.4632822431,47.42222082574743,0.16088092877222382,0.7900169270018867
VTBR,546109.1680472783,38.504901140648535,0.23549392040654454,0.739382728217594
ALRS,567576.9700615149,104.56903874696324,0.3311480105026532,0.6262664244997199
AFLT,573053.241440038,105.6336583955489,0.30193506026717976,0.6573087847407781
HYDR,564887.9602364402,68.33557909435959,0.24769723643377317,0.7070082862428377
MGNT,562509.084515623,54.4359520712657,0.2137640842300468,0.7502428981937883
MOEX,551994.3048891426,93.35235146064696,0.3141993510581078,0.6025545175878791
RTKM,534402.413616534,43.37315023578495,0.28374802094698826,0.6946465761056185
MTSS,557218.7231936508,63.95290842978297,0.26369171710766776,0.7132261685115885
MTLR,627630.842505977,162.0345847254531,0.2239256457908537,0.7651983834522721
IRAO,787682.3047380275,760.7547603162114,0.01,0.97
OGKB,553203.6680881182,73.95464886350751,0.15241704955030497,0.8124015930535292
PHOR,498848.1785208314,44.20023258525215,0.15371697115884708,0.8249534126773762
LSRG,432477.1092692576,66.79529853810423,0.19751419440122683,0.8024858055987732
