ticker,aic,omega,alpha[1],gamma[1],beta[1]
SBER,558230.7430033411,1.0777670336228775,0.0059608659211035885,0.005932166421401856,0.9895003741333612
LKOH,542078.1527990312,40.102853244920304,0.20259622070731662,-0.010992926231098986,0.7488780563720998
TATN,566440.4671688708,57.99632599008069,0.2341341574924081,-0.02185740639739517,0.7334037848583589
NVTK,562833.8603470749,47.330769131880004,0.14878242488235555,0.025241319124317093,0.7899930492357122
VTBR,546074.5760277992,38.491182527440714,0.2565713618292912,-0.042688745634000026,0.7395738894722723
ALRS,567545.8501553363,103.94726461412851,0.30099762002600333,0.056660186862654886,0.6282939629393173
AFLT,573037.0753151685,105.43784128644091,0.32285421096179134,-0.040361088078279275,0.6571052053735343
HYDR,564889.3079439197,68.47478681444444,0.2510334511255446,-0.006221323839206334,0.7066354574055492
MGNT,562405.8238736029,54.38665198966825,0.18066640589212302,0.06875004542297883,0.7494551085794973
MOEX,551969.6743069647,93.87010732916805,0.34189797943565803,-0.05185885661026656,0.6004867040823537
RTKM,534374.9401149639,43.1281687488642,0.3110922474460827,-0.04853901067281914,0.69379623383611
MTSS,557219.4471678385,63.92451355397628,0.26863094406025073,-0.009863370966210453,0.7132665926116458
MTLR,627621.4680456074,163.76284189000137,0.23779369945640744,-0.02444512212807325,0.7632549215696077
IRAO,789646.4197800437,760.7547603162114,0.01,0.01,0.965
OGKB,553192.3990827807,73.53439967799987,0.16197799609956598,-0.019923787011292694,0.8130703892704303
PHOR,498848.42187575035,44.17638567238427,0.1499402486934539,0.0077580812085865525,0.8249426448857491
LSRG,432392.1519449597,65.82320987050764,0.23250353236481697,-0.07257373505127973,0.8037833351439361
