Portfolio,Multiplier,Avg_Exp_pct,Max_Exp_pct,Free_Cap_pct,Pct_Over100,Return_pct,Vol_pct,Sharpe,MDD_pct,Calmar
META-A,1x,10.1,26.5,89.9,0.0,14.0,3.83,3.66,-1.79,7.83
META-A,2x,20.1,52.9,79.9,0.0,19.2,7.65,2.51,-3.8,5.06
META-A,3x,30.2,79.4,69.8,0.0,24.41,11.48,2.13,-5.86,4.17
META-A,5x,50.3,132.4,49.9,2.0,34.85,19.14,1.82,-12.11,2.88
META-A,8x,80.5,211.8,27.0,28.3,51.1,30.63,1.67,-20.77,2.46
META-B,1x,2.7,16.2,97.3,0.0,11.7,1.01,11.63,-0.17,69.59
META-B,2x,5.5,32.5,94.5,0.0,14.61,1.99,7.35,-0.4,36.37
META-B,3x,8.2,48.7,91.8,0.0,17.52,2.97,5.89,-0.64,27.59
META-B,5x,13.7,81.2,86.3,0.0,23.34,4.96,4.71,-1.1,21.2
META-B,8x,21.9,129.8,78.1,0.2,32.08,7.93,4.04,-1.8,17.85
META-D,1x,7.4,18.5,92.6,0.0,15.27,3.14,4.86,-0.65,23.66
META-D,2x,14.9,37.0,85.1,0.0,21.76,6.29,3.46,-1.4,15.52
META-D,3x,22.3,55.6,77.7,0.0,28.25,9.44,2.99,-3.08,9.16
META-D,5x,37.2,92.6,62.8,0.0,41.22,15.73,2.62,-7.74,5.32
META-D,8x,59.5,148.1,42.2,9.6,60.82,25.19,2.41,-14.57,4.17
META-BEST,1x,2.6,15.5,97.4,0.0,12.04,1.05,11.52,-0.17,71.59
META-BEST,2x,5.1,30.9,94.9,0.0,15.3,2.07,7.41,-0.4,38.06
META-BEST,3x,7.7,46.4,92.3,0.0,18.56,3.09,6.0,-0.64,29.2
META-BEST,5x,12.8,77.3,87.2,0.0,25.07,5.15,4.87,-1.1,22.76
META-BEST,8x,20.5,123.7,79.5,0.1,34.84,8.24,4.23,-2.02,17.25
