Portfolio,Return_pct,Vol_pct,Sharpe,MDD_pct,Calmar,Beta,Alpha_pct
IMOEX B&H,-3.54,29.17,-0.12,-50.76,-0.07,1.0,-
META-A (hourly),6.09,3.83,1.59,-2.98,2.04,-0.0075,6.06
META-B (hourly),3.15,0.99,3.17,-0.28,11.1,-0.0117,3.11
META-D (hourly),7.14,3.15,2.27,-2.22,3.21,-0.0356,7.01
META-BEST (hourly),3.48,1.03,3.37,-0.33,10.65,-0.0118,3.44
META-A + ФДР (hourly),14.0,3.83,3.66,-1.79,7.83,~0,-
META-B + ФДР (hourly),11.7,1.01,11.63,-0.17,69.59,~0,-
META-D + ФДР (hourly),15.27,3.14,4.86,-0.65,23.66,~0,-
META-BEST + ФДР (hourly),12.04,1.05,11.52,-0.17,71.59,~0,-
META-BEST × 2 + ФДР (hourly),15.3,2.07,7.41,-0.4,38.06,~0,-
META-BEST × 3 + ФДР (hourly),18.56,3.09,6.0,-0.64,29.2,~0,-
META-BEST × 5 + ФДР (hourly),25.07,5.15,4.87,-1.1,22.76,~0,-
