Model,H=1,H=5,H=22
HAR-J,0.523787820650656,0.770738660904314,0.928426357335817
XGBoost,0.4043292391041596,0.9150037904932252,1.0788700653059333
LightGBM,0.38269118665442353,0.864544531092894,0.8440974160713396
SimpleAvg,0.38877741554446543,0.80420512455423,0.8743861900887844
BestSingle,0.3782347623121999,0.7838512152543768,0.8513998905617589
V1_Adaptive,0.3834086479614437,0.769443779203521,0.8604585562698556
V6_Trimmed,0.40125153466678365,0.8649351594930973,0.9282018441224184
V6_TrimmedW,0.3909859750090057,0.842099626204177,0.894134268239125
V7_Rolling,0.3835729678395757,0.7904504538656082,0.8312286152916382
V2_MultiVal,0.3742947967105254,1.1304197582434994,0.8636475369970573
V7_W20,0.3841071358767629,0.7904504538656082,0.8312286152916382
V7_W40,0.3835729678395757,0.7939336655387568,0.8414333744580321
V7_W60,0.38386874236231056,0.7942171476460431,0.843654006248565
V7_W90,0.38367296540827234,0.7958182085796895,0.8462929400852148
V7_W120,0.38385361140540947,0.7965906501840777,0.8492581061252955
