year,horizon,HAR-J,XGBoost,LightGBM,SimpleAvg,BestSingle,V1_Adaptive,V6_Trimmed,V6_TrimmedW,V7_Rolling,V2_MultiVal
2017,1,0.2745061743457288,0.2618158028749368,0.32436275607958975,0.25321743963896776,0.2745061743457288,0.2561610133361862,0.2562110515060508,0.2497977480062472,0.24631026241296114,0.25321743963896776
2018,1,0.4176134624999551,0.34189437257935623,0.36101383918078883,0.33271580573581705,0.34189437257935623,0.3499745591264852,0.354300663883456,0.33661989290687966,0.33647643124262,0.33785696631011364
2019,1,0.3051889596626139,0.2765870679794831,0.28979907568122265,0.27585005737234497,0.2765870679794831,0.27785369305697866,0.2791856537978651,0.2741951148425598,0.2760047652867088,0.27487379491041786
2020,1,0.46404953474193733,0.35020839231074014,0.309079293500833,0.3243014776110871,0.35020839231074014,0.3534272622367964,0.35697708413372037,0.33682268037533697,0.31810589821115204,0.32468413104225624
2021,1,0.2955788793782226,0.2417569740376411,0.23233039689429894,0.23047989460209664,0.23233039689429894,0.23003737879349878,0.2469410029024922,0.23770368954477894,0.23181540823306537,0.22638397714770908
2022,1,1.3068849178467143,0.7505249421428885,0.6255816784764333,0.7409158392914322,0.6255816784764333,0.6798892959835218,0.739291101652636,0.7331834344560394,0.7049128490324925,0.6552825387279757
2023,1,0.47775427559178957,0.42922235909612966,0.3810567274026282,0.39656400685513366,0.3810567274026282,0.38492279300822413,0.4104454892722897,0.39947167483168255,0.3954673434860455,0.3820167346581304
2024,1,0.43780248369780816,0.3372632857392348,0.31387863658461934,0.3189873441891616,0.31387863658461934,0.31229313111788926,0.35008215990613173,0.3318443349726501,0.31532502347655106,0.31312519001414774
2025,1,0.7373323985166415,0.6126890967928151,0.5684446814029694,0.5919168986764666,0.5684446814029694,0.5718058176204085,0.588050783847795,0.5871781732428365,0.5898520918340248,0.5733152584199367
2026,1,0.5680267018659231,0.5183346907373083,0.4922424013131266,0.49122060542612767,0.4922424013131266,0.48667269703833016,0.49043415360215076,0.4828147475219679,0.49164367736297515,
2017,5,0.2948379169044094,0.3329214852593612,0.2964179708116071,0.29736984940956274,0.2948379169044094,0.3183342675641093,0.2982826015391674,0.29620099365668096,0.2918718839172091,4.1988826693002625
2018,5,0.48196388982695154,0.4321199095483098,0.4636824139116072,0.44367516157219544,0.48196388982695154,0.44263945934751364,0.4569928683862299,0.4514206266258569,0.444131436824308,0.4451352167796942
2019,5,0.42427131866858764,0.39520639583432826,0.3830153116131818,0.37969693849746894,0.39520639583432826,0.3930551380258315,0.3847798310740468,0.38117990314509986,0.3749904309143855,0.3851150011926364
2020,5,0.5718032724299447,0.8972928878334897,0.788991507229579,0.6621183866633275,0.788991507229579,0.4977451913232099,0.8181795990576773,0.7531040494216202,0.638508312102326,0.5390815903641
2021,5,0.3286499849486805,0.3978910013018075,0.35228131008760966,0.33154066388910364,0.3286499849486805,0.3044977162456803,0.3541651508856178,0.34167136600609715,0.3248390627518615,0.311629064042904
2022,5,3.263781795707911,4.455581426587083,4.138973486722945,3.7312049580829965,3.263781795707911,3.5741844323486003,4.100598174196223,3.985254940699856,3.648618365011292,2.9642292412441003
2023,5,0.5125099374301717,0.46334178227145,0.46471704639503564,0.45824350257679614,0.5125099374301717,0.444839611199404,0.4683324592171933,0.46208270921512445,0.45675958813557826,0.4531396117544363
2024,5,0.5472141857779154,0.5217965768684404,0.507647826868331,0.5027499937768434,0.5217965768684404,0.5098019734513796,0.5116027926551999,0.506250569095733,0.49653273315395086,0.5058104542578273
2025,5,0.7372593010664935,0.7035210954594895,0.6863737807848634,0.6885811599707348,0.6863737807848634,0.6963470668553928,0.6893792966537171,0.6867401362565462,0.6866234963166689,0.6518363135358511
2026,5,0.49404974424098685,0.5322045179618392,,,,0.5280641842855581,,,,
2017,22,0.31812647846916886,0.3477583202893904,0.3643040529344124,0.3138370935839438,0.31812647846916886,0.33929805292367343,0.32040248120745285,0.31566212734462107,0.3021006215151916,0.31383709358394374
2018,22,0.4592596989539378,0.45351164585459486,0.4619601501233244,0.445689674830814,0.4592596989539378,0.449224588732821,0.455010188012797,0.45070818975938065,0.44342491764795444,0.4463141669633119
2019,22,0.46694389849915574,0.4688809463065296,0.4550950907226274,0.4453688260135956,0.4688809463065296,0.4483917831212405,0.446143159741454,0.4450560743928678,0.43378956352807846,0.4442752343889262
2020,22,1.151861718402396,1.0056809176447232,0.9607044614558832,0.9678102038529199,0.9607044614558832,1.0073101827842479,0.9855386817475742,0.9707489058829547,0.9350107276844619,0.9930855520668417
2021,22,0.49237515228264306,0.5603325246247891,0.4760414586454385,0.4625453798460918,0.4760414586454385,0.44546496297477106,0.49128811781040005,0.4714772169109583,0.429870637309916,0.47718218114862654
2022,22,3.8903842500020747,5.4816576551806735,3.2008888670168747,3.865529593303386,3.2008888670168747,3.456183596117569,4.185893829705255,3.9708755525529194,3.626847613678569,3.581434203073564
2023,22,0.5014641936372607,0.4604581272981049,0.6254642806641765,0.48563538719866367,0.6254642806641765,0.5196129660044712,0.4655829843049939,0.45711206317027886,0.4513930630923099,0.5811973694964966
2024,22,0.6426943487526097,0.624121748337959,0.6289121293477264,0.49571129451110235,0.624121748337959,0.6013995681524462,0.6034960552326059,0.5610616418297878,0.4535166359904704,0.5043335489012492
2025,22,0.7244559577136546,0.7440655737297105,0.6585039318860765,0.6776931979483539,0.7440655737297105,0.7218350685424139,0.7153346018944684,0.7003885607702759,0.6708011251797693,0.6900294918528289
2026,22,0.6496531932636026,0.6680154388200543,0.7117125929213564,0.6506984714950801,0.7117125929213564,0.6501922020093729,0.6623456717276894,0.6582400179085993,0.6421092566693262,
